"protein_group","number_of_peptides_Cu complex_1","number_of_peptides_Cu complex_2","number_of_peptides_Cu complex_3","number_of_peptides_Cu complex_4","number_of_peptides_Cu complex_5","number_of_peptides_Cu complex_6","number_of_peptides_DMSO_1","number_of_peptides_DMSO_2","number_of_peptides_DMSO_3","number_of_peptides_DMSO_4","number_of_peptides_DMSO_5","number_of_peptides_DMSO_6","number_of_peptides_Mn complex_1","number_of_peptides_Mn complex_2","number_of_peptides_Mn complex_3","number_of_peptides_Mn complex_4","number_of_peptides_Mn complex_5","number_of_peptides_Mn complex_6","abundance_Cu complex_1","abundance_Cu complex_2","abundance_Cu complex_3","abundance_Cu complex_4","abundance_Cu complex_5","abundance_Cu complex_6","abundance_DMSO_1","abundance_DMSO_2","abundance_DMSO_3","abundance_DMSO_4","abundance_DMSO_5","abundance_DMSO_6","abundance_Mn complex_1","abundance_Mn complex_2","abundance_Mn complex_3","abundance_Mn complex_4","abundance_Mn complex_5","abundance_Mn complex_6","log_fold_change_genotypeDMSO.genotypeCu.complex.","differential_abundance_pvalue_genotypeDMSO.genotypeCu.complex.","differential_abundance_qvalue_genotypeDMSO.genotypeCu.complex.","log_fold_change_genotypeMn.complex.genotypeCu.complex.","differential_abundance_pvalue_genotypeMn.complex.genotypeCu.complex.","differential_abundance_qvalue_genotypeMn.complex.genotypeCu.complex."
"Q15417",NA,NA,NA,NA,NA,NA,4,4,4,3,3,5,3,3,3,NA,4,3,17.8386126914964,15.9462244680627,16.6658867913231,17.179782312581,16.6667586787192,16.7659169246176,19.0646199823658,18.8004831540595,18.615587644916,19.0273945767456,18.361720750466,18.911131904908,17.7743640317937,17.7143405729706,17.4386748621968,18.3862561258285,17.9371349567328,17.6759628760442,1.17489746910987,1.0201135565482e-06,2.5561222103726e-06,0.704921413022429,0.00188774766446468,0.00517406637257956
"Q86TG7",3,NA,4,NA,NA,2,11,10,10,8,9,10,2,NA,2,2,2,NA,16.882947877525,13.3314969783421,17.145427377395,14.0526723837944,14.055919376568,15.5491116001291,18.6192926138141,18.2854304720089,17.9629208334517,18.2709021703945,18.0416440523821,18.4893711125239,15.4444736276176,15.5343340701042,15.3971320501067,16.4310744455038,15.3799669096592,15.1645355754304,2.41204697914028,2.36351639891044e-06,5.66867279738679e-06,0.169359372210098,0.726840113072246,0.836196986816705
"P58546",NA,NA,NA,NA,NA,NA,4,4,NA,3,3,3,2,NA,NA,1,NA,NA,16.8064098450152,15.3701281378322,16.1322279707436,15.0044785255864,15.235298537576,15.8672842301227,17.7607241279118,17.8387326290688,17.6170717662595,16.8959808228475,16.792193398686,17.3430815490849,16.2035048525072,16.3854286313957,15.9869133240354,16.8627172833107,16.2895497346649,16.0678516525684,0.511232636918281,0.0103718451948747,0.015063572514631,0.0856325259550534,0.667171369359103,0.782549319898
"Q9UBS4",8,11,8,11,11,9,6,6,6,5,5,5,8,7,8,7,5,8,17.8706459602289,18.5074792904466,17.3924909753495,18.3387627187492,18.183840239104,17.6956305544964,17.4224220388153,16.7372870773516,16.6906855724533,16.8623729993107,16.7340694415831,17.0269261352309,17.6865511700219,17.2069046747225,17.3139874362573,18.2687025226947,17.5998293264309,17.6838824047728,-1.61523103915233,4.6517316325889e-17,4.19526957725621e-16,-0.56705465551683,0.0012098221574748,0.00352950546791857
"Q9Y619",1,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,2,16.9688987388678,17.1797345380194,16.8875034892068,17.0864661577158,NA,16.0627077222692,NA,NA,15.8752679456467,NA,15.0178991754978,NA,17.0038936084864,16.6948458222056,16.7024788541182,NA,16.8703111551292,16.5009253137737,-1.73506644814386,3.02391960285889e-06,7.13182997422548e-06,-0.187881137667396,0.28390496284144,0.375567942579778
"Q05048",NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,16.6238003269949,NA,15.6789063861215,NA,NA,NA,17.6927843394972,16.8846688762362,16.7256281369865,17.4989941828801,17.7175078980047,17.2149771975145,NA,NA,NA,17.3994372091239,16.131605526429,NA,0.356238480666642,0.124644164916071,0.158554225630163,0.156157383537792,0.566293331143757,0.677801738821616
"Q9H0V9",4,5,3,3,4,3,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,17.8634096015769,17.8550623460917,17.4900625598583,17.787259742757,17.7254265479306,17.3889974454297,16.1351815237325,16.2374342319935,16.4321160975365,16.1598121753381,16.1677880531533,16.9410155692603,17.4112371042806,17.6429693948386,17.5073336233053,18.0782203323777,17.822820964753,17.4863015645903,-1.94833594320048,3.24242324952753e-16,2.70164539268592e-15,-0.243116249925467,0.0471642823704287,0.0811766609113974
"Q14157",NA,NA,NA,NA,NA,NA,5,4,3,5,4,3,NA,1,NA,NA,NA,2,16.0585221587978,NA,15.6362915761405,16.1224158170285,15.2089713834669,15.4467012054768,17.536739744347,17.4768372064076,17.0646289965868,17.4245451467629,17.3317770365713,17.678842293271,16.0822737342479,16.5422033559548,16.2702624100949,17.2960529304522,16.4102061363736,16.166901163349,1.07196477970413,4.23075872348595e-12,2.14477200129562e-11,0.564172993795349,2.56660140589072e-05,0.000118736223035523
"Q9H488",3,8,4,9,9,6,2,5,3,4,3,2,6,4,4,5,6,4,17.6958939710167,18.4101454980986,17.5127737351467,18.5975911913213,18.1657224162587,17.8373382736378,17.4080050357607,16.7917607080805,17.032854029922,17.1758459154428,16.8789575345131,17.1278424028066,17.9193491816291,17.5297007685016,17.3573396548713,18.6432839033401,17.6407131881256,17.5893373019907,-1.47860778729483,4.42068882616605e-13,2.51061761636978e-12,-0.410561101396484,0.0237775892566423,0.0453455058023813
"O00159",4,NA,3,NA,NA,NA,NA,2,NA,NA,2,3,2,1,4,NA,NA,NA,17.2872064472849,15.5957290628494,16.9480425480762,16.4198920757955,15.8028331482914,15.8832942290703,16.5827844654006,16.49726240548,16.5075280035711,16.4280740682082,16.8105921885197,17.0794851564984,16.6304125358525,16.5316902627148,16.4596520495726,16.9023928130049,16.9170487372808,16.5553187820973,-0.0694004670104981,0.588427165740348,0.674408669730013,0.054705799802309,0.67396082021372,0.788586710201336
"Q9H501",NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,16.7369920852849,NA,NA,15.8955552219486,17.8956002373507,17.265368186327,17.1103653743985,16.8669256631454,NA,16.7265058798589,16.696169244496,NA,15.9385035103899,16.083226253998,NA,NA,1.05514123100937e-19,0.999999999746217,1,-3.10503439763723e-19,0.999999999315524,1
"P37802",3,NA,NA,NA,NA,NA,3,3,3,3,3,3,2,NA,2,NA,3,NA,16.8704736248375,16.5617896546359,16.740917732731,15.5007561289252,15.3949851255632,15.6232495313922,17.8003512961771,17.8250445175234,17.7692899989922,17.7003017329403,17.5933112234251,17.7707550911771,17.2342666842253,16.9786517156531,16.8537477479571,17.8315320793306,16.8407124249132,16.9328349700881,0.951676366405853,6.25760381405287e-09,2.07552479121754e-08,0.6973540507104,7.50053252210549e-06,3.79932037670365e-05
"P00441,SODC_HUMAN",1,1,NA,2,1,1,2,2,2,2,2,2,2,2,NA,1,2,1,18.5439807103321,18.548048323761,18.4464162248044,18.5403640837854,18.1873385834529,18.8541955490445,20.9184835568806,20.8888140872417,20.9630426979642,20.6654101914642,20.1768200281368,20.6421055302418,18.9131990185621,18.6715802069336,18.8230126366014,19.5394749061605,19.2307057799604,18.4288457867681,1.54815218868403,1.30305502674341e-08,4.16148077506383e-08,0.274826032831645,0.190531358007576,0.267211326271139
"P63220",1,NA,1,1,NA,1,4,3,1,2,3,3,1,1,1,2,1,2,16.3380790840124,14.9865810874866,16.0608899162289,15.9703718177668,15.2935137977067,15.7258861770949,18.5242255141648,18.0611506710455,17.6386799431797,18.2153850563562,18.0481102305868,18.2966615910029,15.8885433705515,15.9235196278171,16.0407760155973,16.275859660975,15.3332059767295,15.5738864527127,1.61718613926435,2.4590420730676e-17,2.31303644997921e-16,-0.26371210475554,0.0499870080198601,0.0852406294429575
"Q12907",8,8,7,7,6,6,4,2,3,3,4,5,8,6,5,7,8,7,18.6206483011121,18.8389965887148,18.050504764848,18.5581086701623,18.3008488260435,18.2968450435192,17.0296456323021,16.7144966186108,17.0380815530537,16.5311760848177,17.3316029224902,17.8218757042868,18.0825999089369,18.0639117728035,17.9769189922135,18.6705266737024,17.9990490100466,17.9780786127258,-1.98657736280221,4.17147507950087e-27,1.01463757489274e-25,-0.53723137331663,0.000192121998599221,0.000710762586497274
"P00491",NA,NA,NA,1,1,3,9,10,8,8,5,8,2,3,6,3,4,3,16.0682249728782,15.883514461485,16.2944095714935,16.1174442473646,16.002257336445,16.3825525018355,18.4292596389754,18.2126785865254,18.155476435656,18.3055427520633,17.8384404070957,18.3453093787221,17.589328263122,17.1802280823025,17.4095015234514,18.25558511391,17.4981038231703,17.5420943046637,1.3875621424892,3.03931105505622e-24,5.95013091103689e-23,1.17707297528689,1.26779943284332e-19,4.28730484261522e-18
"P63279,UBE2I_HUMAN",2,NA,NA,NA,NA,NA,4,3,3,4,3,3,2,2,1,2,2,3,16.7562451045258,15.4904632427198,16.8132340122856,16.2904231488916,15.7726183551234,16.4846178156677,18.4279043126664,18.0220597921537,17.7553910274379,17.9478209198691,17.7317040484031,17.9544179581282,16.6921208812901,16.5360060207257,16.6066217368169,17.5686163886419,17.2793689606941,16.5816713038645,0.977451262823168,2.68926982074145e-06,6.39265718494118e-06,0.349989061249801,0.0523798323500374,0.088816368271497
"P15144",11,12,10,10,10,10,NA,NA,NA,NA,5,5,5,8,4,4,4,4,18.5618349203085,18.1724253521011,18.3091064991533,18.0291403175497,17.8787867402041,17.8218259091835,16.8358354012324,16.5551722924908,17.1870654667924,16.6523909344511,17.5602001375499,17.6291432491857,17.2725394287855,17.3914772535738,16.9541957216896,17.8960958649572,17.3430158698896,16.8948026386811,-1.63267595938128,1.59178947568306e-21,2.41071009902189e-20,-1.09271810832299,1.59675874451299e-12,2.35203542673355e-11
"O43493",NA,3,3,3,2,NA,NA,2,NA,NA,1,1,NA,NA,NA,3,NA,2,12.5752216206845,14.4905368262233,14.3083320625647,12.971205911358,12.7322913953799,13.8682081571201,NA,13.7094728280036,NA,NA,13.2801711360903,13.5663627447838,11.8380804180948,13.1779706199915,11.5984523422331,12.8362421239169,NA,13.3299119288079,-0.416117041455087,0.276049473254068,0.333029625047994,-0.796279875244194,0.0239702431464503,0.0456766299957358
"P32754",3,NA,NA,2,2,4,6,6,5,5,6,7,5,4,6,6,4,4,16.9731133958531,16.6535796407277,16.7156351615979,16.8564368516972,16.654299870131,17.0504050440833,19.2465345454091,19.0591801080159,19.15832288448,19.2570500807753,18.7762512127742,19.1583943300011,18.1839553147757,18.1003346012146,17.9907933785348,18.6497495331706,18.3656914483074,18.0542363005845,1.57326425944635,4.88854204973964e-28,1.27952274519272e-26,1.08615623346991,5.06252901369803e-18,1.44703954308202e-16
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.2476455791774,17.2281566760089,16.3684392030151,17.6696913178029,17.425426611812,16.6496731591167,15.9399425137527,16.448878345014,16.7655953075753,16.436246827256,16.3101149835271,16.6960810351775,NA,NA,NA,NA,NA,NA,-1.0778092860661,0.000894743683134941,0.00149000192876137,NA,NA,NA
"O60664",6,NA,NA,2,NA,4,11,13,11,11,10,9,10,8,12,9,12,8,17.0149385614797,16.4617426623016,16.6409411696796,16.7751136631002,16.4564910066635,16.8525653457814,18.7760690170347,18.505413413271,18.4890626837272,18.6388544994058,18.1234766174257,18.5098432319204,18.0923088047528,18.0185510814692,18.0247480811645,18.8337112867657,18.0743169359431,17.8775672334419,1.17727603312858,1.53554427052462e-22,2.55006248511951e-21,1.25045017230197,1.79746261650463e-24,1.13571256374411e-22
"P63104",4,2,4,4,3,4,7,6,6,7,6,8,6,6,5,6,5,6,18.2451559700761,17.9123975001437,17.9492475156465,18.0643997388533,18.0318831900637,18.2690099790015,20.741795996076,20.4826054034317,20.4456212235649,20.512744179476,20.1466467283525,20.4852249955069,19.7906963715037,19.4157074865775,19.2146890181271,20.0056711731664,19.5272832340067,19.4616030001866,1.72835627758026,1.29778550487964e-27,3.25527864140643e-26,1.25766553259537,1.12585005060838e-19,3.86166567358676e-18
"P12268",7,NA,8,2,NA,4,14,16,14,13,13,14,7,6,7,8,8,6,17.5302648739492,15.6876951527109,17.3292120396425,16.0225530327198,15.8207283455109,16.1941913235467,18.6445051308334,18.4777116178609,18.05280871992,18.3414072354576,17.9360450440273,18.3916227847778,17.1745496513991,17.0889697965098,17.0201968443205,18.0403033643314,17.2274744147449,17.0954737134054,1.19370703296947,5.97187192195248e-07,1.54661014685536e-06,0.595637885305027,0.0109120143807543,0.0231651162937145
"K1C9_HUMAN,P35527",NA,NA,NA,NA,NA,7,3,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,16.4440794534992,16.0635048861107,NA,NA,17.1574073251217,16.9531480823227,NA,16.682423374551,16.2867081676635,NA,NA,15.3565691351927,NA,NA,16.985154154989,NA,NA,-3.31168647371617e-12,0.999999058784215,1,-9.39813408218362e-12,0.99999791491415,1
"Q9H9T3",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.4231897103133,NA,NA,NA,15.5127449253198,NA,16.1949738908199,15.9353980555767,15.7631114834365,16.4801845162972,NA,NA,NA,NA,NA,NA,7.19710582497257e-20,0.999999999830861,1,NA,NA,NA
"P48735",4,5,5,5,4,6,12,11,10,12,9,9,6,6,6,7,6,5,16.7806878441292,16.6590973953101,16.6676362608062,16.6239158651014,16.4686984044952,16.6643931331759,18.8790659793941,18.440503909845,18.2913876832698,18.6354098062452,18.3132576552281,18.5903342236067,17.5016940170212,17.154008987966,17.0530902235036,18.1560088957615,17.2513102084095,17.1581385085621,1.28964677361,1.36949304087926e-54,2.74811603536437e-52,0.463616571948201,4.72250345303901e-13,7.54741055626082e-12
"P62273",NA,NA,NA,NA,1,1,2,3,2,2,2,3,2,NA,NA,NA,NA,1,16.3111265459911,15.0321995846423,16.5081470780649,15.2512833431385,15.3825618995375,15.6315948562026,18.5204681820628,18.2041883439564,17.5580124515862,17.8195697499457,18.2215816329896,18.6002811545926,15.867635419067,15.2672901036369,15.5848974884915,15.7010892235712,15.5707336107889,15.7161018751948,1.74556307837743,2.9111383175907e-10,1.20240498606491e-09,-0.217385093252628,0.293175034915808,0.385917356816258
"P36776",5,2,2,3,2,5,10,10,6,10,9,8,4,1,3,4,4,2,16.5975659850604,15.946240219788,16.4633313830488,16.3391119709217,15.9768558755645,16.133799774599,18.3281768889203,18.0306648952952,17.8996105567911,18.1913402021558,17.9477232127149,18.1896802479948,17.0165370336338,16.6494568256475,16.6684772923436,17.5937363004952,16.6548277011163,16.395006176217,1.0649606469704,4.47011081353966e-32,1.6818791935943e-30,0.288626526218917,6.4813258587176e-05,0.000272533509400717
"P37198",NA,NA,2,NA,NA,NA,2,3,3,4,3,NA,2,3,3,2,2,2,17.1410314292903,16.1635272352826,16.8874416810043,15.9159911753335,15.6710416983766,16.4718748593549,17.9690580394603,17.4398561528731,17.5208771547664,17.7348333265668,17.6128365848431,17.6598696734307,17.4537485504967,17.5147219206586,17.3016421737457,18.141751633193,17.3952766722092,17.3139719839362,0.693971732806927,2.73205257167846e-07,7.36705777447001e-07,0.937525420005362,2.17532177975403e-10,2.45208807191991e-09
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.6505781260272,NA,15.6764396777124,NA,NA,NA,16.1129131793322,16.0461983013379,15.177163152463,15.1798813351614,16.1897687938358,16.1391458619735,NA,14.0986108951005,14.6817559403204,NA,NA,NA,-0.212825739204914,0.385650675875761,0.45455057636262,-0.768374520249443,0.0220496162077987,0.0425571772628012
"P12956",25,15,24,16,15,21,33,34,29,29,27,30,26,26,22,25,25,26,18.7555232826523,17.1095752809794,18.4905853896867,17.4472190699766,17.2840427065008,17.8761710680155,19.7497624485944,19.4730588000533,19.2347631768523,19.4459244804014,19.3613664390513,19.6638719593251,18.8874084868235,18.9218889050938,18.7576192090917,19.5702638274447,19.0028312431627,18.8132970652578,0.984314032005843,7.24712201009123e-08,2.0874485407057e-07,0.854806198244236,2.68777715226357e-06,1.51132387414165e-05
"P37059",1,NA,2,2,1,2,1,1,1,1,1,1,NA,2,NA,NA,NA,NA,17.5698625858163,16.7456822551287,17.9840718504633,16.187672130252,17.1481799350979,16.8880117076489,17.5782802277322,17.2294445212039,17.1933934713279,17.3824702771365,17.7425212133506,17.8695810046432,17.2933553572732,17.4712371682761,17.1129580709974,17.3878434723519,17.1324162612809,17.1977386286471,-8.09070336476776e-09,0.999793294211626,1,1.24269968649716e-09,0.999968887137761,1
"P48556",6,5,4,5,7,7,6,6,7,4,4,3,7,6,4,5,6,6,17.514611720592,17.8898411373226,17.3054759912165,17.8916147761167,17.6762929237815,17.5010830117506,18.1564534558436,17.9681621549051,17.7764108371024,17.7304556292482,17.5420069640274,17.8163629646113,17.8921232634191,17.669031275913,17.7258881080392,18.4509689982606,17.930838609041,17.9662958565101,-0.386935088336204,0.00261209625926179,0.00407642760356603,0.0512936749277588,0.681201499446909,0.795121439072449
"Q9UNW1",4,6,5,7,8,8,NA,NA,3,NA,1,NA,2,4,3,5,5,3,17.1900068789392,18.3306874145799,17.2121630703998,18.1743563532178,18.0480955178708,17.1829505201858,16.8530370254781,16.8377802468624,16.8003019805636,16.8165728841931,16.7835108814812,16.7390685377516,17.4953414042409,16.9586502443518,17.0729533917142,18.4873301080548,17.1721381524253,17.2746560992669,-1.43596157147758,1.68871618103983e-09,6.16125539991502e-09,-0.471704112175971,0.0293303520010724,0.0540047355479869
"Q9H6R3",NA,NA,NA,NA,NA,NA,14,11,14,13,10,11,NA,NA,NA,1,NA,NA,15.6596668647083,14.731375284367,15.3974797323762,15.0335072529996,15.5688395197647,15.3060727927515,18.5183598053754,18.1591005870127,18.1227908210737,18.4568289291936,18.1691277352312,18.390154588656,16.2007598293015,15.9743256680446,15.6343691237675,17.115256010875,15.8272332905013,15.8200417700479,2.4202790235057,4.84193018651421e-53,7.77291192608414e-51,0.698744890347368,5.71334980007343e-13,8.85016314192019e-12
"Q99798",NA,NA,NA,NA,NA,NA,15,10,8,10,8,9,NA,NA,NA,NA,NA,NA,NA,NA,15.2198645488069,15.1149492062393,NA,14.4796270981578,18.2410727936697,17.8604105874183,17.711400805232,18.0890426719815,17.9217881548077,18.1260669838685,NA,14.8015415324003,14.7663107156072,15.525885301238,NA,NA,9.55821686220282e-05,0.989610245814103,1,-1.98287308286972e-05,0.998440548258119,1
"P63010",5,NA,4,NA,NA,3,5,5,5,6,7,6,5,4,4,3,5,5,16.8799979438468,15.7917516213371,16.7052834069816,15.6067986557529,15.4444885252871,16.0845945298764,17.146531545376,16.9992203268231,16.9414838601335,17.0413284067035,17.2427437113857,17.3542401422824,16.5465987061543,16.0722689107905,16.401983439947,16.9370679066079,16.3739439447535,16.4822713644809,0.067142361214586,0.392341761882342,0.461984822793486,-0.00687033296779907,0.932646350159838,1
"Q86XP3",NA,NA,NA,NA,NA,NA,4,5,6,8,5,7,3,NA,4,3,NA,NA,16.1918020423317,15.9482865771066,16.3668552869438,16.1003156351415,15.498673016412,15.9811210360067,17.580082194886,17.4885192425065,17.3331177595851,17.6380283010935,17.2925154650521,17.8763764511551,16.6062480091948,16.7991413753312,16.6185116091276,17.4029734359027,16.7708226368259,16.7168095784195,0.872908051939091,3.62896015453774e-13,2.10060962791512e-12,0.612211275282432,3.5819211891799e-08,2.83834745056797e-07
"P47755",3,2,2,1,NA,2,5,4,5,5,4,5,4,6,3,4,5,5,17.1993575172843,16.9234526910927,17.037971322786,17.1934533890606,17.1180119461612,17.1597350654833,18.8434467201346,18.4539616556611,18.4399788499854,18.586396638925,18.0341732326294,18.5584496607808,18.0274268154717,17.8324436282745,17.754595424563,18.6767057469804,18.0336274486312,18.0606255956908,0.719873612710312,1.15676448149175e-09,4.3185873975692e-09,0.715478922711289,1.42951757482664e-09,1.40734702742672e-08
"Q7KZF4",15,NA,17,NA,NA,10,26,27,20,16,18,21,12,17,16,11,15,11,17.9455979000029,15.8406087360117,17.9599514924983,16.0325755271108,15.8386174134538,16.7228244744973,18.7071939207751,18.2336342960491,17.845521179027,18.1115464864557,18.3267979569235,18.5460759102652,17.5200842117746,17.4563828130554,17.3545432217807,18.1005103682074,17.3844288317257,17.2740000899907,0.713099245897014,0.00686427824859547,0.0101817331445411,0.418498064476118,0.113647990332151,0.172265672214327
"P62854",2,2,3,2,2,2,3,3,3,3,3,4,3,3,3,3,2,2,18.9030907874883,17.8191122559849,19.3708658397937,17.7646205981388,17.8384117536065,18.1630933348587,20.9171333642409,20.7884601332048,20.2697362991543,20.5553978574231,20.588768004723,21.056358870118,18.0649736839471,18.0004540694485,17.7433709806212,18.7978143382117,17.6312627535016,17.7517675125341,1.75600173608989,7.6183741741596e-09,2.49932493343002e-08,-0.477461291536338,0.0520504013588252,0.0883826122083022
"P42785",4,5,2,4,5,4,2,2,2,2,3,2,3,2,2,3,NA,NA,17.1446041627653,17.6197424937198,17.077974088892,17.4705229528651,17.4990801406207,17.0452329712993,17.1118343487084,16.6741277993409,16.4720424968082,16.8499835547387,16.9145422338205,16.9418004211624,17.0737641913541,16.8395357196575,16.7756501221016,17.7627280010451,16.7590237199987,16.6637389631576,-1.14011340247047,2.44216793921128e-11,1.14189133934384e-10,-0.573889061647691,0.000129279844957043,0.000500646625390097
"Q13155",7,NA,5,1,NA,1,7,6,6,4,5,4,4,3,3,3,2,3,17.3478866383884,14.7708486205107,17.3851215857948,14.5848102643608,14.7874892507544,15.4266346755895,18.1829097100852,17.9144235349525,17.6678583975528,17.60716658092,17.6108802328962,17.9834904366791,16.8805919401324,16.7887102026614,16.6271963633064,17.5523107198131,16.7664840721744,16.4221282861442,1.18394444227213,0.000792442989069643,0.00133347499488449,0.689459562260541,0.0467933120603925,0.0806537991794705
"P42330",NA,NA,3,NA,NA,NA,5,5,6,5,5,5,3,3,3,3,3,4,16.8597419200652,15.6251761645495,16.651445063547,15.624237005812,15.4977224589507,16.1111234489217,18.2676448711693,18.1549051621445,18.1474767624286,18.296153169931,17.7765382867985,18.1345711964038,16.8902545533231,16.46424841382,16.6157415806261,17.1430421349713,16.8202672361539,16.5381707217794,1.3856642274454,8.25545706621707e-14,5.09721554242326e-13,0.388982639658322,0.0113985730358069,0.0241127522986541
"O43852",9,16,8,14,13,11,11,10,10,7,7,9,9,10,6,10,7,9,18.4810155305647,19.2768140427332,18.1462453259668,18.9640577450066,19.0036893131428,18.3566818051388,18.4979715077132,18.069550159555,17.8481748555744,17.9193538651113,17.6138128438508,18.2597582477747,18.2594904283852,17.8530094035168,17.7206766192566,18.6564500524867,17.9482336111177,17.9456826271327,-1.22070870684323,1.44270504195272e-10,6.27081902711578e-10,-0.875323343284177,2.65192601280113e-06,1.49466534195669e-05
"P07099",10,17,11,14,14,13,7,9,7,6,6,9,11,13,13,13,11,14,17.667391678864,18.4818238914879,17.4998797195395,18.0830221730087,17.9807610368437,17.4803668540493,17.0072821382384,16.763888094606,16.5761390692104,16.5909803717355,16.464327425006,16.812392222001,17.6966450725854,17.5186629511286,17.3180636205668,18.466006804007,17.4788426590513,17.5198331059852,-1.73653326547865,1.35326487894201e-21,2.06244419524833e-20,-0.405014652349449,0.010720634966784,0.0227789774825207
"O75694",6,NA,10,NA,NA,3,9,8,8,9,7,7,6,7,7,4,4,6,16.8058351617087,NA,17.0155101299989,14.8095435953594,NA,15.7044257407457,17.4209841655838,17.2021621637519,16.9092276792297,17.2644131003977,17.2608720895617,17.3731223353642,16.8164852298086,16.9319033467996,16.6419945368418,17.4617198876561,16.7393258321139,16.7008328146882,0.36227238612407,0.0678381581080609,0.0895582701338874,0.402194758946123,0.0445237601805517,0.0773527845104954
"Q96EY7",NA,NA,NA,NA,NA,NA,4,1,1,2,2,2,NA,NA,NA,NA,NA,NA,15.8720558783996,16.6965902679905,16.2683454928508,15.5030885589893,15.6113880933587,15.8371378055474,17.8356231512389,17.3615800806235,17.3000970822276,17.7046058433624,17.3145980372053,17.7759749269788,15.9609901693145,15.7603704257032,15.4173579293844,16.7232247381888,16.588860271732,16.004883150453,1.0477860216276,1.35761236638841e-07,3.7749775730523e-07,-0.057523628059076,0.720286905010834,0.829850700062866
"Q53GQ0",9,9,9,8,6,9,8,8,7,7,8,7,8,7,7,8,7,6,18.3585399067754,17.6010134507132,18.206953709767,17.5992460032118,17.3706090502401,17.6781800286121,17.9695562690907,17.784860950054,17.614212474122,17.790093763823,17.8209978711495,17.9876357620847,17.911341613493,17.7424738773638,17.5355576276936,18.6594100734159,17.8075851005537,17.7110672034058,-0.578975846558929,5.95488332633363e-10,2.32781802756678e-09,-0.100464694896206,0.249595421781576,0.335354565023818
"Q9BVK6",4,6,4,6,6,6,1,1,1,1,4,1,4,4,4,3,6,6,18.7250319036096,19.3042332308118,18.4788433825198,18.9837342105834,18.8355128121421,18.7283533964809,16.8893104813629,16.7135238890635,17.1226326246787,17.1206978529934,17.5986944961369,17.7089087830868,18.4200343979644,18.2451833846604,18.3622348042657,19.013672847633,18.6983822355771,18.4085549884769,-2.36519580679078,9.60045566684783e-28,2.43346286797574e-26,-0.641395882106641,8.27105347585458e-06,4.14588713894089e-05
"Q7Z7H5",3,2,2,2,2,2,NA,NA,NA,NA,NA,NA,1,1,1,1,2,2,18.4441313106094,18.8896049360398,18.144005220625,18.7408746765433,18.4650816864085,18.3772842295697,16.4550244053378,NA,16.360180557339,16.7425645575983,16.9753418477382,NA,17.6928911756016,17.5098564085878,17.3938480630528,18.3284952724194,17.9239895049096,17.5186924808428,-2.47426293001789,1.085505185457e-12,5.91379295606437e-12,-0.991117247457168,1.62077660238279e-07,1.13597668084853e-06
"P61011",2,NA,NA,NA,NA,NA,2,3,4,2,3,3,1,1,1,3,2,NA,16.5330782705766,NA,16.5639911315615,14.7139379708534,14.0086045949442,15.6578500257426,17.3891310154848,17.1323824812151,16.6875219970224,17.2625964671619,16.6968385886607,17.1351071714189,16.1934584547998,16.2101963727716,16.2710020432573,16.9312412594848,16.5408221732217,15.9404642549454,0.639065370957236,0.03163494926019,0.0435048302790049,0.451853207867488,0.122075132162703,0.182618312973613
"P09668",3,4,2,3,3,3,4,3,4,2,2,2,4,2,2,3,3,2,17.1641073321527,17.4035885100908,16.9171811426946,17.4136565567139,17.3158716383547,17.2736719861393,17.3884388612009,17.2158035267843,16.9554201635251,17.5232697148774,16.9226329480832,17.0346836734974,17.1839108944847,16.5134711058314,16.8249992002887,17.8725861757074,16.826893280444,16.6949408936788,-0.55917924289541,6.25875663673982e-05,0.0001222310298562,-0.326613169419742,0.0162912953622367,0.0328093496782721
"Q02818",5,8,3,8,6,7,4,4,2,4,3,3,5,4,3,5,4,5,16.6696312437534,17.4648891152182,16.5291982470781,17.4422517621036,17.3113863338179,16.8676641745966,16.6469921941765,16.338803827368,15.8434425314161,16.3448910246392,16.1389492085028,16.4267678681559,16.6239995134854,16.2980967574838,16.3374716404446,16.9021741230781,16.3024714648173,16.3115166750027,-1.2848781524314,4.06479110663993e-10,1.62591644265597e-09,-0.754496550966914,9.05553845305125e-05,0.000366032791679732
