"protein_group","number_of_peptides_Cu complex_1","number_of_peptides_Cu complex_2","number_of_peptides_Cu complex_3","number_of_peptides_Cu complex_4","number_of_peptides_Cu complex_5","number_of_peptides_Cu complex_6","number_of_peptides_DMSO_1","number_of_peptides_DMSO_2","number_of_peptides_DMSO_3","number_of_peptides_DMSO_4","number_of_peptides_DMSO_5","number_of_peptides_DMSO_6","number_of_peptides_Mn complex_1","number_of_peptides_Mn complex_2","number_of_peptides_Mn complex_3","number_of_peptides_Mn complex_4","number_of_peptides_Mn complex_5","number_of_peptides_Mn complex_6","abundance_Cu complex_1","abundance_Cu complex_2","abundance_Cu complex_3","abundance_Cu complex_4","abundance_Cu complex_5","abundance_Cu complex_6","abundance_DMSO_1","abundance_DMSO_2","abundance_DMSO_3","abundance_DMSO_4","abundance_DMSO_5","abundance_DMSO_6","abundance_Mn complex_1","abundance_Mn complex_2","abundance_Mn complex_3","abundance_Mn complex_4","abundance_Mn complex_5","abundance_Mn complex_6","log_fold_change_genotypeDMSO.genotypeCu.complex.","differential_abundance_pvalue_genotypeDMSO.genotypeCu.complex.","differential_abundance_qvalue_genotypeDMSO.genotypeCu.complex.","log_fold_change_genotypeMn.complex.genotypeCu.complex.","differential_abundance_pvalue_genotypeMn.complex.genotypeCu.complex.","differential_abundance_qvalue_genotypeMn.complex.genotypeCu.complex."
"Q9NQ50",NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,1,15.9443128178617,15.8993263568701,NA,15.402936266494,16.2074337433291,15.944686695846,17.7453757929369,17.4902547293657,17.2633688142107,17.8035396551941,17.7083804034232,17.9818836707893,16.7667411831528,16.4622618210924,15.4667436242273,17.5417846715761,NA,16.5782627190554,1.03891546947738,4.35407239627846e-06,9.94744433608969e-06,0.491876027924066,0.00893570402369131,0.019593265169756
"Q8NCC3",NA,3,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,16.6283015179305,17.6241944821883,16.8632980467086,17.6538701427716,17.3288984751701,16.891749588267,17.0803527358962,16.2220371768857,16.380443527975,16.4682532828207,16.820768867642,16.4295887195146,16.5727625319792,15.9319553050651,16.7169919589361,17.6575176375071,16.6496499384616,16.2454839167271,-1.31683881335271,5.97320364026363e-07,1.54661014685536e-06,-0.725839475152401,0.000913701679622359,0.00274567926504792
"P51659",17,21,16,21,24,21,18,21,15,19,19,16,16,17,15,15,16,17,18.4158905055197,19.0061475309941,18.28526489069,19.0233409964321,18.9631849991932,18.5135590548863,18.3791631460589,17.9453023236565,17.822129810372,18.0846341606988,17.8930646132883,18.2174941381411,18.5322646294473,18.2304864095045,18.1396166992185,19.1650068866446,18.3599226185445,18.2871233781728,-1.09348725078354,1.27598202085354e-12,6.873746546343e-12,-0.459401371705563,0.00205824812696834,0.00559666336676216
"Q13492",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,16.1595042943129,NA,15.977019152545,NA,NA,15.2865876916942,17.1561893900052,16.7508717426825,15.8446552402331,16.8673300276144,17.1328817866068,17.4565071324548,15.8769930871041,15.7548545501384,NA,NA,16.343983423339,NA,0.302274531873971,0.17335793776893,0.215622889539041,0.062853709220423,0.804085609846156,0.911524810784051
"P16435",20,18,20,15,15,13,18,16,14,15,20,17,15,14,12,20,14,15,19.6258716091676,18.1724778993888,19.3633620152622,18.1433356180866,18.083354527604,18.4461399175803,18.66650008423,18.2222372491074,18.3174803952208,18.4223036087753,19.1180858048602,19.2950223801015,18.6606275074973,18.7807079019896,18.4466413109485,19.4683599841338,18.8136481652251,18.6160243428971,-0.451101807169875,0.0195261677768515,0.0274643761721136,-0.0540066096665665,0.778590769190054,0.886810453901954
"Q92973",5,NA,6,NA,NA,NA,8,7,7,8,7,7,2,5,4,5,4,3,17.6411929423334,15.6535087335454,17.5258222015004,15.0312424827374,14.9013000261288,16.0012865932186,18.1963922902516,17.9341787367279,17.9244664476919,18.0074654407848,17.6378740941688,18.1742524298487,17.2056204274465,17.1705428757271,16.9738995663659,17.8993878928817,17.2169244479674,17.2311034843336,0.991633231803324,0.00240290091788246,0.0037768834270633,0.741432179476442,0.0223031404286279,0.0429429351797398
"Q6NUM9",4,NA,4,NA,NA,NA,3,2,2,5,3,3,4,4,6,5,6,5,18.0382499145145,15.8886620421273,17.9976689091879,16.1867175617372,15.8545036613091,16.6678821455029,17.7795027824043,17.3833780806946,17.1851383364956,17.6622311867659,17.735872058102,18.1453312609693,18.1193502443221,18.1907464598129,18.018180839674,18.3876589748093,18.0404488051894,17.8548409328617,0.142693809874617,0.62911315945295,0.716944859423902,0.860706801584628,0.00556128527382452,0.013207364928242
"Q9HC38",1,1,NA,NA,NA,NA,5,6,5,5,4,4,3,1,2,2,NA,2,18.0062212113756,17.332059444474,17.6067386645149,17.5844682422779,17.5634064719003,17.6662607636855,19.7046913996644,19.0078856772176,19.5175040801078,19.4536964482945,19.122905225962,19.5237027486899,18.3803845691147,18.1222972796498,18.1573476389554,18.99635741566,18.1585206757442,18.2835413131588,1.1215082284274,2.70445292741645e-11,1.26207803279434e-10,0.532410490793656,0.000134349175139437,0.000516115791215663
"Q92887",4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,2,17.1170456677186,16.295809314914,16.9756241376058,15.6428630583105,16.0679465879777,NA,15.1384236520013,15.8483843706014,15.8200371665784,NA,16.3308580287329,16.2061414306446,15.6326117765302,16.6043822704764,16.2109112745417,17.155929959729,16.7763755595603,15.9208405946405,-0.977251421504035,0.000693905417387086,0.00117836688650783,-0.296907644469568,0.201851012188532,0.280790428890304
"O14981",1,NA,NA,NA,NA,NA,1,2,2,1,1,NA,NA,1,NA,NA,NA,NA,15.4990331207042,NA,15.7921463256653,13.6710391021569,NA,13.3232776631552,15.9397160029914,15.6293051050575,15.175860628149,14.9219220741884,15.5342442025899,15.6949490058159,14.8289271629169,15.2504342237323,14.1528408962733,15.1055500904735,13.6455730492623,13.5679659248266,0.0783233618400503,0.66507083320598,0.754352598379652,-0.0592027454390639,0.743699654925603,0.852732985423292
