"protein_group","abundance_Cu.complex_1","abundance_Cu.complex_2","abundance_Cu.complex_3","abundance_Cu.complex_4","abundance_Cu.complex_5","abundance_Cu.complex_6","abundance_DMSO_1","abundance_DMSO_2","abundance_DMSO_3","abundance_DMSO_4","abundance_DMSO_5","abundance_DMSO_6","abundance_Mn.complex_1","abundance_Mn.complex_2","abundance_Mn.complex_3","abundance_Mn.complex_4","abundance_Mn.complex_5","abundance_Mn.complex_6","number_of_peptides_Cu.complex_1","number_of_peptides_Cu.complex_2","number_of_peptides_Cu.complex_3","number_of_peptides_Cu.complex_4","number_of_peptides_Cu.complex_5","number_of_peptides_Cu.complex_6","number_of_peptides_DMSO_1","number_of_peptides_DMSO_2","number_of_peptides_DMSO_3","number_of_peptides_DMSO_4","number_of_peptides_DMSO_5","number_of_peptides_DMSO_6","number_of_peptides_Mn.complex_1","number_of_peptides_Mn.complex_2","number_of_peptides_Mn.complex_3","number_of_peptides_Mn.complex_4","number_of_peptides_Mn.complex_5","number_of_peptides_Mn.complex_6","differential_abundance_pvalue_Cu.complex_vs_DMSO","differential_abundance_qvalue_Cu.complex_vs_DMSO","log_ratios_Cu.complex_vs_DMSO","differential_abundance_pvalue_Cu.complex_vs_Mn.complex","differential_abundance_qvalue_Cu.complex_vs_Mn.complex","log_ratios_Cu.complex_vs_Mn.complex","differential_abundance_pvalue_DMSO_vs_Mn.complex","differential_abundance_qvalue_DMSO_vs_Mn.complex","log_ratios_DMSO_vs_Mn.complex"
"sp|O75531|BAF_HUMAN",-15.3742889742,NA,NA,NA,NA,NA,-15.8368869331,NA,-15.8046902798,NA,NA,-15.8271344056,NA,-15.2982626706,-15.2527774726,-15.3103080218,-15.2994534495,NA,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,7.26495726495726e-05,0,-0.532703469208334
"sp|O75533|SF3B1_HUMAN",NA,NA,-19.7113981149,NA,NA,NA,-18.8852380188,-18.7538816111,-20.0034957461,-19.6808925409,-19.6759735577,-19.9807687313,-19.4187603272,NA,NA,NA,-18.4605800901,-19.4822799823,1,NA,1,NA,NA,NA,8,7,3,3,2,5,2,4,1,1,2,2,NA,NA,NA,NA,NA,NA,0.346719373219373,0.456692913385827,-0.376168234450002
"sp|O75534|CSDE1_HUMAN",NA,NA,NA,NA,NA,NA,NA,-19.5406727074,NA,-19.0928350035,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,3,4,NA,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|O75643|U520_HUMAN",-18.7542060431,NA,-18.8805005485,NA,NA,-19.9970838307,-19.0094320561,-19.5494536208,-19.6870983028,-20.3991859293,-18.8891363576,-19.1195112965,NA,-18.5296378079,-20.0308127403,NA,NA,-20.3076228958,9,NA,8,NA,2,6,13,14,9,11,13,10,5,6,8,6,6,10,0.51240365448505,0.642553191489362,0.231706119750001,0.393274671052632,0.621621621621622,0.412094340566668,0.675347578347578,0.757188498402556,0.180388220816667
"sp|O75694|NU155_HUMAN",NA,NA,-18.6043882238,NA,NA,NA,-20.2365911336,-19.8669924837,-19.9367474794,-19.9620844604,-20.01824591,NA,-19.4191513121,NA,NA,NA,NA,NA,2,NA,3,NA,NA,NA,3,2,3,2,2,3,2,3,4,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|O75783|RHBL1_HUMAN",NA,-18.0072807666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|O75791|GRAP2_HUMAN",NA,NA,NA,-17.9219119326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|O75822|EIF3J_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-17.3421228407,NA,NA,-16.8530805628,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,2,2,3,3,2,2,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|O75843|AP1G2_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.3676200575,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|O75874|IDHC_HUMAN",-17.7998497543,NA,NA,-17.1180503131,NA,-17.637785451,-16.0514265732,-15.9764983534,-15.3354107252,-16.3205272747,NA,-17.1843724111,-17.6886206152,-17.7172350429,NA,-16.6161593487,-17.5475396186,-16.4202961662,4,4,3,2,3,5,7,7,9,7,6,7,5,5,6,4,5,5,0.00566112956810631,0.0357142857142857,-1.34491477194667,0.335077302631579,0.583333333333333,-0.320591681146666,0.0511495726495726,0.0833333333333333,1.0243230908
"sp|O75886|STAM2_HUMAN",NA,NA,NA,NA,NA,NA,NA,-18.7607755442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|O75947|ATP5H_HUMAN",-16.4406739085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.3140550165,-16.3693153356,-16.3811176922,-16.3901660386,2,2,2,2,1,2,1,1,1,2,1,2,2,2,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|O75976|CBPD_HUMAN",-19.8790477766,-19.3531002512,-19.9146699392,-19.5882800727,-19.4266553225,-19.9142508757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,2,3,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|O76003|GLRX3_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,-17.6409699065,NA,NA,NA,-17.3050964027,NA,NA,-17.3630293242,NA,NA,1,NA,1,1,NA,1,1,2,2,1,1,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|O76021|RL1D1_HUMAN",-17.1605068749,NA,-17.0421000579,NA,-18.3708697446,-16.7991749594,-16.8293630729,-16.6064716537,-17.4589717061,-18.753261567,-16.6022193266,-16.8045240429,-16.931989016,-15.7195153113,-16.4385466239,-16.2519693364,-15.8306691996,-16.9800905999,6,1,5,2,1,4,5,6,5,5,8,7,6,9,6,5,6,6,0.635078073089701,0.73828125,-0.167361014333334,0.0178930921052632,0.294117647058824,-0.984366228016668,0.0882264957264957,0.14367816091954,-0.817005213683334
"sp|O76094|SRP72_HUMAN",NA,NA,NA,NA,NA,NA,-19.0207704491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,1,1,2,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|O94826|TOM70_HUMAN",-18.6132417796,NA,-18.6624938488,NA,NA,-18.6100360186,NA,NA,NA,-19.2572360461,-18.8862894201,-19.1291259697,NA,NA,NA,NA,NA,NA,2,NA,2,1,NA,1,NA,NA,1,1,2,1,1,1,1,1,1,1,0.125393687707641,0.229166666666667,0.462293262966668,NA,NA,NA,NA,NA,NA
"sp|O94906|PRP6_HUMAN",-18.9957889215,NA,NA,NA,NA,NA,NA,-18.4522824785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,1,4,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|O94973|AP2A2_HUMAN",NA,NA,NA,NA,NA,NA,-19.497499307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,3,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|O95070|YIF1A_HUMAN",-17.1854267852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-17.1847246709,-17.1179858598,NA,NA,-17.1536845915,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|O95163|ELP1_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.3992942528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|O95197|RTN3_HUMAN",NA,NA,-18.7430576484,NA,NA,NA,NA,NA,NA,-19.0033548142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,1,1,1,1,1,2,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|O95373|IPO7_HUMAN",-18.8645198995,NA,-19.034574523,NA,NA,NA,-19.2270268442,-19.1455852692,-19.2065896123,-19.2157137525,-19.1389970411,-19.2556819141,NA,-18.7294942565,NA,NA,-18.7752783242,NA,1,NA,2,NA,NA,NA,3,3,4,4,3,3,NA,1,NA,NA,1,1,0.341669435215947,0.45933014354067,0.248718527650002,0.213768092105263,0.512605042016807,-0.1971609209,0.00117094017094017,0,-0.445879448550002
"sp|O95394|AGM1_HUMAN",NA,NA,NA,NA,NA,NA,-18.8360875982,NA,-18.7927001447,-17.8729811415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,3,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|O95479|G6PE_HUMAN",NA,NA,NA,-18.307927539,-17.5106887962,-18.7419810158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
