"protein_group","number_of_peptides_Cu.complex_1","number_of_peptides_DMSO_4","number_of_peptides_DMSO_5","number_of_peptides_DMSO_6","number_of_peptides_Mn.complex_1","number_of_peptides_Mn.complex_2","number_of_peptides_Mn.complex_3","number_of_peptides_Mn.complex_4","number_of_peptides_Mn.complex_5","number_of_peptides_Mn.complex_6","number_of_peptides_Cu.complex_2","number_of_peptides_Cu.complex_3","number_of_peptides_Cu.complex_4","number_of_peptides_Cu.complex_5","number_of_peptides_Cu.complex_6","number_of_peptides_DMSO_1","number_of_peptides_DMSO_2","number_of_peptides_DMSO_3","differential_abundance_pvalue_DMSO.Cu.complex","differential_abundance_pvalue_Mn.complex.Cu.complex","differential_abundance_qvalue_DMSO.Cu.complex","differential_abundance_qvalue_Mn.complex.Cu.complex","abundance_Cu.complex_1","abundance_Cu.complex_2","abundance_Cu.complex_3","abundance_Cu.complex_4","abundance_Cu.complex_5","abundance_Cu.complex_6","abundance_DMSO_1","abundance_DMSO_2","abundance_DMSO_3","abundance_DMSO_4","abundance_DMSO_5","abundance_DMSO_6","abundance_Mn.complex_1","abundance_Mn.complex_2","abundance_Mn.complex_3","abundance_Mn.complex_4","abundance_Mn.complex_5","abundance_Mn.complex_6"
"sp|P61019|RAB2A_HUMAN;sp|Q8WUD1|RAB2B_HUMAN",8,5,5,4,4,4,3,5,7,8,3,5,1,2,2,5,6,6,0.0410198706333583,0.0177916781746037,0.0669753719026048,0.0589744459290163,24.7591761780975,22.2455271041294,23.9960061119226,21.2175061025052,20.906050208415,22.4117435609554,23.7543968211784,23.8573984984839,23.8702100682747,23.7087690087077,23.7331001468547,23.3211773306524,23.7674448281715,23.4785778106649,23.2105700039477,23.8655270844581,24.5128334578371,24.6430183235077
"sp|P61026|RAB10_HUMAN;sp|P51153|RAB13_HUMAN;sp|Q92930|RAB8B_HUMAN;sp|P59190|RAB15_HUMAN",3,3,3,2,3,3,3,3,3,3,3,3,2,2,2,2,3,3,0.810350075937266,0.161788138126869,0.853136559946754,0.292382806817838,23.8136130906345,22.4595564480999,24.131657569118,22.2724286844451,22.375309894182,23.0933443380084,22.578948729846,22.7816076791244,23.2366532353776,22.7467640968066,23.1731174877317,23.1960051254659,23.4483171070979,23.3647541451291,23.3379627150373,23.3739888892022,23.6833053952411,23.5275000588006
"sp|P62837|UB2D2_HUMAN;sp|P61077|UB2D3_HUMAN;sp|Q9Y2X8|UB2D4_HUMAN;sp|P51668|UB2D1_HUMAN",0,2,2,3,1,1,1,2,1,2,0,2,1,0,0,2,2,2,0.0117504561039317,0.387885386142375,0.0223875840485532,0.533808550703939,NA,NA,22.8653404614845,19.2229482655925,NA,NA,23.2272964867492,23.1154927672728,23.1200548351041,22.9500590639058,22.8600337057536,22.909609428974,20.8864731412854,21.2658134511337,21.3148515464485,22.4232211919663,21.3831527303339,22.6828955098706
"sp|P61086|UBE2K_HUMAN",4,6,5,5,3,3,4,6,4,6,0,1,0,1,0,6,6,6,3.38572277876664e-05,0.000507730704541586,0.000146245443441693,0.00393140098892081,21.9281158902939,NA,NA,NA,20.0722452370614,NA,23.6814618888194,23.8741217780024,23.978656795733,23.7809766202297,23.2836072294404,22.9614230276103,22.7047042346822,22.6499695287606,22.9896169032953,22.76036004819,23.1236144203785,23.5460879690231
"sp|P61088|UBE2N_HUMAN;sp|Q5JXB2|UE2NL_HUMAN",2,4,2,3,2,3,2,2,2,2,1,2,1,2,2,3,3,4,5.28213978723264e-06,1.97070422698952e-05,3.27891318867837e-05,0.000319058643030782,22.7661920460943,21.039257104315,22.2781057300002,21.8371250630262,22.2669571618911,23.4342253238904,23.5903578594329,24.6294251302193,24.7658085652944,24.6620619749167,23.8864728932965,24.1418119691364,24.1066643920845,24.0173427779063,24.0338244884122,24.1831592072976,24.0837658229672,24.0542479455764
"sp|P61106|RAB14_HUMAN",3,2,2,4,2,3,3,3,2,2,1,3,1,1,2,2,2,2,0.0412431984429728,0.10295071982902,0.0672568784228611,0.212071987534226,22.9773540823074,20.9311843848661,22.9389854001378,21.120692229948,20.8261753560921,22.1694802932199,22.1345364090813,22.5484456287605,22.5268912632031,22.6077214176215,22.8030644120326,23.2158411933835,22.1509302147239,22.0624056257304,22.2105886652382,23.0194282317688,22.9016848611978,22.4305875106298
"sp|P61158|ARP3_HUMAN",4,8,7,6,5,4,5,4,6,7,2,2,2,1,2,7,8,7,2.820046787596e-07,3.3222889583037e-06,3.05866613116182e-06,0.000108472734488616,23.5505334585419,21.8186436308012,21.7468328070747,22.141626378835,21.1587613244502,22.7495164427256,24.7403265251548,24.5978824337205,24.7962048594045,24.8212619755733,24.6802152983519,24.7620480996385,24.1934893184836,23.7767226027206,23.9178022507104,24.4755516062704,24.4562953751258,25.1066122576703
"sp|P61160|ARP2_HUMAN",4,6,5,6,3,3,3,4,5,5,0,3,0,0,1,5,5,7,0.000624959471339966,0.00535748897903241,0.00168785508655293,0.0240892741130861,22.8833561945326,NA,22.3677200482142,NA,NA,19.8123704230554,23.6360460334008,24.0377946016384,23.895743617908,23.8890622975079,23.5450198105692,23.7778008321563,23.2086578207766,22.7122137737839,23.1028119193649,23.1272473150288,23.7937832258798,23.7828444931127
"sp|P61163|ACTZ_HUMAN",1,4,3,5,2,1,2,0,1,2,0,1,1,1,1,5,3,3,0.000375908585798437,0.869125769592554,0.00109390639954051,0.923328298607274,20.6239369204584,NA,19.4596872805335,21.4755781631195,21.7459701580339,22.2899051153247,23.543175351149,23.1330298779335,22.6153012514502,23.5589021991841,22.1934936075554,22.9433940040988,21.1502290750366,20.5538063085155,21.6335540005653,NA,20.9275527974409,20.959358086426
"sp|P61201|CSN2_HUMAN",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.421146163649,21.8807745165575,20.5489851696681,NA,NA,19.1699677030348,NA,20.2880321566327,NA,NA,NA,NA
