"","protein_group","number_of_peptides_SARS.Covid19.Negative_1","number_of_peptides_SARS.Covid19.Negative_2","number_of_peptides_SARS.Covid19.Negative_3","number_of_peptides_SARS.Covid19.Negative_4","number_of_peptides_SARS.Covid19.Negative_5","number_of_peptides_SARS.Covid19.Negative_6","number_of_peptides_SARS.Covid19.Negative_7","number_of_peptides_SARS.Covid19.Negative_8","number_of_peptides_SARS.Covid19.Negative_9","number_of_peptides_SARS.Covid19.Negative_10","number_of_peptides_SARS.Covid19.Positive_1","number_of_peptides_SARS.Covid19.Positive_2","number_of_peptides_SARS.Covid19.Positive_3","number_of_peptides_SARS.Covid19.Positive_4","number_of_peptides_SARS.Covid19.Positive_5","number_of_peptides_SARS.Covid19.Positive_6","number_of_peptides_SARS.Covid19.Positive_7","number_of_peptides_SARS.Covid19.Positive_8","number_of_peptides_SARS.Covid19.Positive_9","number_of_peptides_SARS.Covid19.Positive_10","abundance_SARS.Covid19.Negative_1","abundance_SARS.Covid19.Positive_1","abundance_SARS.Covid19.Negative_2","abundance_SARS.Covid19.Positive_2","abundance_SARS.Covid19.Negative_3","abundance_SARS.Covid19.Positive_3","abundance_SARS.Covid19.Negative_4","abundance_SARS.Covid19.Positive_4","abundance_SARS.Covid19.Negative_5","abundance_SARS.Covid19.Positive_5","abundance_SARS.Covid19.Negative_6","abundance_SARS.Covid19.Positive_6","abundance_SARS.Covid19.Negative_7","abundance_SARS.Covid19.Positive_7","abundance_SARS.Covid19.Negative_8","abundance_SARS.Covid19.Positive_8","abundance_SARS.Covid19.Negative_9","abundance_SARS.Covid19.Positive_9","abundance_SARS.Covid19.Negative_10","abundance_SARS.Covid19.Positive_10","log_ratios_SARS.Covid19.Positive..vs.SARS.Covid19.Negative.","differential_abundance_qvalue_SARS.Covid19.Positive..vs.SARS.Covid19.Negative."
"415","sp|P35580|MYH10_HUMAN",NA,NA,2,2,2,NA,1,2,3,3,1,2,3,1,1,1,1,1,5,2,21.9837450668392,22.5625550093163,22.0323852920888,22.3677390722469,22.5266780844109,20.9471851333164,22.3604857116144,20.9036833826912,21.4807752889555,21.4403648213834,20.7757242003951,21.6471972019041,22.2190293393856,21.4403648213834,21.706286799531,21.6471972019041,21.4271154899748,21.4291331636385,21.264715759997,20.4019862135542,-0.29895350118538,0.712659880997745
"416","sp|P30050|RL12_HUMAN",3,2,4,5,1,3,3,2,2,2,6,5,6,5,3,3,3,3,5,3,22.7767008879116,22.9115979837064,22.4629958210342,22.4262207264717,22.6000046389958,21.7655858748874,22.4343866920829,21.9321882540746,20.7878844302828,22.0220924451722,21.0339270458271,22.0936267859069,21.7258115098621,22.0220924451722,21.5017609089361,22.0936267859069,21.8989938688723,22.261642882605,21.7652549338067,21.7466300490082,0.22875834952999,0.285006587371582
"417","sp|Q04917|1433F_HUMAN",2,3,7,6,1,2,2,1,1,3,3,4,4,3,2,3,2,3,4,5,24.0161325869352,24.3006618722664,23.9306974595919,23.2183917716396,25.5464498778603,23.3402584229733,25.3024747958882,22.766619993738,22.973040065325,23.4715566451648,23.4068812555541,22.5242097813944,24.1210577515617,23.4715566451648,23.9786404671172,22.5242097813944,23.0288043176182,24.1267607073051,22.8617112047683,24.0436559686343,-0.537800819254501,0.388882168087142
"418","sp|P48643|TCPE_HUMAN",NA,1,4,4,1,NA,1,1,2,1,3,4,NA,NA,NA,NA,NA,NA,3,2,21.2595290713153,22.0398907837182,21.3609428367569,21.420316467842,22.1040842471955,19.8551327145789,21.9038276145299,20.1867159061658,21.4887839260233,20.2346712741419,20.951873230032,19.7939754283457,20.6110294094964,20.2346712741419,20.5840050422986,19.7939754283457,21.1908449738573,20.34575065757,20.6518679458218,20.2938005375541,-0.79078878249228,0.0390250776348321
"419","sp|P31146|COR1A_HUMAN",1,NA,1,NA,NA,NA,2,1,NA,NA,5,8,NA,3,NA,NA,NA,NA,1,4,22.4738396218633,22.7199119385245,22.4858317649095,22.881768482835,22.0295686388425,21.2013320075188,21.1725514214438,21.5055148975864,20.9860758632896,21.1945110004174,21.2490105613071,21.0418895469143,21.7563797942987,21.1945110004174,22.193705520098,21.0418895469143,21.0333448589069,21.8069696294753,20.9591901962751,21.7166905382738,-0.00345096523572863,0.817994505494506
"420","sp|P63000|RAC1_HUMAN",1,NA,3,3,NA,NA,2,3,2,NA,5,4,5,4,3,3,3,3,6,4,21.9698851652887,23.5277536730492,22.4063460684006,23.3598553030033,23.0703791071719,21.7420185627158,22.6214827013076,21.5192303504327,20.2034282078338,21.7094227375962,19.2923366652911,21.3894665752163,22.5210339004802,21.7094227375962,22.0908938789117,21.3894665752163,21.8868630506487,22.3100485639168,21.4533187432083,21.4595832055626,0.26003007957628,0.513012459077225
"421","sp|P0DP23|CALM1_HUMAN; sp|P0DP24|CALM2_HUMAN; sp|P0DP25|CALM3_HUMAN",NA,NA,1,4,NA,1,1,1,2,1,5,6,5,3,2,3,2,3,4,4,21.8053333490017,24.0392298271969,21.8033759529122,23.9813334944801,23.5053388615419,22.8314879822818,22.9685687164975,22.8493498327749,22.8167041041605,22.6331995725667,21.2066771086386,22.7531563439406,21.7603963149571,22.6331995725667,21.6714196956327,22.7531563439406,21.8112116083715,23.3821912713622,21.4137867293665,22.9464332686807,1.0039925068711,0.005408696465907
"422","sp|O60506|HNRPQ_HUMAN",NA,NA,2,4,1,1,3,3,NA,NA,5,4,2,1,2,3,2,3,5,5,22.0538639185564,22.6408632860598,21.6825698855506,21.8761893255969,22.5239611398564,20.8128775645342,22.1347741116777,20.862819986121,19.9643639681932,20.9732956984932,20.2474237154599,20.9253300516476,21.8177451673245,20.9732956984932,21.4348740484363,20.9253300516476,21.403588493815,21.9498487911453,21.175015258282,21.662138209125,-0.0836191044288196,0.976357794831904
"423","sp|P23246|SFPQ_HUMAN",3,4,3,1,3,1,2,2,2,2,2,4,1,NA,NA,NA,NA,NA,3,3,22.3244799853631,21.4803827114784,22.9403444273105,21.3052840074287,22.6437270731815,19.7428094079229,22.2836338241336,19.5660302282426,20.6271935396895,19.8339729173095,20.2796845369545,19.3232597320441,21.6178746697451,19.8339729173095,22.6887900660695,19.3232597320441,21.3804512884937,20.6529846468151,20.9734631758579,20.9868632370919,-1.57108230491121,0.00408552761050679
"424","sp|P07954|FUMH_HUMAN",1,2,1,1,NA,NA,NA,NA,1,1,4,5,3,4,2,3,2,3,2,1,21.7935094469124,21.9845712650185,21.8455949475748,21.8107940107042,22.0923090546461,21.3594745126432,21.9237645208288,21.5169177807078,20.1437271344996,21.415568226099,20.0919708815748,21.317134757933,21.1268908100107,21.415568226099,20.5717087842145,21.317134757933,21.3928459187384,20.8754209898421,21.1988429207714,20.6383752618534,0.146979536906171,0.424881089060194
"425","sp|P15880|RS2_HUMAN",1,1,2,2,1,1,2,2,2,4,5,5,6,4,4,5,4,5,7,6,22.4952267961432,23.6751811211806,22.1833636948778,23.493539832996,23.2652026807365,22.3205361527635,22.575907000298,22.1956776831339,21.1219007094538,22.5995966715182,20.3785367060438,22.2338541300552,22.263668366557,22.5995966715182,22.2372031030908,22.2338541300552,21.9620397284832,22.6825358100004,21.7460660827439,22.5503417924113,0.635559912720449,0.0199707897806168
"426","sp|P31025|LCN1_HUMAN",NA,NA,1,2,5,3,4,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,20.5581894624652,19.4407917479813,20.6233175592126,19.1473417315703,23.1724951126368,18.9300460692255,22.9431758409592,18.9409709255842,23.9876335359756,20.0107783775401,23.6273828136126,18.3926173241072,23.596406123424,20.0107783775401,23.1527861586758,18.3926173241072,20.4762237058221,19.2400308012696,20.1870659789828,20.2278487250314,-2.95908548878098,0.000167168466580811
"427","sp|P00403|COX2_HUMAN",1,2,3,3,4,2,2,1,1,1,7,6,5,3,5,1,5,1,3,4,21.9294878755696,23.2857641307971,21.6983958580165,23.1581705013651,23.0515481746561,22.6031969841095,22.7234058692516,22.535714873221,22.3459601376571,22.7379631613307,20.842657164644,22.4642894765884,21.4830742511895,22.7379631613307,21.5461792468293,22.4642894765884,22.7164841536856,21.886711349436,22.6844005306842,22.0425461136041,0.48950159661875,0.107299602423959
"428","sp|P04439|HLAA_HUMAN",1,1,2,2,2,2,2,2,NA,2,4,7,1,3,3,4,3,4,4,3,20.9032565005103,23.6482386341192,20.9970704883656,23.7185289044383,22.0451323926604,21.2042775475708,21.6720457701716,21.3536093773069,19.7947428548905,22.5420741096085,19.8923949542929,22.5433522533581,22.2404387775279,22.5420741096085,22.161210322965,22.5433522533581,22.227794833295,22.0108277097353,21.7794569691092,22.1874641389971,1.05802551743124,0.0227956065101972
"429","sp|P36542|ATPG_HUMAN",NA,NA,1,2,NA,NA,1,1,3,2,6,4,5,3,3,2,3,2,1,3,20.634183012942,22.986086629585,20.538432997586,22.0566170447498,22.291043073491,21.8619977521595,22.1148014584114,21.8444576182124,19.555288326828,21.6612335752376,18.8211378055056,21.8652846202061,20.7956893268331,21.6612335752376,20.7050084805687,21.8652846202061,22.9544901821614,20.9501352713252,22.2324516692835,20.8476455987755,0.69574499720841,0.165040293040293
"430","sp|Q07020|RL18_HUMAN",1,2,3,4,1,1,1,NA,3,4,6,5,6,6,5,5,5,5,5,3,21.430527332769,23.2995733309835,21.5839589196118,23.4178893327838,22.8743233630744,22.2407022554753,22.5323143051193,22.2429204031364,19.274329669149,22.3465663488584,20.075325391674,22.6389449308085,21.7034772772452,22.3465663488584,21.9775048483532,22.6389449308085,22.3880593409076,22.5891396390412,21.9745527929572,22.2354764151619,1.01823506950552,0.00327562992536034
"431","sp|Q9UKY3|CES1P_HUMAN",2,2,4,5,2,3,2,3,4,5,4,4,4,3,3,3,3,3,2,2,23.3841986609725,22.3209843582532,23.5579530344367,22.0674817932086,24.3023505371157,22.2976925349072,24.0162963552513,22.3425909666305,21.5089918380636,21.8346971014903,21.3413703265114,21.938799061042,20.9037008563007,21.8346971014903,20.6894779730149,21.938799061042,24.2322108385746,21.5264307037632,24.6102853727556,20.4586893432169,-0.99859737679528,0.137225370254974
"432","sp|Q12907|LMAN2_HUMAN",NA,NA,NA,2,2,1,1,NA,1,1,5,6,2,1,3,3,3,3,2,1,21.869131891727,22.6010127713268,21.7455303105424,22.5087374169075,23.0066024175594,21.5113565926266,22.6474953169052,21.6334660044793,20.4105161731066,21.8259951273884,20.7188837996576,21.9334813963285,21.2382195784387,21.8259951273884,19.8975972410608,21.9334813963285,22.3700856600387,21.7350887655011,21.848426092297,21.2363687052624,0.29924948222041,0.358160358160358
"433","sp|Q9NQ48|LZTL1_HUMAN",NA,2,3,2,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,2,3,21.8350979086487,21.5686340217144,21.7190636175306,21.6256639231091,23.1130305560919,20.0588592855091,23.1067244256898,19.6012940470112,20.2173169934533,19.4929983365664,19.9529746534461,19.6911203930693,20.864626730877,19.4929983365664,19.9310040044392,19.6911203930693,20.928487016633,20.4985455103814,20.8500490720332,20.6855029367819,-1.01116377950643,0.113094188932948
"434","sp|Q13200|PSMD2_HUMAN",3,1,4,3,3,4,2,3,1,2,2,1,NA,NA,NA,NA,NA,NA,3,2,21.5188366972005,21.599383620117,21.354424270737,20.7345490037124,22.1922425393911,19.8414965969644,21.5595083794591,19.6456277568018,21.2029993253203,20.094886309314,20.8405828793694,19.4201342105395,21.3534448895521,20.094886309314,21.1648791598994,19.4201342105395,20.9468969960758,20.728075888393,20.5712698216571,20.2908448656235,-1.08350661873427,0.00876331030790559
"435","sp|Q16531|DDB1_HUMAN",2,2,3,3,NA,NA,NA,1,NA,NA,4,5,4,3,2,1,2,1,3,3,21.4298454817309,21.8635442955065,21.2145933404735,21.6238053744569,21.3020714388395,20.7853146705358,21.2246578153654,20.6615712034186,19.0645026691964,20.5376312405602,18.6303593527308,20.4485801432664,20.4466163828712,20.5376312405602,20.6267516450394,20.4485801432664,20.6477171842823,20.7584222909673,20.6910125894335,20.5555618135908,0.29425145161662,0.285888194815942
"436","sp|P21397|AOFA_HUMAN",NA,2,2,NA,NA,NA,3,1,1,2,5,6,3,2,4,3,4,3,1,NA,21.7953091310398,22.8969603875573,21.5701415274038,22.7575699744586,22.3879103009823,21.6706589501931,22.3540943858501,21.6573189948141,20.5835934381209,22.0731686077015,20.0299657305105,22.1268506463838,22.1156104581331,22.0731686077015,21.9519937846326,22.1268506463838,22.0620194491126,21.597005457415,21.7103557901233,19.8864678054024,0.230502608210211,0.478399906971335
"437","sp|Q2M2I5|K1C24_HUMAN",NA,2,1,1,NA,1,3,2,3,5,1,1,2,1,1,1,1,1,NA,1,21.4409672285382,22.5318830494927,21.3569558986771,22.1644306754561,21.7186618436158,22.1804490097509,21.3588433937006,22.3381728557716,21.5339842338086,22.9704927369498,21.0027624905459,23.0327570570709,22.9443039386643,22.9704927369498,23.4604487718894,23.0327570570709,24.9165303475836,22.796723186424,24.6424679936009,22.41865817444,0.20608903987523,0.570828485279234
"438","sp|Q9Y490|TLN1_HUMAN",NA,NA,NA,2,2,NA,2,1,NA,NA,3,2,NA,NA,1,NA,1,NA,2,NA,21.3173750725368,21.9200727602483,20.885087864217,21.8971037194383,21.5693013339416,20.1363293739349,21.4436074253973,20.2966327003442,20.3876969709851,20.5627012628381,19.6597159174759,20.2356201535062,21.4214503032804,20.5627012628381,21.2703626318095,20.2356201535062,19.9152643276913,20.8540295199869,20.0059561739306,20.2741288671187,-0.0900878247505599,0.964514101644108
"439","sp|Q14894|CRYM_HUMAN",NA,1,5,6,3,4,1,1,2,4,3,4,1,1,1,NA,1,NA,1,2,22.1360877560543,23.1913647010534,21.8007388843253,23.2243738725645,24.0658174425452,20.0868672067315,23.4826559598035,20.219732494841,22.7965790312836,20.5843582610641,21.8283130679729,20.4122913719486,22.0596250215448,20.5843582610641,21.6449869245932,20.4122913719486,22.1728304914652,20.7801876081501,22.1150631825442,20.8850995973886,-1.37217730153777,0.0254783703517652
"440","sp|O75891|AL1L1_HUMAN",NA,NA,3,2,NA,NA,NA,NA,1,NA,6,4,2,1,NA,NA,NA,NA,1,1,22.6299523144709,24.6588551876809,22.7372221694647,25.0004237030273,24.9916114553767,23.6051452316059,20.8229168873827,24.378070830535,19.1011262715651,23.0298099016044,19.1950900910284,23.2552813278326,22.8620992792404,23.0298099016044,22.5043981039924,23.2552813278326,24.66563778886,24.6066587936668,24.7181840624789,24.6422569933178,1.52333547748475,0.0540320271530423
"441","sp|P51149|RAB7A_HUMAN",1,1,1,3,1,2,1,NA,1,2,5,5,3,4,2,NA,2,NA,3,2,21.6126516607335,21.5479157966271,21.1303666312792,21.5173370709349,22.6362500057967,21.0953651487417,21.8297987894793,20.5985802798367,20.6976154833415,20.7325092522982,21.460381525628,20.3259177989034,21.0298063638247,20.7325092522982,20.78056119289,20.3259177989034,21.3355426029543,20.8811563535021,21.3575822061333,20.459728774053,-0.56536189359618,0.163657893109871
"442","sp|O00391|QSOX1_HUMAN",NA,1,4,3,1,1,2,3,1,4,2,1,NA,1,1,NA,1,NA,1,1,21.8031697773956,21.2473178056968,20.9654866276616,21.1033816240865,22.267319918867,19.8210646963782,21.8840264556076,20.0099119726656,20.5364476235163,20.3635486207222,20.1695542417619,20.0430945611433,21.6081762979171,20.3635486207222,21.1691656319892,20.0430945611433,21.8801691365011,20.2460661488421,21.9720681933732,20.1434778837595,-1.08710774094309,0.00941103108665908
"443","sp|P61160|ARP2_HUMAN",1,2,2,3,2,1,NA,1,NA,NA,3,1,2,NA,1,NA,1,NA,2,2,23.3076174644255,26.6560730363693,22.9312967760455,25.9681751122889,25.5894333065086,24.2859967506121,24.9831484459355,24.5012985514133,25.6099376615458,24.7002632796116,25.2385535797839,24.8236296320956,24.212043013791,24.7002632796116,24.0270012080461,24.8236296320956,25.0857854200454,25.7382084588251,24.7418201923113,24.9936097837888,0.546451044827329,0.203497398016058
"444","sp|P24539|AT5F1_HUMAN",NA,1,4,4,1,NA,1,1,2,2,4,3,1,4,2,2,2,2,2,4,21.6744392755532,23.2037439352707,21.3301586391903,23.2579388013623,23.2199652287958,22.5985937955492,23.1281911921753,22.4477376880627,19.4666015117453,22.7078628331658,18.5676887529032,22.1711480820806,22.0669075751778,22.7078628331658,21.5428398803823,22.1711480820806,22.3786277201011,22.0517383363718,22.4132307225301,22.512938256838,1.00420621453931,0.0199707897806168
"445","sp|P01782|HV309_HUMAN",NA,NA,NA,NA,1,NA,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,22.7178621425707,21.1564832432552,22.5634893327141,21.2077209719183,22.9456568140184,18.6295803161007,22.4073836966629,19.0095469228151,20.9140341464788,20.1098026038692,20.7780994981699,19.922100627276,24.466747752699,20.1098026038692,24.055906631093,19.922100627276,21.8291235455848,21.8943571578246,21.2740668517554,21.4950169183183,-2.04958584192244,0.00393453775939756
"446","sp|Q9Y5Z4|HEBP2_HUMAN",NA,NA,3,2,2,2,1,1,1,1,5,5,4,4,3,3,3,3,4,7,21.0791465213766,23.2259814081232,20.9703961009202,23.5663789226468,22.9775234522175,22.2114418617662,22.5037331922528,21.9649346548689,21.3929562050786,21.8582184776909,21.1735011678141,22.0409087335906,21.1313734397322,21.8582184776909,20.8052411364428,22.0409087335906,21.5759148459148,22.2598051738722,21.3247380297224,22.0243889549173,0.81166613072856,0.0126224196568864
"447","sp|O75947|ATP5H_HUMAN",NA,1,1,2,NA,NA,NA,2,2,NA,5,7,4,4,3,3,3,3,1,3,21.8413915862033,23.1692583191081,21.6711019660435,22.8811364645115,22.6126138684549,21.9575591647679,22.4466152471221,21.9283581593606,20.8031876129391,22.3646694339288,19.9837113272419,21.8902054486939,22.0110079542105,22.3646694339288,22.0903688069198,21.8902054486939,22.2671620125989,21.6463266610413,21.7924633513944,21.4087158616448,0.39814806625512,0.180942790266745
"448","sp|P01763|HV348_HUMAN",2,3,3,2,2,NA,5,5,3,2,3,2,2,2,2,2,2,2,3,4,22.1627895964039,22.0886635492233,22.0050268840733,21.6790108612435,23.2920485939715,20.3341322265273,23.0611494926451,20.5769895182583,21.134370697144,20.8701217949522,19.8416926539264,20.9523803662228,24.3409652083392,20.8701217949522,23.853006709211,20.9523803662228,23.5286490469738,22.3674556786315,23.2506946838025,21.9183783068433,-1.38607591034135,0.0340063816047081
"449","sp|Q9NQW7|XPP1_HUMAN",NA,1,3,3,NA,NA,NA,NA,1,NA,6,5,2,2,1,2,1,2,2,3,21.3837303924074,21.9873619537995,21.1697516325138,21.9048309294234,22.2446679670691,20.4544036053507,21.9390819131098,20.524933575831,20.2947062776008,20.8734358514573,19.8440275950048,20.5014477465437,21.1346716629058,20.8734358514573,20.549722164496,20.5014477465437,21.0695066395049,20.9777691195089,21.2199925459921,20.5222181261375,-0.17285742845515,0.725040526222087
"450","sp|P51648|AL3A2_HUMAN",2,1,2,3,1,1,1,1,2,2,5,6,4,4,4,3,4,3,2,2,25.5798799555889,24.2860794069601,25.8035010039151,24.0414043206812,25.5506260861204,22.8532197839885,25.3349776906657,23.0087172088128,23.8580415317506,23.3239453474779,23.3215022029871,23.3006233340795,22.9530196024531,23.3239453474779,22.7618736931993,23.3006233340795,25.3764953191013,23.4851101969359,24.98826228972,22.778103204847,-1.18264078901612,0.0276349463468707
"451","sp|Q8TC71|MIEAP_HUMAN",1,NA,2,1,NA,NA,NA,NA,2,5,1,NA,1,NA,6,5,6,5,2,NA,21.0697663869147,20.6916987988297,21.0801335764653,20.5069878878579,21.1228278368613,20.4034193347977,20.8082459061762,20.5685516923024,20.7609414131935,22.3016731316577,20.5036966817487,21.783846526937,20.785865494793,22.3016731316577,20.1648309825074,21.783846526937,21.5868526125773,20.1338806513493,21.4803799994258,20.0131664133518,0.1125203205015,0.813931155806979
"452","sp|O95831|AIFM1_HUMAN",NA,NA,2,2,1,NA,NA,NA,1,3,4,5,4,3,5,3,5,3,2,1,21.0291732985288,21.5894269056752,20.8478775227248,21.6570124324112,21.7146422352809,21.0410859276173,21.5654629720147,21.1624709296162,20.8978305031723,21.4394680943958,19.8112707131828,21.2002318655288,20.9650130679589,21.4394680943958,20.7796620530645,21.2002318655288,21.606295294939,20.9398084765583,21.5161582054226,20.6254106464757,0.15612293719138,0.382753093835311
"453","sp|P0C0S5|H2AZ_HUMAN; sp|Q71UI9|H2AV_HUMAN",2,2,2,3,1,NA,2,2,1,2,4,4,4,5,5,5,5,5,4,5,23.1024579304688,26.8244605169059,26.1117436478839,26.9007505631743,26.4626713834279,25.859404640926,26.1724146894727,25.8935737260484,24.0444648285531,26.2214906556501,23.8040978277651,26.2284959323903,25.7546604162353,26.2214906556501,25.8054481931085,26.2284959323903,25.4415282267988,26.0400304661436,25.1735886972845,25.729476467001,1.02745937152814,0.00763611330341793
"454","sp|P31948|STIP1_HUMAN",NA,NA,2,4,NA,1,NA,NA,NA,1,2,3,2,1,2,NA,2,NA,3,2,21.2717642076587,22.3143569867659,20.7974127734382,21.8545727121874,22.1321002296371,20.7289142627703,22.0715348670859,20.6484793727319,20.0829398519604,20.5096160373603,20.270290478085,19.9724787960218,21.1663031670148,20.5096160373603,20.8433894568902,19.9724787960218,20.8677258320349,21.0908447876914,20.8870408714107,20.8339537139581,-0.19551902323467,0.89431792092403
"455","sp|P29692|EF1D_HUMAN",1,2,3,5,1,NA,1,1,1,1,3,3,2,1,2,2,2,2,4,3,21.8420771356575,21.5526668697533,21.6296015303806,21.9479375869828,22.6836457446319,19.8827954512877,22.3194790482173,19.8703770472471,20.7004206676294,20.1402131752133,21.3570874927942,20.2324039455406,21.4631648740251,20.1402131752133,20.9179928883551,20.2324039455406,21.7595215957997,20.8960819841002,22.346210174837,19.971253918264,-1.21528540531849,0.0084135896048381
"456","sp|P35606|COPB2_HUMAN",NA,1,4,2,2,2,NA,NA,NA,1,3,5,1,1,1,1,1,1,2,2,23.7661645105246,21.6377685515632,20.0799546123914,21.6333028027545,21.7989756197758,21.3680005554478,21.852119320935,20.3523996445994,25.1277448492548,21.0154877066636,25.1174985284084,20.9189567473231,20.6581966615173,21.0154877066636,20.4945095419134,20.9189567473231,21.8755385473462,20.6589692377548,20.8133095300529,20.0758026076501,-1.19888794143766,0.158947397678254
"457","sp|P28066|PSA5_HUMAN",NA,1,4,3,3,1,1,1,1,1,5,3,2,3,1,2,1,2,5,2,21.5085721702047,23.7305049649209,21.8026326168575,23.1474628552345,23.6101489348278,21.687888437271,23.4779090514084,21.9507078831195,21.5488806890485,21.7263799138559,20.8448390619223,22.0089975340198,21.3519965341676,21.7263799138559,21.1169346821875,22.0089975340198,21.9675524041605,22.0731399988089,21.4855685584814,21.8559782494897,0.32014025813297,0.249313186813187
"458","sp|P60660|MYL6_HUMAN",2,1,2,4,NA,1,3,2,2,2,6,4,5,3,4,4,4,4,5,6,22.7319828138827,24.2424905953032,23.0444503201094,24.3139349410593,24.1339094914006,22.4866352115865,23.4354774804646,22.5708143952708,21.5790677504389,23.0481083286836,21.1703418271672,22.9999229497149,22.9730259595033,23.0481083286836,22.7445372110999,22.9999229497149,22.2450779719062,23.2908854934265,22.3780536269118,22.7675455818371,0.533244432239581,0.0673180032782421
"459","sp|P54819|KAD2_HUMAN",NA,1,1,NA,NA,NA,1,2,NA,NA,5,4,2,3,2,1,2,1,NA,2,21.4079480533124,22.7411789268876,20.9460549130519,22.6589066019568,22.0385086208725,21.5130364808484,21.6476928184797,21.2167645050408,19.6599384214436,21.4607742095,18.7905267796973,21.1925218901095,21.689148725201,21.4607742095,21.6497825480048,21.1925218901095,21.2781679663359,21.5442574610923,20.9486246860522,20.714469311257,0.56388119538506,0.105191240781897
"460","sp|A0A0B4J1X5|HV374_HUMAN",2,3,4,3,4,NA,3,3,3,3,4,3,3,3,3,3,3,3,4,4,22.2150226489689,22.2630519479575,22.0015434063536,21.9611469013997,23.309337290831,20.8211340987409,23.0867261627878,20.9823727047465,22.0426551505684,20.9953012753071,21.1923548280239,20.9934410009632,24.2541272726425,20.9953012753071,23.8078574169809,20.9934410009632,23.566743444897,22.397076857044,23.3151617268052,21.8608020716508,-1.45284602147792,0.00599009406210956
"461","sp|P20061|TCO1_HUMAN",2,1,2,NA,1,1,1,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.8981738254538,20.1176641773979,22.9229537241983,20.1922804716494,22.6977856763424,19.4545022467029,22.4508671527039,19.9048432416317,21.8089726171912,19.0427558446463,21.3279790830348,19.4786601431271,23.6998068948865,19.0427558446463,23.6013312391584,19.4786601431271,23.2129113311751,20.1170188989129,22.9109467973435,20.0135431564736,-3.06890441731727,6.069623709289e-09
"462","sp|O94905|ERLN2_HUMAN",2,4,3,2,1,1,1,1,1,NA,2,4,2,2,3,2,3,2,2,2,21.4752176227028,21.9777444966763,21.3832755532633,22.0358354412723,22.2572167581463,21.3161283422409,21.9869060214398,21.3306156270631,20.1231174751941,21.4208631992768,19.6686076986679,21.3991313432726,20.4179856213056,21.4208631992768,20.0374172532497,21.3991313432726,21.4336833617393,21.4143854947267,21.6065151220827,20.7716436080961,0.40963996073827,0.17023863229773
"463","sp|P04179|SODM_HUMAN",NA,NA,3,4,1,NA,4,3,3,3,6,5,4,4,5,5,5,5,3,3,21.2652285822626,23.4873754008163,20.9040392848422,23.4574918518085,22.4305995579365,22.2294039915227,22.0483559910447,22.0997097782807,19.5210139956656,22.6447544025085,19.8010723512857,22.2536994928758,21.9421706556666,22.6447544025085,21.8214991849161,22.2536994928758,21.981142011433,21.6201100601248,21.770600584586,21.65467961843,1.08599562921126,0.00454492672823466
"464","sp|Q8TD06|AGR3_HUMAN",1,2,3,2,1,1,1,1,NA,NA,5,5,2,2,2,4,2,4,3,5,22.4592888972474,23.9115848184059,22.342748017159,23.9686564233936,23.9616106046055,22.6136021033849,23.690112886233,22.7574708896161,22.9165188672691,22.9311496761122,22.5475311885882,22.8719725226045,21.8174387632189,22.9311496761122,21.6454095260625,22.8719725226045,21.6188043194297,22.4068470095221,21.4107722220507,22.2448257420143,0.50989960919063,0.145873085868009
"465","sp|P02794|FRIH_HUMAN",4,3,3,2,NA,2,1,1,2,1,4,3,3,4,3,2,3,2,2,2,22.7501405216877,23.5528980695481,22.4819646948814,22.9757337629075,23.3018489305206,22.6848438409175,23.0719228598729,22.7591254466608,20.0800771217788,22.3369524189105,20.5725456204759,22.348825389734,21.1551098972909,22.3369524189105,20.7808177685858,22.348825389734,21.7244385983797,21.5522305140268,21.5923273440446,21.6071071106295,0.69923010044609,0.0985056895694512
"466","sp|Q9Y2Q3|GSTK1_HUMAN",2,1,3,3,3,2,4,2,2,1,3,3,4,4,4,2,4,2,4,4,22.0709123224114,22.4547117066778,21.7726142020721,22.3802628779196,22.2852634971606,21.8527271317453,22.1102631353102,22.0911632049624,20.9140890029747,22.3194689873311,20.4621879608484,21.936695263542,22.1856517437795,22.3194689873311,22.0301535302887,21.936695263542,21.8872677571949,22.1044741433941,21.4612122595733,21.5469395462284,0.376299170106,0.0943197728763093
"467","sp|Q16762|THTR_HUMAN",2,2,2,1,NA,NA,2,1,NA,NA,6,4,2,2,2,2,2,2,NA,2,21.3643547092082,22.0620596465807,21.2321532967773,21.865440573511,21.8386492034425,20.1914466351541,21.226255625529,20.0813504756476,18.8584090616676,21.2403454569477,18.9155997922453,21.0461668067773,21.6730541083946,21.2403454569477,21.584710008096,21.0461668067773,21.3576709278169,20.8112078838561,20.509885401169,20.2287910996286,0.12525787074817,0.786844809866392
