"","protein_group","number_of_peptides_control_1","number_of_peptides_control_2","number_of_peptides_control_3","number_of_peptides_infected_1","number_of_peptides_infected_2","number_of_peptides_infected_3","abundance_control_1","abundance_infected_1","abundance_control_2","abundance_infected_2","abundance_control_3","abundance_infected_3","log_ratios_infected..vs.control.","differential_abundance_qvalue_infected..vs.control."
"399","sp|P47962|RL5_MOUSE",6,4,1,3,3,5,23.5533276604279,22.5553849921412,22.972793587858,22.2029140104564,21.9355483397558,23.2315071483555,-0.157287812362867,1
"400","sp|Q9D0T1|NH2L1_MOUSE",5,4,3,3,3,5,24.3419868815674,23.5923753672571,23.8574924342407,23.1712856977889,23.3242258784942,24.0891080802519,-0.223645349668133,1
"401","sp|P25976|UBF1_MOUSE",1,4,1,3,NA,2,22.1306233477798,21.612155333257,22.1530597977217,21.4078490184043,21.1405104283906,22.0427703567836,-0.120472955149066,1
"402","sp|P53026|RL10A_MOUSE",5,3,2,1,1,5,23.6640137256391,23.0513949982597,23.4696706304739,22.8645009168049,22.4241480880823,23.7783898016364,0.0454844241685658,1
"403","sp|P02535|K1C10_MOUSE",4,6,4,4,NA,2,22.9389294149198,22.8371080737403,23.5473966868794,21.416240360299,23.8718645456597,22.0715412499286,-1.344433654497,1
"404","sp|Q9DCW4|ETFB_MOUSE",4,4,3,4,3,3,22.5857182238305,22.2814954147995,22.2016279987926,21.7969815603468,21.5944944389212,22.8320503497014,0.176228887767801,1
"405","sp|Q01768|NDKB_MOUSE",5,5,4,6,4,5,24.9736267803673,24.0921270705923,24.621579060348,23.6925501638501,23.3676589652084,24.5028101997549,-0.225125790575466,1
"406","sp|Q7TQI3|OTUB1_MOUSE",5,3,1,3,2,4,22.6441288046729,22.0870150503404,22.1232055952273,21.5267074520763,21.4489648390804,22.4524689967168,-0.0500359132823659,1
"407","sp|Q60972|RBBP4_MOUSE",5,2,2,1,2,4,23.6030462869763,22.9375620420039,23.000287698287,22.5167188486288,22.3537895923587,23.529975820877,0.00904437796256493,1
"408","sp|P08228|SODC_MOUSE",4,3,4,5,4,4,25.9477073803259,24.3883230801851,25.2205672684659,24.1963399258086,24.1648837621645,25.0081878610015,-0.5801025146537,0.755827892363353
"409","sp|P61255|RL26_MOUSE",6,6,4,4,4,6,24.4475441173366,23.7808864397122,24.1651939209927,23.4820033602929,23.2878569235887,24.3774225091644,-0.086760884249499,1
"410","sp|P70670|NACAM_MOUSE; sp|Q60817|NACA_MOUSE",5,3,2,4,3,3,23.7930606885088,22.8066614196288,23.422809448357,22.5240409155237,22.294581768552,23.4466185281725,-0.244377014030934,1
"411","sp|Q9CR57|RL14_MOUSE",5,5,2,4,3,4,24.8208330908943,24.0510515784193,24.1008953695199,23.6184076839115,23.3097253014395,24.4432455843627,-0.0395829717200667,1
"412","sp|Q08943|SSRP1_MOUSE",3,2,4,4,3,4,22.4544416308646,21.9637509806567,22.2867712213119,21.9231369436904,21.4505253769038,22.8227499446526,0.172633213306466,1
"413","sp|Q923D2|BLVRB_MOUSE",5,2,2,2,4,2,23.1390337015383,22.6252535597157,22.3940211739125,22.349798599073,21.9708066496633,22.9670140664661,0.146068233380234,1
"414","sp|Q9R190|MTA2_MOUSE",5,3,1,4,1,4,22.432297211296,21.7067860280279,22.0456996793558,21.5998421467204,21.2702784996471,22.6388281865294,0.0657269903262652,1
"415","sp|P51437|CAMP_MOUSE",5,4,3,4,2,4,24.9175451743436,23.7927845364578,24.6519049382268,23.3316553129257,23.4528884668972,24.1809840246196,-0.5723049018215,0.727765550237164
"416","sp|O70435|PSA3_MOUSE",3,3,1,2,1,3,23.2945938273307,22.6092551783313,22.9937535013967,22.1221376038812,21.9442436979945,23.1795533338455,-0.107214970221301,1
"417","sp|Q62376|RU17_MOUSE",6,3,1,2,3,4,22.524215401944,21.7931697649243,22.0430857076078,21.3874650609427,21.3232696235731,22.5405049291181,-0.056476992713268,1
"418","sp|P04228|HA2D_MOUSE",4,1,1,4,3,4,24.0881255303965,24.4543377034662,23.6451681646357,24.1801993390646,22.9379955053292,25.3387041520011,1.1006506647235,0.0299130885287299
"419","sp|Q64012|RALY_MOUSE",4,2,1,4,3,5,22.8603481901123,22.2534481888438,22.5121467973515,21.7691249556612,21.7447844724226,22.7499414242096,-0.114921630390601,1
"420","sp|Q8CIE6|COPA_MOUSE",2,1,1,2,2,4,21.8467815857989,21.4472299352275,21.5680117613714,21.4711740813464,20.956611457495,22.257881125994,0.268293445967533,1
"421","sp|Q3TWW8|SRSF6_MOUSE",5,2,3,5,3,2,23.9581013070304,22.9607751246048,23.299410251442,22.7053892925761,22.5158796664207,23.4502405438334,-0.218995421292934,1
"422","sp|P61358|RL27_MOUSE",6,4,4,5,4,5,24.3255132584357,23.5844838509382,23.8609706306819,23.2143318694651,22.9465813171558,24.1069674979791,-0.0757606626303347,1
"423","sp|Q922D8|C1TC_MOUSE",3,4,3,3,5,4,22.6250057913198,21.8471428172563,22.201470064568,21.6112601172387,21.1612232420822,22.4126745013291,-0.0388738873819664,1
"424","sp|P62192|PRS4_MOUSE",3,2,2,3,NA,3,21.885341875364,21.6682147875948,21.4557267997271,21.1413307166286,20.9763968308434,22.630242458272,0.374107485520302,1
"425","sp|Q9Z2U1|PSA5_MOUSE",5,4,2,2,2,4,23.8624131826478,22.6597142844922,23.1703450365791,22.3215872538072,22.0944222920795,23.15897880995,-0.328966721019,1
"426","sp|Q91V92|ACLY_MOUSE",3,1,1,2,3,4,21.9864596668253,21.6185510722273,21.5869744407387,21.1100480264631,20.4901245959905,22.3228111274875,0.329283840874467,1
"427","sp|P62317|SMD2_MOUSE",4,3,2,5,2,4,23.3420554015737,22.5642490574618,22.8232581875345,22.3041733202678,22.1664737327885,23.5297544986451,0.022129851492668,1
"428","sp|Q921T2|TOIP1_MOUSE",3,2,3,2,1,4,22.0897898918461,21.8919123506431,21.8114168339077,21.2530017349273,21.305545368706,22.5343041887336,0.157488726614734,1
"429","sp|P01900|HA12_MOUSE",5,5,3,3,3,5,23.3068135092401,22.8689550551608,22.6000437841896,22.3951493087747,21.9660515952321,23.568840763835,0.320012079702899,1
"430","sp|Q91VR2|ATPG_MOUSE",2,4,1,3,2,5,23.5870051251575,22.7393135845969,23.0756041676481,22.3842856291087,22.2215793039552,23.5932244638696,-0.0557883063951993,1
"431","sp|Q6A028|SWP70_MOUSE",2,2,2,4,2,4,22.4909300568619,22.1796708660737,22.0632943493014,21.8067862845024,21.2062175813378,22.7801532543566,0.3353894724772,0.992474729716506
"432","sp|Q60631|GRB2_MOUSE",5,2,2,3,3,2,23.5048914661427,22.9183435457189,23.3120855315399,22.4969303132314,22.3778250639284,23.4167961104784,-0.1209106973941,1
"433","sp|Q03267|IKZF1_MOUSE",3,2,3,3,3,4,22.3325412911785,21.7635205774647,21.9089631710719,21.3918419516309,21.1460835336129,22.3493953010788,0.0390566114370342,1
