"protein_group","number_of_peptides_control_1","number_of_peptides_control_2","number_of_peptides_control_3","number_of_peptides_infected_1","number_of_peptides_infected_2","number_of_peptides_infected_3","differential_abundance_pvalue_infected.control","differential_abundance_qvalue_infected.control","abundance_control_1","abundance_control_2","abundance_control_3","abundance_infected_1","abundance_infected_2","abundance_infected_3"
"sp|P30416|FKBP4_MOUSE",6,5,4,6,5,5,0.238043251769158,0.580434230341236,24.627804024539,24.7350086912097,24.1610468713383,25.0275471048146,24.6953552266964,24.6710166473664
"sp|P30681|HMGB2_MOUSE",13,13,12,12,13,11,0.159938724630919,0.488454791702231,29.1780686750481,29.618282181958,28.9534255858231,28.5248876020915,28.7930264367207,29.1807612118591
"sp|P31725|S10A9_MOUSE",7,7,6,6,6,6,0.839971233014154,0.938972598751574,30.6090904373054,30.1845597053931,30.4890618556283,30.2403442993762,30.2878556086703,30.9105915497317
"sp|P31786|ACBP_MOUSE",2,2,2,2,2,2,0.643692714833799,0.841684615112719,24.6291586678694,24.7783466058366,24.5156407708039,24.4033209845974,24.6727437909615,24.5979236935584
"sp|P32067|LA_MOUSE",9,10,10,9,9,11,0.795356576950479,0.923403542978557,25.8418470434652,26.0036219442224,25.9321753703811,25.6922644301785,26.171872884751,26.0682411074598
"sp|P32921|SYWC_MOUSE",3,3,2,3,3,3,0.101365142349288,0.426623181733441,23.7613776881335,23.8489860601414,24.2059208143212,24.0966520653412,24.3402514246608,24.6906427622785
"sp|P34022|RANG_MOUSE",5,5,3,5,2,4,0.821622721904011,0.934924120084381,26.3403687001741,25.6722723890632,25.715211044357,26.3064809510137,25.4234564713707,26.2221336237261
"sp|P34884|MIF_MOUSE",2,2,2,2,2,2,0.897769633851918,0.965882920566552,27.1948645477063,27.0449780877255,26.5795565625239,26.8608395444912,26.9138529097508,27.1322471491415
"sp|P35278|RAB5C_MOUSE;sp|Q9CQD1|RAB5A_MOUSE;sp|P61021|RAB5B_MOUSE",5,5,5,4,5,4,0.637038559159706,0.840972894150959,25.0502862846871,25.2173952420413,25.0252611980497,25.0431153223289,25.293138627006,25.2018163390484
"sp|P35282|RAB21_MOUSE",2,3,1,1,3,2,0.886922089206057,0.960125910643568,22.5515463758535,23.378668020093,22.4188357330077,22.5797865145344,22.825747732759,22.8158067897552
"sp|P35329|CD22_MOUSE",2,1,2,2,1,2,0.419145733870698,0.721834401493059,22.9542770975073,20.1191271290121,22.3336674766125,22.8734814929229,21.4257044106761,23.2563111027884
"sp|P35441|TSP1_MOUSE;CON__Q28194",5,5,5,5,5,5,0.926052941261295,0.975013719450834,23.8529556148136,23.8599489100137,24.3959112089623,23.9046685523598,23.9692493576381,24.3006569425734
"sp|P35486|ODPA_MOUSE",4,3,3,4,3,4,0.0181789971367528,0.214673466726595,25.3581134177352,25.7424206106537,25.5885357721737,24.9159699535822,23.3808231528174,24.5421680607063
"sp|P35550|FBRL_MOUSE",8,10,10,7,11,9,0.344305789948608,0.665656882406367,26.655127564041,27.1107428505106,27.0329854996061,26.8799863222472,26.5340056264417,26.7669357088732
"sp|P35564|CALX_MOUSE",8,9,8,9,9,10,0.603482769338778,0.826336791183789,26.9077102790528,26.6452418185615,26.5690905572071,26.6259191613203,26.9510032770229,26.847403231743
"sp|P35585|AP1M1_MOUSE;sp|Q9WVP1|AP1M2_MOUSE",4,5,4,5,5,5,0.0669120751520002,0.368876016174299,23.4208348588776,24.2655461208983,23.9404130236517,24.4636198101971,24.4379376761201,24.3557759657454
"sp|P35700|PRDX1_MOUSE",11,10,11,9,10,10,0.651810224037215,0.843170463749418,28.1498417860996,28.3126034387157,28.3899084793883,28.3076165449568,28.4476772353267,28.3256923167841
"sp|P35821|PTN1_MOUSE",2,1,1,2,2,2,0.036943992345661,0.282406223697506,21.974981161856,21.8587931358355,20.7736651716939,22.6549795870989,22.466881102952,22.2543129098915
"sp|P35979|RL12_MOUSE",6,6,6,6,6,6,0.816852003028765,0.933232663341122,27.7468520588619,27.617548308537,27.7667817272936,27.7360832445956,27.66974713698,27.6138553356818
"sp|P35980|RL18_MOUSE",6,6,5,6,6,6,0.839918286537503,0.938972598751574,27.7681204518109,27.8032615804097,27.4223635272553,27.7654468752306,27.811388097322,27.5358269176293
"sp|P36371|TAP2_MOUSE",6,6,4,3,6,4,0.314076601767614,0.636067137542118,25.2079085807003,24.6968111673589,25.1544653985811,25.8139044099411,24.7337773384048,25.5814856686964
"sp|P37040|NCPR_MOUSE",1,1,1,1,1,2,0.760038864090253,0.909710302263646,21.5264506763074,21.4710054706465,21.6378582552455,21.4661180318526,20.7574856801178,22.0855042616312
"sp|P38647|GRP75_MOUSE",14,14,13,13,12,13,0.989275778078593,0.996616620994376,27.0507472119994,27.0080882749141,26.6684467044752,26.8443559430175,26.9102206874224,26.9801797479954
"sp|P39054|DYN2_MOUSE;sp|P39053|DYN1_MOUSE",6,7,6,6,7,6,0.493216081022514,0.761902816619,24.0362694159376,24.1468685282098,25.2646797007587,24.231513245208,24.4257044106761,24.0099195448897
"sp|P39654|LOX15_MOUSE",4,2,3,10,9,11,0.000178300951284738,0.0444325970601567,23.1204390734993,21.3400017952879,23.1507873647427,27.150656044468,26.2512800225232,27.0161428093292
"sp|P39749|FEN1_MOUSE",2,2,2,2,2,2,0.0831142675622512,0.392787911717797,22.8614558812136,23.3171469490696,23.2221791523595,23.5524837147173,23.7059633262624,23.3708157323845
"sp|P40124|CAP1_MOUSE;sp|Q9CYT6|CAP2_MOUSE",17,17,17,16,18,18,0.270776194869116,0.602490158367889,29.3593983058012,29.4677790315081,29.4449792189318,29.4181124288859,29.4761479001889,30.6767123472127
"sp|P40142|TKT_MOUSE",23,24,21,24,23,24,0.505097704935797,0.768439243406598,30.0610977839283,29.689925537339,29.9401457567441,29.541854510768,29.7476783454249,29.981525592551
"sp|P41105|RL28_MOUSE",3,2,1,3,0,2,0.322685492239833,0.64605101354954,24.9388730345064,23.5726669579333,22.8022792333847,24.5300996652709,NA,24.3915630800335
"sp|P41241|CSK_MOUSE",5,5,5,5,6,6,0.0272464307883151,0.247803304833874,25.1808595271882,24.7954841663884,25.2827798635775,25.5529707223085,25.8699540353611,25.5896227181347
"sp|P41245|MMP9_MOUSE",7,7,6,3,6,6,0.0260686150950627,0.240603662284801,25.4703340359466,25.1895825349556,24.5356410223642,23.280877089653,24.5037744756491,24.0448349481882
"sp|P42125|ECI1_MOUSE",2,1,1,2,2,2,0.24898568920775,0.584404472563661,24.0891658059228,22.5992088601214,19.9932987541692,23.9261813625874,23.3122778655359,23.1787451793335
"sp|P42208|SEPT2_MOUSE",4,5,5,5,3,5,0.584720031297826,0.818881116192206,24.3332483599831,24.4886489538107,24.8404861456439,24.8139044099411,24.1706425344194,25.2056442508276
"sp|P42209|SEPT1_MOUSE",7,7,7,5,6,6,0.587106362329721,0.818881116192206,25.6953946637918,25.4559707332242,26.0509191330658,24.8763069672508,25.5995358488687,26.1240489656253
"sp|P42225|STAT1_MOUSE",12,13,13,14,13,14,0.00600424570463701,0.170029321544948,26.5062067824299,26.4222448198797,26.6792752586917,27.2154624000711,27.0977414036235,27.3253443096895
"sp|P42232|STA5B_MOUSE;sp|P42230|STA5A_MOUSE",1,2,1,2,2,2,0.0574061178777192,0.349248782031522,21.4039519465088,22.1368166225233,21.8839303123811,22.4929241826424,22.7250721492101,22.0850020095956
"sp|P42669|PURA_MOUSE",3,3,2,3,3,3,0.243897335412385,0.584404472563661,24.896289099973,24.2724117403355,24.2725073018268,25.1603408218928,24.3133486142616,25.1960415170936
"sp|P42932|TCPQ_MOUSE",15,17,17,17,14,18,0.586300018280727,0.818881116192206,26.7115079896866,27.0613590692396,27.2024374946076,27.1714207335131,26.8912075320387,27.2698690500276
"sp|P43274|H14_MOUSE;sp|Q07133|H1T_MOUSE",6,6,6,5,6,6,0.0486167234395279,0.327440202192712,29.8288935915293,30.1887204095134,30.1080190217594,29.6078140038613,29.6647550237829,29.60149729349
"sp|P43275|H11_MOUSE",4,5,5,5,5,5,0.478299091315736,0.757772965607994,29.3956383331707,29.6661525744378,29.7574977726919,29.3263731229791,29.2433757837489,29.766492982113
"sp|P43276|H15_MOUSE",9,10,9,9,9,10,0.196412945412093,0.52630221501821,30.3342594175165,30.6962583652454,30.5489584587554,30.1951704150906,30.4477336688592,30.1335487637221
"sp|P43277|H13_MOUSE",1,1,1,1,1,1,0.413705890568679,0.719940697833205,25.5339317415809,25.5850873973248,25.69303161229,25.6735155385363,25.7653823596067,25.7761507961612
"sp|P43404|ZAP70_MOUSE",1,2,0,1,1,1,0.0622295301286163,0.358972196945629,21.5055691539933,22.8821967434138,NA,21.0799517797701,21.2116734837966,21.2674206130995
"sp|P45376|ALDR_MOUSE",10,9,9,10,9,11,0.0206404391555431,0.216956306631472,28.4699505318815,28.2381688987664,28.2406494572239,27.9171557684128,27.7436848186841,27.7745572311309
"sp|P45952|ACADM_MOUSE",3,2,3,3,2,3,0.104781559206067,0.433542270844012,23.6260889755622,22.9257751138466,23.2994046043489,22.8406482921149,22.8709172848236,22.9006133194028
"sp|P46061|RAGP1_MOUSE",3,2,3,2,2,3,0.49237195909964,0.761902816619,23.6568865909294,21.3725567154673,23.622773177557,22.7092821845217,23.0917158103168,24.5038081086954
"sp|P46460|NSF_MOUSE",4,3,3,4,3,4,0.0360631196143987,0.279808353556618,23.5240711349735,23.6272452797045,23.3386850754004,24.2026698551034,23.7707263636481,24.0263310669802
"sp|P46467|VPS4B_MOUSE;sp|Q8VEJ9|VPS4A_MOUSE;sp|Q8BPY9|FIGL1_MOUSE",1,2,2,2,2,2,0.953086991466098,0.989050817927249,21.0088736917226,22.8565692792392,23.0203441143824,22.4670554734793,21.8099593439178,22.7143960811459
"sp|P46471|PRS7_MOUSE",3,4,4,5,5,5,0.0535685922759331,0.342891762604958,23.990502539729,23.2111821971253,24.1575663026033,24.6225204392872,24.544787944961,24.2467200973307
"sp|P46638|RB11B_MOUSE;sp|P62492|RB11A_MOUSE;sp|Q9WTL2|RAB25_MOUSE",6,6,6,7,6,7,0.851717079088267,0.94164993837088,25.7797014820371,26.0688557410931,25.9642573060846,25.9461427165308,25.9612071189408,25.8085274145794
"sp|P46664|PURA2_MOUSE",2,2,1,1,1,2,0.00554332067695247,0.164634958641724,23.4996217521691,23.5330253834793,23.5360183558985,22.8760578831616,22.9738714518466,22.6110402553102
"sp|P46978|STT3A_MOUSE",3,1,3,4,3,4,0.116975510507765,0.447454435036493,22.8256217693751,21.3542709750891,23.0819208959787,23.1945858348844,23.0369284073511,23.5998502468647
"sp|P47738|ALDH2_MOUSE;sp|P24549|AL1A1_MOUSE;sp|O35945|AL1A7_MOUSE;sp|Q9JHW9|AL1A3_MOUSE;sp|Q62148|AL1A2_MOUSE",14,16,14,13,15,15,0.549370481971128,0.797912047448468,27.8632430566151,27.7837091261015,27.5524750003861,27.246805620928,27.548686980716,27.9621819733216
"sp|P47740|AL3A2_MOUSE",2,2,1,2,2,2,0.310213148499543,0.635732866826367,22.5886029276614,23.0022364095291,21.6295446983556,22.7190825716386,22.7261445634959,22.9705171692667
"sp|P47753|CAZA1_MOUSE",7,7,7,5,7,7,0.0612704668378036,0.358718387144404,27.5226462402854,27.3621147236426,27.5968170646771,27.0123049525785,27.1019071013637,27.2402367862046
"sp|P47754|CAZA2_MOUSE",10,10,9,9,9,10,0.427901019880064,0.729363434706647,26.9914167608036,26.6656524425181,26.7007801180664,26.3821182356791,26.5734357191558,26.8830937792042
"sp|P47757|CAPZB_MOUSE",11,10,8,6,8,9,0.14755979292362,0.473946780719821,27.5821250563968,27.5714410606704,27.0394259956476,26.9864578361504,26.9989145424153,27.1690316337576
"sp|P47791|GSHR_MOUSE",10,9,10,9,9,10,0.0494616378157387,0.328787494556124,27.2824856503507,26.8249820467913,26.6733521820408,26.3093086530504,26.1653263121345,26.6164953122741
"sp|P47911|RL6_MOUSE",13,11,12,12,13,13,0.258137222915363,0.59378870950682,27.5978280841836,27.3675213578447,27.6436429207978,27.7170154033359,27.7260180005238,27.770658554732
"sp|P47915|RL29_MOUSE",2,2,3,3,3,3,0.168016130933296,0.497263893451036,24.8146676303546,24.9777986735846,24.9750998521716,25.2700567769424,25.190850808015,25.056989509576
"sp|P47941|CRKL_MOUSE",4,4,5,4,4,5,0.826942809074236,0.935847601108423,24.5951497026334,23.4050119352817,24.572797387262,24.1796436431098,23.7683279876998,24.3698833942702
"sp|P47955|RLA1_MOUSE",2,2,1,2,2,2,0.146979878233061,0.473946780719821,27.3833247372975,28.0547205507682,27.5417604973799,27.1993761476155,27.1871238189967,27.4579034016394
"sp|P47962|RL5_MOUSE",7,7,7,6,6,6,0.175177475805016,0.505322342380737,26.3576568268415,26.3332788501437,26.1506122949506,26.0850477481727,25.9197887268153,26.0944704688101
"sp|P47963|RL13_MOUSE",7,7,7,7,7,7,0.922997317614597,0.974182545249558,26.7550412835434,26.7832332639579,26.3976880450449,26.7530667735567,26.6388005975722,26.5985940908943
"sp|P47964|RL36_MOUSE",2,2,2,2,2,2,0.510228933732043,0.772315594891667,25.3355931734868,25.3155682200692,24.950206715899,25.2066784344419,24.7168686710819,25.2161394147443
"sp|P48024|EIF1_MOUSE;sp|Q9CXU9|EIF1B_MOUSE",3,3,2,3,3,2,0.351740107145594,0.673443928320774,24.3833129317172,25.3258645622212,24.1485033047594,25.4054080403669,25.4877924003766,24.3002964040133
"sp|P48025|KSYK_MOUSE",7,8,4,8,7,8,0.0678919900217666,0.368876016174299,24.667163238203,24.7699170510402,24.2973208503268,25.1469832318785,25.0430612240399,24.8520668835836
"sp|P48036|ANXA5_MOUSE",8,9,9,9,9,8,0.0169650879834875,0.213520198256822,27.6812903913775,27.1038995645427,27.4261184523295,26.6117306629856,26.9121688265643,26.6417182545002
"sp|P48678|LMNA_MOUSE",12,12,10,12,11,12,0.0770460418506192,0.382577939503337,25.4431148959793,25.6309525117603,25.4366869119659,25.7770825883479,25.8703245920383,25.8566104219615
"sp|P48758|CBR1_MOUSE;sp|Q8K354|CBR3_MOUSE",4,5,4,4,3,3,0.0067637013826535,0.173000388492598,24.6797147043663,24.3296497952065,24.2979064785228,23.7246728082405,23.4808732397616,23.8129933225238
"sp|P48962|ADT1_MOUSE;sp|Q3V132|ADT4_MOUSE",2,2,2,2,2,2,0.484110465308996,0.761443636471328,23.7848050128962,23.5912713390093,23.7166046182224,23.9291857265238,24.0098109665244,23.5711052986612
"sp|P49290|PERE_MOUSE",19,20,21,25,26,26,1.34589729823749e-05,0.0111745417819466,27.6144688165921,27.216126566854,27.4975788233591,29.855404297778,29.6211094587246,30.0330964005971
"sp|P49312|ROA1_MOUSE",9,10,10,10,9,11,0.350267329964735,0.673443928320774,27.3017893608454,27.2695946717356,27.2686884360592,26.9990223396763,27.0074698104398,27.3210347272026
"sp|P49710|HCLS1_MOUSE",11,10,10,11,11,11,0.692431979266334,0.867105775041058,26.8629467588369,26.8716126996038,26.424456762489,26.5463659027869,26.7954586389691,26.5708918032793
"sp|P49718|MCM5_MOUSE",5,4,5,5,5,5,0.0013549911555502,0.108628268045528,24.3415358112022,23.9197954162164,24.3242466780998,25.0892396445415,25.5435633716723,25.423318190835
"sp|P49722|PSA2_MOUSE",3,4,4,4,4,4,0.0495056439697239,0.328787494556124,28.0001808681538,25.9100862583925,26.9598233570212,25.2627714227247,25.9547091241618,25.8045380090912
"sp|P50247|SAHH_MOUSE",17,17,13,16,14,12,0.0245270942417921,0.235855555858975,28.5803753992752,28.3677594197865,27.8307051248514,27.5647547518899,27.5189155202911,27.6490179217209
"sp|P50396|GDIA_MOUSE",3,2,2,2,2,2,0.611353520093892,0.828886274251349,23.6561050659694,23.4586851179212,22.7110574047187,23.1115046940267,23.1670274418752,23.1107020207743
"sp|P50516|VATA_MOUSE",6,6,5,5,5,5,0.188101354744447,0.518893853690654,24.8058863172351,24.5169158946832,24.2935671900819,24.7209214238822,24.8813304127729,24.8666813582821
"sp|P50543|S10AB_MOUSE",3,2,2,3,3,3,0.502874661753048,0.768439243406598,25.895709867203,25.0189211667901,25.7838768905275,25.624591523018,25.2778312402118,26.7250497495607
"sp|P50544|ACADV_MOUSE",2,2,1,3,2,2,0.302859581008192,0.635224675418502,23.1715378929753,23.1341919130212,21.5852482814287,23.2884773997943,23.2166841735965,22.9029219578862
"sp|P50580|PA2G4_MOUSE",10,10,10,11,10,11,0.252381151656544,0.587825260917603,26.8579428440346,26.6380227499345,26.5457846850732,27.079875180521,27.1167480120826,26.6259799786894
"sp|P51125|ICAL_MOUSE",3,3,3,3,1,2,0.00992737970771918,0.181837298936928,24.0883549451454,24.8292525980526,24.661933090127,23.8584512149866,22.6399430226594,23.0959401451551
"sp|P51150|RAB7A_MOUSE",5,5,5,5,5,5,0.810653763898883,0.929231453374433,25.9436204344246,26.0949161403226,26.0964014236601,26.051549329529,26.1708339911766,26.0295351562539
"sp|P51174|ACADL_MOUSE",7,7,6,4,4,5,0.0166018320759661,0.211997101831368,25.8373554237494,25.5158851527669,25.2342231880645,24.8741779875538,24.915290182473,24.8319676945212
"sp|P51410|RL9_MOUSE",5,5,5,5,4,4,0.0335672128208312,0.275487935317213,26.4454236069032,25.5922224560525,26.3606079749381,25.6018013305063,25.3919404294603,24.9713585607143
"sp|P51437|CAMP_MOUSE",4,4,4,4,3,4,0.0131378634933539,0.192414684073843,28.0110330077433,28.1583544056897,27.6729459098697,27.3830497785722,27.3209350654176,27.1517918773404
"sp|P51660|DHB4_MOUSE",2,3,3,3,2,3,0.409620026640883,0.717355743103381,22.2436866116289,22.7762438301298,23.4814651728466,23.0206998416137,23.1514117493871,23.1853427963359
"sp|P51859|HDGF_MOUSE;sp|Q9JMG7|HDGR3_MOUSE",9,8,7,6,7,8,0.00655431415730684,0.173000388492598,26.2800147933432,25.884004267647,25.855879836782,25.0937095174965,25.2264957691529,25.3803498019201
"sp|P51881|ADT2_MOUSE",10,11,11,10,10,11,0.328370141163306,0.649893565303667,27.1557285080648,27.079979779321,27.422632060535,27.3726960115065,27.4583601656931,27.3674392823742
"sp|P52480|KPYM_MOUSE;sp|P53657|KPYR_MOUSE",26,25,23,24,25,26,0.383252496787768,0.698147092101695,29.904978582011,29.8520636108587,30.0879904634608,29.7220947796899,29.8924643814523,29.7741632009776
"sp|P53026|RL10A_MOUSE",6,5,5,6,5,6,0.304411573358255,0.635677446242611,26.0902799958746,26.013454028624,25.6172091040033,25.9613381792966,26.1682334795219,26.2631456452439
"sp|P53994|RAB2A_MOUSE;sp|P59279|RAB2B_MOUSE",4,4,4,3,5,7,0.99021779838767,0.996616620994376,24.1461590466084,24.3987505242058,24.2726264786507,23.4571818235147,24.6667830324404,24.6798339388545
"sp|P54071|IDHP_MOUSE",7,5,7,7,6,6,0.645246484152983,0.841684615112719,25.0135369450724,24.0521651954213,25.2285823842885,24.812603463733,24.3048998610188,24.676940501672
"sp|P54116|STOM_MOUSE",2,2,2,1,2,2,0.440180749381551,0.7354514198267,23.0402881512143,22.5102028709866,22.4222775860483,21.115695250932,22.9104500168493,22.712694078026
"sp|P54227|STMN1_MOUSE",3,3,3,3,2,4,0.0913856054885206,0.420171455493346,23.6990795165347,23.1099575224468,19.4268339973091,24.3542425008729,23.7669970480841,24.6366272228889
"sp|P54728|RD23B_MOUSE;sp|P54726|RD23A_MOUSE",6,6,6,6,6,4,0.0991087794977812,0.424362677849606,24.4961760138833,24.5242814062896,24.4294361012281,24.1254028538164,24.3242093591268,24.0691029911927
"sp|P54775|PRS6B_MOUSE",2,1,2,2,2,2,0.180749513260176,0.514173132355435,22.8159977226815,21.7180992080763,22.549379666981,22.5692457626106,22.7274244589111,23.4781723599346
"sp|P54822|PUR8_MOUSE",3,3,3,4,4,4,0.976044314860646,0.995213761306354,23.9257689781831,23.6880933377458,23.5505792826129,23.7962967213465,23.5902243717153,23.7612398082998
"sp|P54823|DDX6_MOUSE",2,1,1,1,1,2,0.189067262901731,0.518893853690654,23.0729784777957,22.9398826151344,23.3124008957264,23.1644770844222,23.5463909864884,23.4714171316329
"sp|P55258|RAB8A_MOUSE;sp|Q9DD03|RAB13_MOUSE;sp|Q8K386|RAB15_MOUSE",2,1,2,2,2,2,0.982639219940575,0.996533056246266,24.3240276361699,23.4415378113068,24.2006691885086,24.3865149475191,24.0831386634153,23.4735201193577
"sp|P55264|ADK_MOUSE",3,3,2,1,1,1,0.00246536160927896,0.130993333719095,24.3312424761231,24.388900610546,23.0572560276695,22.2306205636748,22.0819291292588,21.8436437522125
"sp|P55821|STMN2_MOUSE",1,1,1,1,1,1,0.00310293052903072,0.130993333719095,22.6940018474471,22.4557258893007,22.3467676760854,23.3999176521216,23.2193734190006,23.2846032408073
"sp|P56376|ACYP1_MOUSE",3,2,2,2,1,2,0.264042512560857,0.59378870950682,23.804617394078,22.591967074771,22.6921854176348,23.0975603672407,22.2132889963141,22.2663240517855
"sp|P56391|CX6B1_MOUSE",5,5,5,5,5,5,0.49577503978766,0.762636666142499,26.0024961897547,25.6429356444569,26.0449659905592,25.9918560278592,25.7912663042825,26.4033135151751
"sp|P56395|CYB5_MOUSE",4,4,4,4,4,3,0.601574775485637,0.826336791183789,25.0465637366132,24.8237099818257,24.0250489902033,24.5697849007151,24.4731402477119,24.3734622505098
"sp|P56399|UBP5_MOUSE",5,4,5,4,5,5,0.930403277754984,0.976649102007337,25.1832212416624,24.6408621841786,24.8887122235254,24.649245723963,25.344767665749,24.7886343963481
"sp|P56480|ATPB_MOUSE",19,19,19,18,19,20,0.512455442804234,0.773617541433123,30.0086816130276,29.8465227003503,29.9534023538318,29.8652906942463,29.6473173314391,29.947496990787
"sp|P56812|PDCD5_MOUSE",3,3,2,3,3,2,0.478625460620779,0.757772965607994,23.8596240595701,23.5242814062896,22.7830321551691,23.2172619542766,23.4138287949956,22.7993097203319
"sp|P56959|FUS_MOUSE",6,7,6,6,6,7,0.453666187038551,0.743913124725552,26.3280321563816,26.4928022326041,25.933947236941,25.4416615110607,25.8593359899904,26.6364232074688
"sp|P57759|ERP29_MOUSE",3,3,3,3,3,3,0.488316685709131,0.761902816619,24.3698390138053,24.3239682149256,24.3475146176892,24.4075638910981,24.5567257029418,24.4127788600427
"sp|P57776|EF1D_MOUSE",6,6,5,5,5,5,0.243791793622139,0.584404472563661,26.3610177952594,26.7604470830778,26.172524627485,26.7149858882733,26.7937014731991,26.5839633442158
"sp|P57780|ACTN4_MOUSE",15,14,15,15,15,14,0.668580134430513,0.851790232618015,27.618636789292,26.9374596658294,27.1514388267677,26.9350761196354,27.0169334427254,27.4217800732061
"sp|P57784|RU2A_MOUSE",4,4,3,4,4,4,0.914106140193791,0.971822739489303,24.1532105460198,24.1401205398223,25.4857276863627,24.8003496997163,24.5196673435194,24.3244580944638
"sp|P58252|EF2_MOUSE",28,28,29,28,29,29,0.220448537191079,0.557984050951238,30.0529568733495,29.8084301480816,29.8725860059821,30.3527654825015,29.8783188715268,30.314195412618
"sp|P58389|PTPA_MOUSE",3,3,3,3,3,3,0.0971352925311458,0.422838068171796,23.876631280442,23.8234785767341,23.5551718565457,24.4020961329397,23.9961698112267,24.0099825405468
"sp|P59325|IF5_MOUSE",4,4,2,3,4,4,0.86667315475915,0.94892333113348,24.7136128521679,24.5841315631801,22.3959549727469,23.2316430437925,24.3170109068196,24.5082300632416
"sp|P59999|ARPC4_MOUSE",4,4,4,4,4,4,0.906230647199898,0.969238958292766,27.3162695678916,27.2662784231652,27.2942570709743,27.206306972815,27.1894205667492,27.4226676488802
"sp|P60122|RUVB1_MOUSE",8,8,9,9,9,7,0.308238001332472,0.635732866826367,25.2570563576071,25.8060165499384,25.9240800966694,25.9709430177689,25.9269962107862,25.8279176083931
"sp|P60229|EIF3E_MOUSE",3,3,2,3,1,3,0.546523433047165,0.796257824068276,23.5176318629351,23.1191874612668,23.2107553873166,23.6674112902388,23.228525786241,23.3416793978279
"sp|P60335|PCBP1_MOUSE",7,7,6,6,7,7,0.354447118979134,0.673443928320774,26.2810289902502,26.4679826072539,26.469625925533,26.5764433080365,26.5309831600691,26.5769640749227
"sp|P63260|ACTG_MOUSE;sp|P60710|ACTB_MOUSE",22,21,21,22,21,22,0.139765789727437,0.472283689851485,33.6243887417232,33.6347376181747,33.5859748038441,33.3158480858985,33.4986710596683,33.2122905226623
"sp|P60766|CDC42_MOUSE;sp|Q8R527|RHOQ_MOUSE;sp|Q9ER71|RHOJ_MOUSE",8,7,7,8,8,8,0.964069416206753,0.993573608431442,27.749602232926,28.6999974928607,29.0055345276334,28.9286791787173,27.9323944239972,28.5369203240562
"sp|P60843|IF4A1_MOUSE",6,6,6,6,5,6,0.91634079807487,0.972538870869922,24.4672408684662,24.5926842010403,24.0244829499642,24.317185392554,24.4354810951901,24.3982205710532
"sp|P60867|RS20_MOUSE",2,2,2,2,2,2,0.467550610947525,0.752691993077338,26.4587059052014,26.5017529633316,26.215685390274,26.381112956032,26.3054729572697,26.0756034288528
"sp|P61027|RAB10_MOUSE",2,3,2,4,3,3,0.279536727629457,0.609924699855037,18.7268167311648,21.7665506488707,23.1090838904415,23.1818789078573,21.4274636163092,23.0113677495259
"sp|P61028|RAB8B_MOUSE",1,1,1,1,1,1,0.323629434627099,0.64605101354954,22.1195548955113,21.9851578334831,21.2397932574573,22.356833179682,21.8188109489009,22.1005857466592
"sp|P61079|UB2D3_MOUSE;sp|P62838|UB2D2_MOUSE;sp|P61080|UB2D1_MOUSE",2,1,2,2,2,2,0.0118808242990635,0.185043838457913,23.5964946069343,21.2430079517299,21.3122617714998,24.3493163295649,24.1823022806046,24.2614003534516
"sp|P61082|UBC12_MOUSE",3,3,3,1,3,2,0.947185439706788,0.986783493206236,23.0623997638107,22.9000567650135,22.2313810176411,22.5212071816258,23.2550824639544,22.483699028392
"sp|P61087|UBE2K_MOUSE",3,3,2,3,2,4,0.0502678612085501,0.32965134245186,23.23204946804,23.4371887022125,22.7733956853681,23.8583461426993,23.4487874416863,23.8886033017334
"sp|P61089|UBE2N_MOUSE",4,4,4,4,4,4,0.654637773437073,0.843514649123674,26.006134728098,26.3189537880586,26.4117974450508,26.1381604369904,26.4225379375856,26.4480564064537
"sp|P61161|ARP2_MOUSE",10,10,9,10,10,10,0.0835754119824537,0.392962125774103,27.7011741636284,27.5586379362028,27.4594801105322,27.2433900054205,27.2272586753474,27.2793078881435
"sp|P61164|ACTZ_MOUSE",4,4,4,4,3,3,0.326073824703602,0.64695539105205,24.8719944383938,24.3205616134824,24.6785783642828,24.64108456004,24.4248790440091,24.0376843343041
"sp|P61205|ARF3_MOUSE;sp|P84078|ARF1_MOUSE;sp|Q8BSL7|ARF2_MOUSE",8,8,7,9,7,9,0.790060378918016,0.92172091682455,25.0242667415879,25.7981244796286,25.6606131702878,25.8507079402501,24.9923988654271,25.9211252771473
"sp|P61222|ABCE1_MOUSE",5,2,3,3,5,6,0.0583015623294997,0.349248782031522,24.0261430837066,22.7552981157298,23.3473335764453,23.6595937413985,24.8081037150163,24.6843408819767
"sp|Q8BU31|RAP2C_MOUSE;sp|Q80ZJ1|RAP2A_MOUSE;sp|P61226|RAP2B_MOUSE",2,1,2,1,1,2,0.110217123321424,0.442551354602562,22.6586356720648,21.0946054994037,22.3765695403601,21.1374029179177,20.4643483999414,21.7283998015877
"sp|P61255|RL26_MOUSE",5,5,4,3,2,5,0.386290662583701,0.70132354325553,25.8459649631979,26.3596431944112,26.0541118588892,25.8234628294477,25.5654482156928,26.2026984853156
"sp|Q9CQL1|MGN2_MOUSE;sp|P61327|MGN_MOUSE",3,3,3,3,3,1,0.123500324336294,0.45171180849826,24.6541102589689,24.7557250691611,24.2739367743647,24.4005816437677,24.2381843649116,23.7230144580306
