"protein_group","number_of_peptides_control_1","number_of_peptides_control_2","number_of_peptides_control_3","number_of_peptides_infected_1","number_of_peptides_infected_2","number_of_peptides_infected_3","differential_abundance_pvalue_infected.control","differential_abundance_qvalue_infected.control","abundance_control_1","abundance_control_2","abundance_control_3","abundance_infected_1","abundance_infected_2","abundance_infected_3"
"sp|Q9D2G2|ODO2_MOUSE",5,5,4,3,5,4,0.142388198075714,0.473946780719821,25.0424428571189,24.7883879999262,24.542477278525,23.5764433080365,24.950828087335,23.9598603337321
"sp|Q9D2V7|CORO7_MOUSE",8,10,10,10,12,10,0.0330355069202759,0.275487935317213,25.3648493388269,25.6089408525018,26.0944476018851,26.4916647368698,26.4493692817784,26.116199013696
"sp|Q9D358|PPAC_MOUSE",2,2,2,2,2,2,0.487777426690371,0.761902816619,23.1178303235499,23.0020237613751,23.0062513947492,23.3082590105964,23.0637340634792,23.1103494990766
"sp|Q9D379|HYEP_MOUSE",4,4,5,6,4,5,0.513353480257877,0.773617541433123,24.3308997292469,24.4565378948743,25.311832720658,25.4971414065192,24.4982924106327,24.8682458962007
"sp|Q9D662|SC23B_MOUSE",2,1,0,2,2,2,0.0468144018439783,0.321364624664124,22.5049442650181,21.3700238045303,NA,22.706413098296,22.9845907989005,23.0465556615096
"sp|Q9D6J6|NDUV2_MOUSE",4,4,4,4,4,4,0.250902601458218,0.587640303415301,24.7896589714002,24.7756698135277,25.292450939511,24.8578206664447,24.9081550804976,23.5661440514874
"sp|Q9D6R2|IDH3A_MOUSE",6,5,5,5,5,5,0.782129276131446,0.92172091682455,25.9532754080965,25.1630897077798,26.3715264286812,25.7801918461051,25.8756702167298,25.5489042569197
"sp|Q9D6Y7|MSRA_MOUSE",2,2,2,2,1,2,0.445588254279988,0.735734858829914,22.7787145085082,22.6527063159902,22.7179005727764,22.91870342982,21.789528957983,22.6806968823633
"sp|Q9D6Z1|NOP56_MOUSE",17,18,18,18,15,17,0.54148888693074,0.794298469615498,27.4944500536379,27.495767780723,27.2056555657013,27.3198777544888,27.1123402280135,27.4148976524903
"sp|Q9D7G0|PRPS1_MOUSE",1,1,1,1,1,1,0.26321865474605,0.59378870950682,22.8304790993862,22.370074506354,23.071217834795,22.5975460255599,22.4280129284356,22.4188649861748
"sp|Q9D7H3|RTCA_MOUSE",2,2,2,2,2,2,0.141088749968441,0.473845235743065,23.2859882751508,23.6035063584625,23.5564645590229,22.0737385510013,23.8201507578809,22.0602236454752
"sp|Q9D819|IPYR_MOUSE",6,5,4,5,4,4,0.55653005839076,0.802588486984822,25.0395991636296,24.2140802406111,24.5457353764948,25.1770763821895,24.5997796503126,24.5594019719339
"sp|Q9D880|TIM50_MOUSE",2,1,1,2,3,2,0.669375544347934,0.85193251098828,22.3480639200371,22.0485582977431,22.7323917400298,22.9369878182908,22.8290788882462,20.4484143912617
"sp|Q9D8E6|RL4_MOUSE",12,12,11,11,13,12,0.575460944525321,0.814800382816534,27.634098302924,27.5478228186269,27.1434454059415,27.3788439341662,27.2964514763045,27.3121851766867
"sp|Q9D8I1|MZB1_MOUSE",0,1,1,1,2,0,0.0308929471888935,0.266052813070946,NA,21.9670368845223,22.0985005158469,22.6655869776083,23.1705987693072,NA
"sp|Q9D8N0|EF1G_MOUSE",7,7,8,7,6,7,0.454348224651802,0.743913124725552,26.3767577435495,26.5495726854703,26.9291922148449,26.388480918808,26.4738941343254,26.5191596233999
"sp|Q9D8S4|ORN_MOUSE",2,2,1,1,2,2,0.353142889201731,0.673443928320774,23.3158861339217,23.9264475743627,23.2857470472822,23.6060316053744,23.5936722199703,24.1080560060186
