"protein_group","number_of_peptides_control_1","number_of_peptides_control_2","number_of_peptides_control_3","number_of_peptides_infected_1","number_of_peptides_infected_2","number_of_peptides_infected_3","abundance_control_1","abundance_control_2","abundance_control_3","abundance_infected_1","abundance_infected_2","abundance_infected_3","log_fold_change_infected_vs_control","differential_abundance_pvalue_infected_vs_control","differential_abundance_qvalue_infected_vs_control"
"Q05816",4,NA,NA,NA,2,3,19.8659589776209,19.3240529250778,18.5102127693969,19.3660420570254,18.9494375661949,19.5049707832819,1.84248864689695e-20,0.999999999843445,1
"Q9Z0M6",2,NA,NA,NA,NA,NA,18.9552571722696,17.5143340369331,17.8145908274507,17.7040544157195,17.2385992920013,18.9408959429128,-1.41154387166819e-20,0.999999999942639,1
"P99026",6,6,3,3,3,3,20.4545325618267,19.8949102008204,19.3355212922127,19.5081346761183,18.9141141120349,20.749598834677,-1.09914515059443e-17,0.999999996637122,1
"P01902",6,5,6,6,8,7,20.4132740062923,19.8161793902154,19.0458666413167,20.2475755879229,19.8434466049708,20.8133060335156,0.581362248607831,8.71909456419865e-06,0.000401359611068112
"P57759",4,4,3,4,3,4,20.3887359072111,19.951044909457,19.1815406842527,19.7908584307819,19.9913685161746,20.4360430398651,0.141727880730399,0.498087600388885,1
"P62830",6,4,3,6,4,9,21.3995196805593,21.0301307295235,19.8666837295925,20.6325351633532,20.0073147278125,21.4078794573649,2.31689271316552e-20,0.999999999894242,1
"Q9R1T4",2,NA,NA,1,NA,2,21.0446921178367,20.5786359958926,20.1040283401979,20.380052471879,20.0755721333888,21.0346250471873,1.49703411705207e-20,0.999999999881613,1
"Q8C0E2",NA,1,NA,NA,NA,NA,19.4976628958095,18.9771629923979,17.8942676145516,17.9860903847457,18.1989868533731,19.0069563247298,-0.116399256708238,0.397931467338187,0.881751869396884
"P35585",4,2,NA,5,4,3,18.9510234631047,18.6293792207244,18.1047558778073,18.7530364867304,18.3653105778161,19.4611024191118,0.294579003678761,0.0246212287100747,0.136180206857661
"Q9DBG6",8,7,4,7,8,9,20.12436705094,19.8829720044749,19.4397261951546,19.6637854942411,19.5221556140568,20.0976115263263,5.54341091576791e-12,0.999995887606478,1
"Q8C1B7",3,NA,NA,1,NA,NA,18.5405069078139,17.980299048819,17.4883992664608,18.1468814846038,17.8134809193633,18.801867099002,0.249789580010148,0.0187636968512985,0.117568821990009
"F6ZDS4",13,12,4,12,11,19,18.8840072002351,18.6282585167955,17.883174883924,18.4690171275845,18.1099650783502,18.8897375768365,1.4121144017007e-20,0.999999999838086,1
"Q9CYN2",4,3,4,2,3,2,19.6023618729422,19.1853759300036,18.6316229454095,17.2300905612422,18.7949511317926,17.6322278153123,-1.49110952265186e-19,0.999999999651226,1
"Q9CZM2",5,4,4,7,4,7,21.604822298647,21.3069382167269,20.6450031152799,21.6749069680353,20.8403363080915,22.1853200415932,0.251773957403228,0.128402906659069,0.404483328482322
"P42669",3,3,NA,3,2,2,19.6935435937388,19.3839038540887,18.6134594787047,18.9219205416929,18.3048190792319,19.3116389755684,-0.222441158570495,0.067045319950347,0.25724703692075
"Q8VEE4",NA,NA,1,5,3,5,18.9703579134524,18.5077478834608,17.743713231423,18.9181765121816,18.0897125453039,19.093371252613,0.32381184714609,0.00900539151016363,0.0717915848324218
"Q9D8W5",2,NA,NA,NA,5,4,20.1755146022675,19.6444326980034,19.0354223540073,19.1926527270758,19.5011293517834,20.378177868854,3.84452013777834e-20,0.999999999827885,1
NA,NA,NA,NA,NA,NA,NA,19.049820502377,19.0632764488863,18.651519407156,19.6888081422173,18.9083441942279,20.4758517042107,0.745182176350195,0.0174723423694581,0.112819151860709
NA,NA,NA,NA,NA,NA,NA,19.1042170195219,18.4475267565415,18.0402110277864,18.4945322828608,18.3513339484276,18.64809171927,4.85021400860783e-20,0.999999999809642,1
"P05555",9,9,5,7,5,6,20.2840887335034,19.584390552121,18.9235214316377,19.5028103206094,19.1362951476199,19.9333301173879,2.79165800171933e-20,0.999999999603544,1
"P41245",9,5,1,2,3,NA,19.6866665366336,19.2493424754475,18.1107720120418,18.3033667423972,17.7449893547129,18.7253501610335,-0.670737471359446,9.75284975369299e-06,0.000421736866621815
"P61327,Q9CQL1",2,NA,2,2,NA,2,19.9759105591131,19.6068283844825,18.4989737140499,19.2340001010431,18.7160982122413,20.0458173034362,7.30711394299722e-12,0.999997853569093,1
"O70172",1,1,NA,2,NA,NA,19.5936512181506,19.3634136739336,19.3020247602757,19.0664249436609,18.7121721912472,19.5285180342636,-7.65970524005046e-20,0.999999999662182,1
"Q9R1P1",8,4,3,3,1,4,21.1524154386736,20.7897130931929,19.6631570058491,19.3958703864313,19.6252512209192,20.5972904080268,-0.373696708660525,0.0368724561102625,0.177161598886682
"Q9D1J3",5,5,4,3,3,5,20.8123931155547,20.5546195866253,19.9957107855592,19.9569395883561,19.9544489366887,20.7231211706074,-8.32727281299833e-20,0.999999999396242,1
"Q8BYW1",5,4,4,7,4,6,19.2689313667148,19.1296579478711,17.9497967308594,18.9715443531782,18.4031556067967,19.4362298728885,0.10755055330387,0.290961605697011,0.724611189056955
NA,NA,NA,NA,NA,NA,NA,18.2428775934338,17.2099828400012,17.1833720386822,18.144571391958,17.4156355256644,18.6027879382846,0.439465697782499,0.0511447012795205,0.217861160375748
"P46978",3,NA,NA,4,4,6,18.6114261203014,18.7267912858066,17.928623818058,18.5711864970307,18.3476059955925,19.235511043363,0.310738111567062,0.106937788092823,0.355727826779348
"Q9QUM0",2,NA,NA,NA,NA,NA,19.8468926953258,19.0443341029649,18.9801152162078,18.9866153590343,18.8480677241787,19.9396478730787,2.13429325069838e-19,0.999999999644515,1
"Q8BK64",3,NA,1,2,3,3,19.3166982285883,18.75377606623,18.1227527116412,18.8600673977351,18.5981529428134,19.4455619337221,0.202091633349526,0.0447281953874641,0.201347428447669
"P48758",4,3,NA,NA,NA,NA,20.2514213838058,19.5631521320582,18.0952560129374,18.6718109550142,17.9824738902336,18.8963472023995,-0.599126247402196,0.0330387113324317,0.166007891096408
"P70315",3,3,2,3,2,5,19.4643088726487,19.3261046278838,18.414087804775,18.975977668596,18.7493531667051,19.6818606658539,4.55647651189257e-20,0.999999999569872,1
"Q8CHP8",3,NA,NA,2,NA,NA,19.6332547567083,19.3741579232284,18.3810782506923,19.1978462849207,18.3548997606385,19.4095191198291,-2.70232922084836e-20,0.999999999869963,1
"Q8VBT0",2,3,NA,2,NA,3,20.3291409026234,19.7831752700301,19.0079775981647,19.1090231891588,18.7216475955909,19.8956172403865,-0.260602900129387,0.0529167429514463,0.222749829474082
"P63005",3,3,NA,4,4,3,19.6998843450873,19.2811236295709,18.7466908791983,19.0349578615435,18.6069389077473,19.587251742559,-0.00805628982400796,0.760082766959449,1
NA,NA,NA,NA,NA,NA,NA,18.326707375866,18.0923003769158,17.4025983346633,18.2287640561263,18.2064367783904,18.5859283150361,0.373998069160809,0.0664606545371936,0.257017219578795
"Q61210",14,13,11,11,9,12,19.6044812231686,19.4120627958739,18.5807411306087,18.8284069410969,18.352824823924,19.4970228401411,-0.248466631605022,0.00235885686456528,0.0278189152540054
"Q8K352",4,1,2,3,2,3,19.1497735640266,18.2318830400597,17.6625230305664,18.0964313029432,18.3148384913964,19.0913812519453,1.83659894660847e-20,0.999999999891985,1
"P63158",13,12,11,10,8,9,22.6892792897019,22.6103108274579,21.7529196437359,21.7452807678361,21.4075568814238,22.7354152988153,-0.267012292520032,0.0506880877441343,0.217212916549188
"Q9CQC6",NA,NA,NA,NA,NA,4,18.976687163679,18.3810984862238,18.0670055348839,19.218492665423,18.4462624827143,19.5554106225899,0.63112448591557,0.00742432905065299,0.063440224881927
"Q9JKB1",2,1,NA,1,1,2,20.5665464906448,20.2399968526495,19.3094794937069,19.9390492058485,19.4643283537269,20.411879291973,-5.43860450660571e-21,0.999999999966941,1
"P25976",4,8,1,5,NA,4,18.9921369249531,19.0922983954974,18.2055559315832,18.5370786911306,18.5011567708045,19.0129972902637,5.43063858742022e-21,0.999999999948047,1
"Q91VR5",5,3,3,5,5,6,18.871218816376,18.7517961643884,18.6222415780459,18.8341745689015,18.921268641638,19.4534496850528,1.75458576465524e-19,0.999999999274614,1
"O09159",3,NA,NA,4,1,3,19.6221328565061,18.1070702019902,17.8107259020047,18.646748272517,17.8230721270172,18.9972494260323,3.46867336575113e-20,0.999999999853667,1
"Q9CY50",2,NA,NA,2,2,NA,19.4232214998653,19.109114197891,18.7332704864029,19.1978339219339,19.1358458042124,19.5685454834286,0.109214437069358,0.481288893023515,1
"P56376",3,2,NA,NA,NA,NA,19.598406794124,18.8710043898724,17.6433718716093,17.4537471277746,17.5946987880271,18.4254593977636,-0.577037090901021,0.00673498246510573,0.0598053919858524
"Q6ZWV3",2,2,2,2,2,2,20.8070283138896,19.7965582622998,18.8064805273302,18.8392747993001,18.782017909403,19.9141114614407,-0.402786375314241,0.0434856154910295,0.198890940082369
"P62331",NA,2,NA,NA,NA,NA,19.1790780275118,19.0898066721708,18.3969272516926,18.716080561453,18.0103318684001,19.2421225542924,-1.53982339669257e-19,0.999999999251438,1
"Q99KK7",9,12,7,9,5,10,20.2696698688645,19.7414077352299,18.9680780069009,19.4054132979588,18.6561993568373,19.7374650488056,-0.21941127759556,0.00682342201119446,0.0598053919858524
"P62751",4,5,4,5,4,8,20.7707338702221,20.2895460599603,18.9968472101021,19.3409017867952,19.2740470627311,20.1966614716649,-0.21466642911173,0.195252190007366,0.540629016393743
"P11247",20,18,14,15,17,18,20.9058302800882,20.7664371083679,19.5931049917151,20.1349967966518,19.7373366531114,20.5743043777614,-5.36023575968511e-09,0.999805394759818,1
"P56391",5,4,4,6,6,5,20.833056377634,20.1824088905365,19.9109467501544,20.1641740726885,19.7998577130259,20.7745889212823,9.22257368674186e-21,0.999999999892262,1
"Q99KV1",3,3,NA,2,2,4,19.4762056141815,18.8370992732066,18.3034335016908,18.9653966711139,18.7652722223689,19.7475440843985,0.347759848750729,0.00806700993703886,0.0673194338020728
"Q9CY66",3,3,3,3,NA,2,19.8080175541433,19.5774060721204,18.8513858159857,19.5342529460856,18.8755176199166,20.0635534895081,0.0530658641971186,0.580268797138186,1
"Q9D1P4",1,NA,NA,3,NA,NA,19.1523997809937,19.0831686415599,17.8868683312827,18.9303787597089,18.3621371813565,19.1474982645536,1.64388271584e-20,0.9999999998635,1
"P28293",3,4,3,2,4,3,20.6247020590884,20.3977402097072,19.6364659715528,19.895223788831,19.9177539545754,20.3143945147351,-5.44319833719895e-20,0.999999999844559,1
"Q8CDN6",5,4,2,4,4,4,20.1481295284808,19.8059450761871,19.2022787209166,19.8153201209391,19.3973067892448,20.3818978737122,0.224018991029622,0.0164924709925292,0.108455097264236
"O55128",1,NA,1,NA,NA,NA,21.6227619522089,19.6819091666315,20.0834575771481,19.6638481086458,18.3591849253255,21.324707304402,-1.1184003506227e-17,0.999999996272489,1
"Q1HFZ0",6,2,NA,3,NA,4,19.1311547901003,18.7036778829663,17.6760309542511,18.453517652576,18.1217903939267,19.0164019160707,2.7507788145613e-10,0.999973976520288,1
"Q64213",2,NA,NA,2,2,NA,19.1287135731505,18.7009340892163,17.8813358220914,18.0514777014988,18.0112665846087,19.0544530807232,-1.50994790054321e-20,0.999999999864718,1
"Q99J36",2,2,NA,NA,2,NA,21.2685001315724,20.4118604918465,19.9625806256852,19.9567277006688,19.4914429473138,20.6543005388561,-0.431899251644824,0.0227235861376115,0.128676815152268
"Q9Z0E6",NA,NA,NA,NA,1,NA,19.496956862808,19.2595804740511,18.2316842199047,19.2743148389125,18.8920543430413,20.1941244771003,0.491186383145556,0.015531615347558,0.103086581864954
"Q505B7",2,1,1,1,1,NA,19.4442271408136,18.8996455202772,17.7782174503468,18.2147544943267,17.9138912952255,18.9488190196951,-0.197629270020004,0.387551119615902,0.871615488401638
"Q6P5D8",NA,2,NA,NA,NA,5,18.7443556641342,18.6370422687818,17.401026901336,16.7575846411168,18.0181680098093,18.9828388362819,4.19932706872092e-20,0.999999999886814,1
"P32067",11,9,7,12,7,11,20.7287509383891,20.0097678662959,19.0903243626642,19.5411721532051,19.3110711721761,20.3501322234113,-0.0295246279295527,0.550602621950846,1
"P01631",1,1,NA,1,1,NA,22.6731968454079,21.8222560396788,20.8114238898541,21.5649159881691,21.4161172751368,22.2498439551797,4.90705381460343e-20,0.999999999778306,1
NA,NA,NA,NA,NA,NA,NA,18.7730601627391,17.556023907362,19.3647357023243,19.9306134050134,19.6614655361936,22.2248953414292,1.6707555226815,0.0291685065499106,0.152466882222426
NA,NA,NA,NA,NA,NA,NA,16.0913577004095,18.2435224747221,17.9693885579145,17.3127047514175,17.2762838898404,18.5209583780627,-7.74434591312352e-20,0.999999999868735,1
"Q9D7G0",1,1,1,1,NA,NA,20.6424521696501,19.7584454579767,19.4030743636685,19.5826374004797,19.2588398772837,19.9063141895449,-0.165001471291513,0.402877114016954,0.891326576282469
"Q9CS42",2,2,NA,2,1,2,19.5458100255806,18.7910184918385,18.3288727281515,18.7415570299569,18.6145370384846,18.9564396028235,-1.38910380957253e-20,0.999999999908598,1
NA,NA,NA,NA,NA,NA,NA,17.8059228946139,16.4715375603932,16.5597548633483,17.4408764908974,16.8365461579593,17.6529499597781,0.00181638720171189,0.927760193373889,1
"Q9Z1Z2",4,NA,NA,NA,NA,2,19.03555110987,18.3919679106531,17.5665472735725,18.3574212793657,17.7815307659892,18.557763496224,-5.28132888876287e-21,0.999999999975489,1
"Q91ZA3",4,2,NA,NA,NA,NA,18.9148501278763,18.2404012385824,17.8651611508141,16.9822538337979,17.0921572531516,18.435034610017,-0.626778395486353,0.0206194215808477,0.12352019245404
"Q9CY64",NA,2,NA,2,NA,5,19.9227579043082,19.4843812712514,18.6852348960186,19.0832314518552,18.8437168084419,19.0968127384659,-0.121180786205163,0.384607072265931,0.86751131719386
"Q3THE2",3,3,3,3,3,3,22.8188748359839,22.3879987465561,21.7589513167385,21.8845547504313,21.7800198941156,22.6546286541662,-0.0838349974030213,0.308654930686877,0.750341713952596
"P13864",4,4,NA,4,7,3,18.3870218776903,18.5171744638948,17.8013530006349,18.34289013567,18.2993183153421,19.3391138244863,0.409073504204834,0.0223001907760342,0.127289488949603
"Q9JHU4",11,11,NA,10,NA,16,18.9215400609601,18.8760240555296,17.7852282968385,18.6622521371894,17.9952324684168,19.2832964715455,0.18897814697901,0.0536754379864152,0.224769333981019
NA,NA,NA,NA,NA,NA,NA,18.5262830066018,18.1732327993228,16.9154644488682,18.1719023157521,17.9580520639919,18.7138799246801,0.407295467675403,0.0388856940260208,0.184875976810128
"Q9R1C7",NA,NA,NA,NA,2,3,18.4608618769343,18.0080428902974,17.8202391612459,17.4278642476367,17.5583258195642,17.3532200855276,-0.180128262247188,0.370766916042428,0.851987744271408
"Q62418",9,6,7,10,5,10,20.5757564261197,19.8404022600791,19.4140886503445,19.8256836903043,19.3385100415703,20.2773383551487,-4.63486576493858e-20,0.999999999715829,1
"Q3UPF5",NA,NA,NA,2,NA,NA,18.840648184596,18.5723269282066,18.0412927695132,18.7526681752838,18.1874252610849,19.2988851311682,0.276726076102246,0.101397100591719,0.342761577605602
"P62862",2,3,3,4,4,4,20.7034600716509,20.1010702276413,19.520286061628,19.5265367891708,19.417160580977,20.3467389045622,-0.0164243810318952,0.74066243443504,1
"Q8K4Z3",5,NA,3,4,NA,3,20.151722607623,19.432330300913,18.4180443261521,18.2123430598404,18.5437279782051,19.1384860816606,-0.520197384405118,0.068863732502969,0.261101964710473
"O88668",2,2,2,2,1,2,19.4861532911658,18.8681957765827,18.5137856633151,18.2871767470888,17.9090344690166,18.650428329255,-0.546321777062488,0.00168540008862192,0.0210970695303814
"Q99MR6",4,7,NA,6,NA,7,19.4713402560118,19.2343364886333,18.3017298576458,19.3303200384919,18.5834875008066,19.6251802823203,0.208571932344071,0.0753742815118257,0.2760886269082
"Q6PE01",NA,NA,NA,2,NA,NA,18.9899793368559,18.4917176841145,18.1998421926889,18.8180806181304,18.4031630948631,19.2661136141235,0.287206882145323,0.0537115226962351,0.224769333981019
"Q62241",2,NA,NA,1,2,1,19.6036954520976,18.8585044806331,17.7359499292311,19.7208889767529,18.9633973185882,18.1224969953821,0.242164393316903,0.348162407941722,0.814471731365307
"O55098",5,1,1,2,2,NA,20.4442427831563,20.0323896223319,19.1846469507828,19.8316388542085,19.3313698840627,20.1381523699879,-1.53143615672118e-20,0.999999999909001,1
"Q80UU9",NA,2,NA,2,2,2,19.1928513407379,18.8802679096283,18.6372341985903,18.7654411544153,18.4648381783491,19.4239187647741,8.18050420616059e-20,0.99999999962373,1
"Q62425",4,4,3,3,3,3,21.7108518002854,21.2367991694243,20.758173466795,21.3045212764821,20.8037748784929,22.0620330818923,0.131519986056053,0.174641806011839,0.500429432086133
"Q9CQS8",2,2,1,2,2,2,20.1418052547003,20.1202883701876,18.9590194947055,20.0001175354776,19.5297238164062,20.7536201011582,0.507549746500874,0.000373500681348478,0.00674665154790225
"P62960",2,3,1,2,2,2,21.7549317122795,21.5068316442236,20.6060720402064,21.1910807194411,20.9267035513495,21.7069651343319,1.63252110244817e-20,0.99999999992358,1
"P48036",11,10,9,9,10,10,22.0968237748096,21.4193472356876,20.5345722668574,20.5191802633606,20.1378039998845,21.1111276426482,-0.67656831698768,4.7581484032633e-08,5.00605867029864e-06
"Q07076",2,4,NA,3,NA,4,19.7030590621946,19.3608758393919,18.9112481022357,19.2772939200966,19.0545605523703,20.2360959959424,8.98679412514336e-20,0.999999999560118,1
"P97429",2,NA,NA,NA,NA,NA,19.0298229305421,18.1638760559974,15.6797513694068,17.802257213712,17.6741036399183,18.9122546567093,1.8572379229287e-19,0.999999999574256,1
"P51660",2,NA,3,2,NA,4,18.8897502930764,18.7110025667827,18.5203460661976,18.7163996530013,18.5756963420978,19.1538123511833,2.58306949364948e-20,0.999999999822287,1
"Q3TEA8",13,13,11,12,12,14,20.8742466726401,20.7615154299975,19.7086207379223,19.9560695005766,19.6039026650209,20.5713355074227,-0.239151633117303,0.047519695679033,0.211247992940748
"Q8VCW8",3,3,3,4,4,5,19.5495073030695,19.4339784765049,18.4584821839108,19.1979304924341,18.8386893737039,19.8522100428371,0.108642757219029,0.266083961257099,0.680999449382075
"P25444",11,8,8,8,9,11,21.3335690722149,20.9988429976798,20.0281168581235,20.6996555815664,20.4820533319339,21.2280918690337,-7.59996314669188e-21,0.999999999951572,1
"P11942",2,2,NA,NA,NA,NA,18.4879775836889,18.2990482366899,18.0430450677676,17.4314392618946,17.1679996162169,18.4641544010592,-0.348767185234065,0.111511138846236,0.364968796177933
"P62311",1,1,NA,1,1,NA,21.6973981496175,20.7123124485316,20.0116572812748,20.2242634414045,20.0354023161388,20.5428748381236,-0.345700633768282,0.0887724438570802,0.308971408253789
"P25206",NA,NA,2,6,5,8,18.7239816218128,18.4915619836721,17.8716699477808,19.0314512493485,18.8435950684984,19.6772081533801,0.820258277956399,8.54519520761608e-06,0.000401359611068112
"Q8VCI0",4,4,NA,NA,NA,2,19.2020680503797,18.5888825555933,18.2194872102806,18.2823677299632,17.5501487110702,18.5393262833099,-0.45053939665203,0.00628885359745826,0.0582739875556684
"Q8K310",7,8,5,7,6,11,19.937682897945,19.6455788375565,18.5887018617328,19.1166038107214,18.8492750644904,19.4782324012897,-4.95511675914738e-21,0.999999999968108,1
"Q8BFY9",3,3,2,2,1,5,19.6600600366353,19.3650122779367,18.7059116057894,19.6725396328426,19.2582297679198,19.5981903235073,0.181871696856476,0.283836753864173,0.712025858179366
"P09671",3,2,NA,NA,2,3,20.1434952427035,19.5334678867579,18.4472668923432,19.0149902985911,18.5192857543865,18.4113475916591,-0.268793634851403,0.142296500261698,0.434811789878893
"Q60972",3,2,2,3,2,2,19.7588553580507,19.1999835242156,18.5900375492568,19.1774288789153,18.8456175600189,19.8071888837281,0.113794218758026,0.110692570705142,0.363122525048823
NA,NA,NA,NA,NA,NA,NA,18.7405961670692,18.4142515394917,17.53349008828,18.3370992689004,17.8285191045136,19.1376463292014,0.231979917022343,0.133286654136087,0.413478381417817
"P27048,P63163",NA,2,NA,2,2,4,20.7183852651639,19.8313061593276,19.1843240845494,18.9654745051318,18.9594472813065,20.1518355980835,-0.278538097332209,0.0441611333878183,0.199431478847509
"Q91WK2",NA,NA,NA,2,NA,NA,18.9939658022762,19.0919817891858,17.8069213869377,18.7269316873986,18.3982536388824,18.4147188831163,8.09316169370816e-21,0.999999999976342,1
"Q9Z204",11,12,9,11,10,11,19.992190352419,19.682702146129,18.7595315004152,19.4086947370087,19.0966165525541,20.0741025333632,5.3937034013192e-20,0.999999999502461,1
"P49312",10,9,10,10,10,12,20.7116260959072,19.9529965191315,19.4196939492345,19.7803599793353,19.5210322002466,20.8959153317911,2.56040038034686e-20,0.999999999765654,1
"Q91VM5,Q9WV02",NA,6,NA,5,5,5,22.3025178084943,21.6143470146342,20.7076074342664,21.3149771309156,21.2721157329185,21.9763583518254,-4.6103150484562e-21,0.999999999959899,1
"Q9R0U0",4,4,3,5,5,3,19.8076812836051,19.1387341903271,18.5370380330975,18.7554192185374,18.881407136683,19.4767467933927,6.68933053096969e-20,0.999999999678557,1
"Q60668",10,10,7,8,7,8,19.2206004867348,19.0643281343244,17.895928984478,18.5397453109649,18.2263049055448,18.8991453097418,5.16563143444842e-11,0.999993257341118,1
"Q6ZWM4",3,3,2,2,2,3,21.1556361785531,20.5199558938222,19.6406036871587,20.1954031915595,19.5812206854334,21.0155254539321,-3.45649315724236e-21,0.999999999975634,1
"Q9Z2W0",3,4,NA,3,2,4,19.7577142571839,19.4007688746778,18.5022003604619,19.0998193238813,18.5236800541636,19.3733824443252,-0.072320583480997,0.39599679127063,0.878829581871212
"Q9JM14",5,3,3,3,2,4,20.2021849795593,19.1009940484301,18.6478494539127,18.8888481743976,18.6919651723199,19.7351303845248,-8.64560267371357e-20,0.999999999486111,1
"P08030",3,2,3,4,2,3,19.7016037216517,19.8653886773401,18.9581824705433,19.4800101634058,19.1480303286413,20.4294249931475,3.39180653021191e-16,0.999999974802099,1
"Q99JF8",6,6,5,5,5,9,19.5362526343353,19.1364229342331,18.5102291767522,18.919338802115,18.4890490595013,19.9676361808684,3.68553622479444e-20,0.99999999980464,1
"Q9D0R2",NA,2,NA,1,NA,4,18.8312927273653,18.1841355314731,17.7582552801152,18.2003540760597,16.9201422723241,19.1464164338926,4.14904978441122e-20,0.999999999862443,1
"P53996",3,NA,NA,NA,NA,3,20.5602444507151,19.9660604842979,18.0269328757652,19.430858115457,19.5426549027174,20.4772288902897,1.39312094949439e-19,0.999999999610096,1
"P11103",16,13,10,14,12,16,20.0871259375426,19.9179178292705,19.1101536172458,19.2564302084344,19.0642935311158,19.8735564243195,-0.122004160081477,0.114756282058858,0.370491435515815
"Q61792",8,6,4,4,4,5,19.6336548277618,18.848404930389,17.895963656573,18.0993456850938,17.7429326221641,18.7323068626918,-0.603482476872623,0.000181853982077346,0.00399239434499034
"P48771",NA,1,NA,1,NA,NA,21.674506422034,21.522863761901,20.0737966138753,20.9592093509536,20.9931758234773,21.8897626514437,0.0282991491715653,0.708122081128647,1
"Q569Z6",6,4,NA,3,NA,6,19.1742233367537,18.8504310481587,17.5248920026034,18.3053431161839,18.3954516450332,19.2185226244836,0.0269908381675552,0.69758738904799,1
"O35295",3,3,1,1,1,2,19.5863921759034,18.9649423642099,18.9660918724224,19.2188147053043,19.0340313761305,19.88454471072,0.0812930727663613,0.580336069709334,1
"Q3UP87",6,6,5,3,4,5,20.2516066102158,20.2105359097778,19.064919148266,19.2718180525303,18.8907790022619,19.4602046283484,-0.463795973133201,0.00978631531482319,0.0758971301861559
"Q60737",2,1,NA,1,1,NA,18.9489416887231,18.2509562045231,17.3762814679129,19.2540238969436,17.8748707157703,18.879085042042,0.168990766745167,0.310083504115911,0.752532585669055
"Q64339",1,1,NA,NA,2,1,18.8150251983876,18.6716173704249,17.9007251813492,18.4560580753564,18.7352915757044,18.8403023076844,0.0787487693943666,0.533858928698446,1
"P50580",11,8,7,10,7,10,20.7751168747546,20.1587556900783,19.3268372116798,20.2169435653494,19.9082583925367,20.7617135923392,0.302564347765251,0.00163072212723124,0.0205932785447697
"Q8CI94",6,6,2,3,1,3,20.3286655009267,19.8914286414044,19.2804312043065,19.3293855703995,18.6936792959032,19.5114721203721,-0.442970302004559,0.0051320946287172,0.0498197213277513
"Q8R050",NA,NA,NA,NA,NA,4,20.6923602719665,19.9985290754337,20.5775957678938,19.6030382714484,18.0009512621104,21.3820495786276,-5.55600611686855e-19,0.999999999248043,1
"P32921",3,3,NA,4,4,5,19.7050963247555,18.8480783282759,18.2581463093398,18.7753925959614,18.5354280049205,19.5928789871209,0.05988991201731,0.405832202681935,0.895088953983185
"Q8VEM8",4,6,4,3,5,5,22.4808989580789,22.0795745451696,21.4660457840151,22.0345515613527,21.6069294037649,22.4806943940704,8.87282869284323e-20,0.999999999493993,1
"O08967,P63034,Q9QX11",NA,1,NA,NA,NA,NA,18.539504402192,18.3020481171833,17.7233675730256,17.7632115534615,17.909725538984,18.3784906133983,-1.71811302905507e-20,0.999999999924197,1
"P46460",5,4,3,5,4,4,19.6840014649462,19.404879246483,18.2688736757087,19.0047747856648,18.6441336930571,19.5082521468601,-1.18695674798331e-20,0.999999999926282,1
NA,NA,NA,NA,NA,NA,NA,18.6644391599078,17.6399886377562,17.3606164149025,18.1358105068027,17.8295793481037,19.5320282231505,0.475793776787457,0.0627024049910564,0.249237693376706
"Q8CIE6",7,3,4,6,4,9,19.0145332404627,18.859227007923,17.9138725460691,18.9737850394666,18.7616673699637,19.6383345575486,0.608788638953933,7.18811573683095e-07,4.27393381519073e-05
"P62897",3,5,3,4,3,3,19.9363638946906,19.4368754967766,19.1981997884133,19.6581779671776,19.4617180777981,20.2831254913213,0.292539591718287,0.0481860913538069,0.2122270134626
"Q6NSR8",2,NA,NA,NA,NA,NA,18.9729495819741,18.1501335490978,17.2706415733168,17.8860531932306,17.3317635304681,17.9700411532302,-0.148089314821062,0.32629240202068,0.778627521209884
"Q9Z2U0",5,3,4,4,3,7,20.2951202420878,19.7092562312274,18.9163480051423,19.4556865439387,19.1608039419292,20.2510396616872,8.94230639446096e-19,0.99999999924574,1
"P83882",NA,NA,NA,2,NA,3,19.6141529761673,19.0358962122667,18.132705222693,NA,18.6343241935298,NA,0.220795836589325,0.263852192498262,0.67758032783825
"P54071",8,6,5,5,4,6,19.3467980550061,18.6966030250574,18.2536227502482,18.2341210548095,17.7263040442797,18.7173840394991,-0.342576672122014,0.00102263654761825,0.0149268364156662
"Q9Z1N5",6,4,4,4,3,6,20.6222251327796,20.1334967731592,19.5465887780928,19.7634779544385,19.4740804724683,20.435869070959,-9.66661715991931e-20,0.99999999929309,1
NA,NA,NA,NA,NA,NA,NA,18.6601697119146,18.2303110661497,18.1803714950427,18.3589824341972,17.9399019077863,18.8341561250514,1.22391061202457e-19,0.999999999537154,1
"Q8VDW0",5,5,1,3,2,5,18.6664450851831,18.0716538203116,17.6369798929068,18.426270770004,17.7479390859326,18.678096875547,0.218955406653899,0.0793754201876775,0.283881515307809
"P08122",3,NA,NA,NA,NA,NA,18.935065418292,18.5572083114723,18.1949347934614,16.7889032092348,18.5506735363421,18.8660564927161,-1.41555234995014e-19,0.999999999671386,1
"Q9CPR4",6,4,5,6,6,6,21.1447803839306,20.5177753979241,19.5054676771331,20.334858411665,19.966186793573,20.4000232826299,6.73055430820769e-20,0.999999999635036,1
"Q8BMF4",3,4,2,4,4,2,19.7330652430448,19.418347245524,19.0157904619831,19.1831314268343,18.6037965250137,18.9170879026955,-0.187744791039354,0.357271449514109,0.830336088691586
