"protein_group","number_of_peptides_control_1","number_of_peptides_control_2","number_of_peptides_control_3","number_of_peptides_infected_1","number_of_peptides_infected_2","number_of_peptides_infected_3","abundance_control_1","abundance_control_2","abundance_control_3","abundance_infected_1","abundance_infected_2","abundance_infected_3","log_fold_change_infected_vs_control","differential_abundance_pvalue_infected_vs_control","differential_abundance_qvalue_infected_vs_control"
"P51859",8,6,6,7,5,6,18.984906567785,19.2676835859439,17.9516621064285,17.9788201846396,17.6851943920404,18.8211008599012,-0.446511077711413,0.0408405377969363,0.192341410680621
"P61161",14,9,9,8,8,9,21.0314869256645,20.6693819035942,19.7653352719986,19.7076061841656,19.5480225938562,20.7525338363747,-0.323356072659628,0.00579997047180221,0.0548116414785547
"P63017",26,23,21,21,22,21,22.1881923589584,21.848685828745,20.6915541547836,21.4755741900632,21.0908776715755,21.9410475762612,-1.21528723412923e-20,0.999999999966676,1
"P62307",2,2,1,1,1,2,20.0261146031069,19.6422230769067,18.6653807972242,19.0874762868218,18.8792256735337,20.0082503617949,-4.20126629986733e-18,0.999999998539148,1
"P62281",7,8,4,6,5,7,20.9945909393119,20.3304092071118,19.5429747778424,20.2018412752527,19.8638879945393,20.6263279024178,5.06907291542014e-20,0.999999999673496,1
"P97822",4,3,3,4,4,5,20.6830946030432,20.015459761683,18.7799822556104,20.0682506852202,19.1934746239669,20.4148834753443,0.137594051777232,0.332711373563151,0.788309037404119
"Q99K48",5,5,2,4,3,6,20.5266946537835,20.1241837835925,19.517502518241,19.5643429899315,19.5207624025492,20.2232063116229,-0.0373596261785505,0.577667407505947,1
"Q8VIJ6",13,11,8,10,8,14,21.0476014158115,20.7153112169387,19.8704823067032,20.362369814889,20.1934979576557,21.0446009219971,1.0793405750203e-20,0.999999999867776,1
"Q501J6",7,7,6,7,7,8,19.6332811373014,19.2703659152001,18.5838092894022,18.9716106706624,18.773133612957,19.4514728411557,5.06773411754566e-20,0.999999999522928,1
"O35326",2,3,1,2,2,2,20.1143985790327,19.2199234014272,18.159499070243,19.3479374391547,18.8483334258489,19.7463582828205,0.00913173290977282,0.798583677088744,1
"Q3TWW8",3,2,2,2,2,2,20.5813394592198,20.0089557995804,18.754284122867,19.7270288126889,19.1835489638087,19.8709828252653,-3.42105677966234e-09,0.999920084759839,1
"Q62093",3,3,2,1,NA,2,21.9448056064151,21.1533992602105,19.9381138791469,19.7372483104804,19.9288944235714,21.2441632589671,-0.312586975996786,0.165649632590933,0.482412297361758
"Q9QX47",2,NA,NA,2,NA,NA,19.1884814648076,18.6046885724659,17.3823400713235,18.193364717339,18.1133244536385,18.9934388480718,5.50065640110608e-20,0.999999999746806,1
"P14824",32,32,25,29,21,27,21.583758612254,20.9653961020092,19.9038189602268,20.2517289674314,19.7376336986035,20.897039345379,-0.43409054140266,0.000439042226749887,0.00745849116157248
"Q8R1B4",11,11,5,9,9,12,18.9063331154486,18.6815979667461,17.7293584609018,18.6946884116941,18.5110372068587,19.2832044459545,0.438652917596042,1.4428499972056e-05,0.000527935114362151
