"protein_group","number_of_peptides_control_1","number_of_peptides_cystitis_1","number_of_peptides_cystitis_2","number_of_peptides_cystitis_3","number_of_peptides_high grade_1","number_of_peptides_high grade_2","number_of_peptides_cystitis_4","number_of_peptides_high grade_3","number_of_peptides_high grade_4","number_of_peptides_control_2","number_of_peptides_high grade_5","number_of_peptides_cystitis_5","number_of_peptides_high grade_6","number_of_peptides_high grade_7","number_of_peptides_cystitis_6","number_of_peptides_high grade_8","number_of_peptides_high grade_9","number_of_peptides_cystitis_7","number_of_peptides_high grade_10","number_of_peptides_control_3","abundance_control_1","abundance_control_2","abundance_control_3","abundance_cystitis_1","abundance_cystitis_2","abundance_cystitis_3","abundance_cystitis_4","abundance_cystitis_5","abundance_cystitis_6","abundance_cystitis_7","abundance_high grade_1","abundance_high grade_2","abundance_high grade_3","abundance_high grade_4","abundance_high grade_5","abundance_high grade_6","abundance_high grade_7","abundance_high grade_8","abundance_high grade_9","abundance_high grade_10","log_fold_change_genotypecystitis.genotypecontrol.","differential_abundance_pvalue_genotypecystitis.genotypecontrol.","differential_abundance_qvalue_genotypecystitis.genotypecontrol.","log_fold_change_genotypehigh.grade.genotypecontrol.","differential_abundance_pvalue_genotypehigh.grade.genotypecontrol.","differential_abundance_qvalue_genotypehigh.grade.genotypecontrol."
"Q9Y2I1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.9974453306256,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.1908674621618,NA,NA,NA,NA,NA,NA
"Q99541",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5352485015677,NA,14.8757636637751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q5VZM2,Q7L523",1,1,1,1,NA,NA,1,NA,1,NA,1,1,NA,1,NA,1,NA,1,1,1,14.5857547362184,14.9522467394818,14.9845063156617,14.8364979439799,17.0056669058245,16.8375147562537,16.1284123746617,16.7506278329213,14.7498264230149,15.9610944273075,16.0742662733959,14.2662517442672,14.4276066997504,14.4635658794474,16.6387566663278,15.2948027335773,16.3625961661164,16.4991020157542,15.3327143852621,16.2204151952301,0.0576941147985174,0.808664919821261,1,-0.138017870767478,0.545976626921533,1
"Q9H0S4",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.1104098930934,14.6338284511088,15.2621169127603,14.9690539777519,NA,16.0688005990471,15.8628616103369,15.9935280941577,NA,NA,NA,15.0408416089022,15.3295973794618,NA,16.4021984875235,16.3894540998919,15.3286465796011,NA,15.7312186522319,16.3977745319038,-1.05034379930623e-20,0.999999999966491,1,1.47182440608673e-19,0.999999999470275,1
"Q8N9N7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8709421523698,NA,13.0783811969828,14.7958844979449,NA,15.2255651842518,NA,NA,13.3719460775852,NA,NA,15.8093713400101,13.5505173295399,13.3473872107519,13.8783855798097,14.4622204220297,NA,NA,NA,NA,NA,NA
"Q96AZ6",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.258065903092,16.4393771907294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P21399",NA,3,4,NA,NA,NA,4,NA,NA,NA,NA,NA,7,3,NA,4,2,3,NA,NA,11.7253256364846,11.5807843877116,12.0902368127464,12.5589463553546,15.5912516874876,NA,14.3908896767032,14.2856116355472,13.4457168598473,15.7566565189183,15.7634783952608,NA,12.9060638789436,12.510867763868,13.699888296652,16.0435241742738,14.049086047588,14.4983773558413,13.7580305931788,13.4417543790453,1.22473854369314,0.0144719989030183,0.308356134106831,0.917138703778844,0.0478712585978471,0.418644828374803
"Q8NFH5",NA,1,NA,1,NA,1,2,1,NA,NA,NA,3,2,NA,NA,NA,1,1,1,NA,14.4629420600188,NA,14.5785888021938,14.5007578135951,NA,16.0958028939905,15.4951283239082,15.9982172037376,NA,15.7459499791954,NA,15.1873118808355,14.7192617597584,NA,NA,16.7418308933536,16.3270522201583,15.9925293929272,15.7817973190853,16.2667245886768,-0.0519986282713986,0.784992251129658,1,0.32117731454841,0.105920952433477,0.641192397874189
"P50579",NA,NA,1,NA,NA,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5975257430497,NA,12.8135502566092,NA,15.7809478900115,15.3228838151262,15.2669671426298,15.1764382888619,NA,14.7580199423101,15.200621033476,14.6753244866102,13.7755204601806,13.8691009178484,15.2446307813774,15.2774606235263,NA,15.2629416363809,13.4517513795868,15.2775206935698,0.171223101859414,0.448910960962864,1,0.135089528239802,0.516836280570302,1
"Q13596",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.1777720382668,NA,15.8697245786937,NA,NA,NA,NA,NA,15.3803262381542,NA,NA,NA,NA,NA,NA,16.0899429349347,NA,NA,NA,NA,NA,NA
"O00541",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.6047635466069,NA,NA,NA,16.2488305833925,15.1667842019732,16.283457440604,NA,NA,NA,NA,NA,NA
"Q14141",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,14.858201068691,15.1008864691834,14.8022507487511,14.0470102662401,14.8601924680303,15.6313865965315,NA,NA,16.2477561089727,15.6825805273626,16.3459615519406,NA,14.1527223536733,16.091057614391,15.9733229720493,15.685382537352,NA,16.5314604253514,14.922386747192,16.5664855801943,-5.95287492500242e-19,0.999999999008084,1,-2.97322511662679e-19,0.999999999465578,1
"P13807",NA,1,2,NA,NA,NA,2,3,2,NA,2,NA,2,1,NA,1,2,2,2,NA,12.5149899416198,NA,NA,13.373776256306,15.3890755378865,14.7212135495838,13.5244104018398,14.8993379634959,NA,15.1774098979355,15.3339816548651,13.8766253384782,14.4612643608795,14.2982381836586,15.2611777680229,15.1889491185303,14.0745367922618,15.0070963828627,13.8070391767229,15.2438501297518,0.653107008625513,0.105458603745236,0.77546462427883,0.862282952818561,0.0327194548712838,0.341625943256826
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.1841220870093,14.8847284567048,14.9331261175015,NA,NA,NA,NA,13.7985802736604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P04264",1,NA,NA,NA,1,NA,NA,NA,1,1,1,1,1,1,NA,1,1,NA,NA,NA,14.9146023032235,12.9227187215466,NA,13.0404849347131,NA,NA,11.1885200338243,NA,NA,11.8362213148837,19.7623753386653,13.2848140708156,11.3612910208559,13.1003554233175,16.2998782230375,17.7721089253096,15.338449483623,17.1324559171299,14.4701879811045,NA,-1.94742276882263,0.11623193182109,0.810069760313394,0.260610169216847,0.809287658403253,1
