"protein_group","number_of_peptides_hcc_1","number_of_peptides_control_1","number_of_peptides_hcc_1.1","number_of_peptides_control_1.1","number_of_peptides_hcc_1.2","number_of_peptides_control_1.2","number_of_peptides_hcc_1.3","number_of_peptides_control_1.3","number_of_peptides_hcc_1.4","number_of_peptides_control_1.4","number_of_peptides_hcc_1.5","number_of_peptides_control_1.5","number_of_peptides_control_1.6","number_of_peptides_hcc_1.6","number_of_peptides_control_1.7","number_of_peptides_hcc_1.7","number_of_peptides_control_1.8","number_of_peptides_hcc_1.8","number_of_peptides_control_1.9","number_of_peptides_hcc_1.9","number_of_peptides_control_1.10","number_of_peptides_hcc_1.10","number_of_peptides_hcc_1.11","number_of_peptides_control_1.11","number_of_peptides_hcc_1.12","number_of_peptides_control_1.12","number_of_peptides_hcc_1.13","number_of_peptides_control_1.13","number_of_peptides_hcc_1.14","number_of_peptides_control_1.14","number_of_peptides_hcc_1.15","number_of_peptides_control_1.15","number_of_peptides_control_1.16","number_of_peptides_hcc_1.16","number_of_peptides_control_1.17","number_of_peptides_hcc_1.17","number_of_peptides_control_1.18","number_of_peptides_hcc_1.18","differential_abundance_pvaluecontrol.hcc","differential_abundance_qvaluecontrol.hcc","abundance_hcc_1","abundance_control_1","abundance_hcc_1.1","abundance_control_1.1","abundance_hcc_1.2","abundance_control_1.2","abundance_hcc_1.3","abundance_control_1.3","abundance_hcc_1.4","abundance_control_1.4","abundance_hcc_1.5","abundance_control_1.5","abundance_hcc_1.6","abundance_control_1.6","abundance_hcc_1.7","abundance_control_1.7","abundance_hcc_1.8","abundance_control_1.8","abundance_hcc_1.9","abundance_control_1.9","abundance_hcc_1.10","abundance_control_1.10","abundance_hcc_1.11","abundance_control_1.11","abundance_hcc_1.12","abundance_control_1.12","abundance_hcc_1.13","abundance_control_1.13","abundance_hcc_1.14","abundance_control_1.14","abundance_hcc_1.15","abundance_control_1.15","abundance_hcc_1.16","abundance_control_1.16","abundance_hcc_1.17","abundance_control_1.17","abundance_hcc_1.18","abundance_control_1.18"
"sp|P52594|AGFG1_HUMAN",1,0,1,0,2,0,0,0,1,0,2,0,2,0,1,2,2,1,1,1,1,2,0,0,2,2,2,2,2,1,0,1,0,1,0,1,0,1,0.293064462416877,0.459376526488162,20.4036288016518,NA,NA,NA,19.8346618587467,NA,19.9033588616026,NA,19.4776774860987,NA,19.5119209076723,NA,21.3472579137524,NA,NA,NA,19.9736476247523,NA,20.9348177598965,20.6524534138585,NA,19.6521965413301,21.4394313283099,20.4943513044607,20.1154617975908,19.8931053419343,19.9230031994192,19.6346193264283,20.3609232695871,NA,21.1442629723308,20.5225944855333,20.2305296179542,20.1707669723518,21.4124858565518,19.8098398753474,NA,20.016073077938
"sp|P52597|HNRPF_HUMAN",5,4,4,4,4,4,4,3,4,4,5,4,4,4,5,4,4,4,4,4,4,4,4,4,3,4,4,2,4,4,4,5,4,5,4,6,4,2,0.0139299464295698,0.0533387585358361,25.0190003543111,24.01843967854,23.3679637207952,23.5311114882692,24.5607493519345,23.1870725623048,25.1660974345183,23.2176799496233,23.267428099025,22.9053153972616,23.4872133168215,24.1407415820374,24.493720471449,23.8549745088295,24.1527323254136,23.1362943735529,24.5471179197397,23.6302825107864,25.6013566365544,23.6719532350057,23.4856061970386,23.9534651656514,24.722181746934,23.7567362706501,24.0750798042363,23.7516481600924,23.7764830989116,24.1094983406892,23.806211393873,23.6223794738016,23.4408312635412,23.5832585699998,24.1838647264155,22.7972075926325,23.6140456256565,23.1937465901604,23.2698401663141,23.9807242094835
"sp|P52630|STAT2_HUMAN",1,0,0,0,1,0,2,0,2,0,1,0,1,2,1,1,1,1,1,1,1,2,1,0,1,0,0,1,0,1,0,2,2,2,2,1,2,2,0.146223799922373,0.286904456164674,20.9624213699642,NA,20.9676067488029,20.3994673450715,21.5413881069779,20.0778225391987,20.7025874157879,21.7419296357924,21.0792982902865,NA,NA,NA,20.8925566156066,NA,21.2853072026889,NA,21.5946166504213,NA,21.0549017907465,19.9661995151867,21.7215583665729,20.8917640117251,20.1321071416829,19.9235699914621,19.3344414784859,20.7133966752964,21.38467257256,20.284804114488,22.000485273233,NA,20.7795418285098,NA,NA,20.9263736137505,NA,20.75300754211,NA,21.1356622652498
"sp|P52701|MSH6_HUMAN",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,18.6180642552191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.8584921804073,NA,NA,NA,17.4842526379934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|P52735|VAV2_HUMAN",2,0,0,0,1,0,0,0,0,0,2,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,2,2,0,1,1,4,1,0,1,1,0.323220750863844,0.489282613041498,20.6106364702926,NA,NA,18.8814738121566,21.6922157091599,19.314970169312,NA,19.0391859059172,18.4946872773298,NA,NA,NA,19.0389644290129,NA,NA,NA,NA,NA,21.0789497237159,NA,20.094124414363,NA,19.8444240905839,20.4678927418471,NA,20.3113938104816,NA,NA,NA,19.5140487428855,NA,NA,19.9207259243381,20.3154593127508,20.8653005278367,19.8983186309537,NA,20.1848930027273
"sp|P52757|CHIO_HUMAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.9470123098531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|P52758|RIDA_HUMAN",6,6,6,7,6,5,6,5,6,6,6,6,6,6,7,6,7,7,5,6,5,5,5,5,6,7,4,7,6,7,4,5,6,7,7,5,5,8,2.62325935824553e-05,0.000504268437446522,26.9203450559052,28.295664063325,26.8243032981672,28.0466280306748,26.1577714062794,28.8038320676407,25.0642800123699,27.1285525931391,27.2419263837074,28.5076315782747,27.7687637065282,28.8307085820753,26.7211309675521,28.1998994149125,27.4952823131741,28.3061266150748,28.53723414751,28.8353683295183,24.7369431728079,27.8094542731739,26.7232201800498,27.8362007181951,27.383347504425,28.4450637193646,27.6174690376179,28.0489866757678,27.6781276983759,27.1087875296279,26.5754239914357,27.8609892117937,26.94992398088,28.5311744495945,25.3790993205473,27.9738819183782,27.5107839074137,28.3481771998296,23.0174095151087,28.1309995494637
"sp|P52789|HXK2_HUMAN",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.6951810351074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|P52790|HXK3_HUMAN",0,0,0,0,2,1,0,0,0,0,1,0,1,0,2,1,2,1,2,1,1,2,0,1,0,0,0,1,0,1,2,2,0,0,0,0,0,0,0.689675612529103,0.794705191431874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.2500673033701,18.5907451290216,NA,NA,NA,NA,20.8439809018305,19.2198087968862,NA,19.7974135356899,19.4089917105655,19.158670054506,17.2982565158555,21.3564272944174,18.2447826545172,18.5288859934227,20.3794940855034,19.4417385247971,NA,NA,NA,19.9746801867271,NA,19.1436439737829,19.24348231906,20.6742118180375
"sp|P52815|RM12_HUMAN",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.415347488002,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.3663866323599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|P52888|THOP1_HUMAN",5,2,1,1,2,1,3,1,3,0,1,1,3,4,1,1,1,2,2,2,3,2,1,1,1,1,0,2,1,0,3,4,2,2,1,4,1,5,0.107006331988377,0.232037358618089,21.9417868912494,19.9841461653736,19.9542917131847,20.3357923617816,20.490692090992,19.9944471140682,21.9405584894537,19.9628555262346,23.1241245882243,21.6117081910359,19.1590779920558,18.6205216197765,21.0234359177906,20.3525771916242,21.7414360370428,19.0190276930295,21.4451598781877,NA,18.7299952276201,21.5124757311639,21.3223200824822,19.5836308661355,18.6513218230526,18.3355703028199,20.7227186429872,19.421562972173,20.9232784178559,21.3975280962615,20.661944368202,19.3121517997935,18.6718600627863,18.1385416672154,NA,20.1230825477561,19.3218177649846,NA,22.3309561228422,22.1033058936278
"sp|P52895|AK1C2_HUMAN",3,3,3,3,4,3,3,3,3,3,0,3,4,3,3,4,4,4,4,4,4,4,4,3,3,4,3,4,4,4,0,4,3,1,1,4,2,4,0.0928101812571653,0.209973164389571,23.4739752305515,24.6220923848229,27.634461060083,23.9270962449502,NA,20.5612970069159,27.1711071891117,23.1326822966155,25.4342411365102,26.6180638971219,23.8242650623773,22.879416124159,25.3230500837639,25.2512264952155,24.6256082541118,25.0709017789278,24.4582079450007,23.7288263004613,NA,25.028578002385,23.4117094174511,22.8191668472414,24.5196177915507,25.5982936819219,25.6115880821609,24.9706586821144,27.2255517886891,23.91003288875,24.2376871547267,25.6496758704181,25.2617677471979,25.2961385456416,24.3652693736799,24.8001124879865,25.5234513227085,25.3066019222922,NA,23.8676969456654
"sp|P52907|CAZA1_HUMAN",7,5,7,8,10,6,7,9,8,9,7,8,6,6,7,5,6,8,8,8,8,8,6,7,6,7,8,4,5,6,9,8,8,6,4,7,4,7,0.179729543461001,0.330316893505523,24.4698255541215,24.4813487332285,23.8270969194972,23.8717055899433,23.660992672011,22.9091310613467,24.1624578527573,23.7656672867469,24.1446537616651,23.3272827062968,23.8137192326417,24.6041458018444,24.7426792168957,23.7503435976655,23.7884991968062,24.7311478830542,23.9981819500714,24.0809957416692,24.6570559407055,23.8454767306352,23.7659737522296,23.6495600467526,23.5991491203277,23.2329006560908,24.8112602500077,24.0481312384223,24.3015386417282,24.4194940049472,24.0222882739382,23.9455683813015,23.9208858642804,23.6655791784804,24.706224167974,22.9582322736149,22.6375629715792,23.3908532982218,25.1007920649421,24.2930518801809
"sp|P52926|HMGA2_HUMAN",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.210248327266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|P52943|CRIP2_HUMAN",2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,1,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,0.498723985357113,0.647054356556549,24.4769458943126,23.4873590242599,22.8015111244325,23.3204982806222,24.8866471784581,22.8635855069269,24.9979187953977,23.1314948089678,23.3680610933782,22.4086806393318,24.5757404151767,23.6784881268952,23.2328596660348,23.0492710358232,21.5702497480205,23.940883815085,24.0875421036969,23.3273514063564,24.1293764979801,22.7499183320074,22.061278401934,24.6096397706449,23.1998859899301,22.1068461927878,22.3182796430979,23.2962568982812,23.5851567364618,24.1219241367891,21.7596962950906,22.9911012539418,21.6556674546148,23.4554676361756,25.7583945842559,23.2515392716259,24.3962056428977,23.0214529762293,23.5931237095666,23.5864407780866
"sp|P53004|BIEA_HUMAN",4,1,3,1,3,1,1,1,2,1,4,1,1,3,1,1,0,1,1,1,1,5,1,1,3,1,3,1,1,1,7,1,1,3,1,1,4,1,0.000281712598030343,0.00288299403379973,23.021170498725,20.0247182981586,19.3865261718216,20.2184287136592,22.7665056605179,19.8202365068621,19.1013747886905,21.6220273272001,19.6731612550007,NA,22.1212838235476,19.3861199744276,22.2022363023255,19.5199342796243,19.7306220433902,19.9029990197548,20.8528435590323,19.4373224377464,22.9705875710587,19.7618053412879,22.9849595721228,19.4410994380743,20.0961264417559,NA,20.6803224931435,20.3376191858745,20.3271273600938,20.5288694041425,22.8614442252367,19.8634135740323,22.5915639348327,19.393303164742,22.8035140047612,19.8495868426393,19.7222930914388,19.4815121664206,24.2533920438254,19.4608468275137
"sp|P53007|TXTP_HUMAN",5,2,4,4,4,4,5,3,5,3,3,3,3,3,4,3,3,4,4,3,4,3,5,3,2,4,3,3,2,3,1,5,5,6,3,5,4,3,0.701474433653728,0.803743360348311,24.1567802596223,22.120771389741,23.6737811209923,23.8707684153481,24.1743589478101,23.9421163676845,23.6638592961475,23.2616132639895,22.88861234056,22.0730102312465,22.3291346404529,22.1560763670123,22.8899427169647,23.4774694251931,23.7544884727046,21.2490097869886,24.7527178241065,21.5093414736322,22.9117563127945,22.8646940045901,21.9535253081411,22.6663342990337,23.3264654927036,22.9831360068592,22.5870119727517,23.3893032590379,22.3473687964972,23.2994890928658,23.1614832748675,23.4767697740929,23.2433449449477,22.3130214014969,22.8562579766271,23.026053976404,21.7555462358526,23.3434705859123,20.3486069399152,23.5915241455902
"sp|P53041|PPP5_HUMAN",1,0,0,0,2,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,1,1,1,0,0.124629058478744,0.258432705081651,19.3772809468255,NA,NA,NA,20.3840304140142,19.035908945479,19.8676498970799,19.104552185401,NA,NA,NA,NA,20.2859760402214,NA,19.5081433983482,NA,NA,NA,20.8522224430724,NA,18.9430846794562,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.0261941720107,NA,NA,NA,NA,NA,20.4174808595722,NA
"sp|P53367|ARFP1_HUMAN",3,0,0,0,3,0,0,0,1,1,1,1,1,0,0,1,0,1,1,1,0,2,0,0,4,0,1,0,0,0,1,1,0,2,0,1,1,0,0.0358973163549595,0.105613097238738,20.2991181005176,16.0954737807566,NA,NA,19.8730343687054,NA,17.3966495315245,18.7790135064254,NA,NA,NA,NA,20.6060113987827,NA,NA,NA,18.9975827243256,NA,18.6309652632219,18.8802529541627,NA,NA,19.3091264468313,NA,18.3453165955332,16.7134830047726,18.6757636336501,NA,20.219878650001,NA,21.6160824737784,NA,18.1488794156744,NA,NA,NA,18.868674575825,19.1196278275584
"sp|P53370|NUDT6_HUMAN",0,0,0,1,1,1,1,1,0,2,0,1,0,1,0,0,0,0,2,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,0.686780691834125,0.793172795731119,NA,17.7966321878048,18.4468450371216,18.0492375715183,NA,18.3104359914472,19.0218717996969,NA,17.9098464255013,NA,NA,18.8149373110036,18.5322192305351,17.5490297602158,18.8946287750205,NA,NA,20.2134357697296,NA,NA,18.1571075925035,NA,NA,NA,NA,19.897078599614,19.4867915537184,17.6975016985761,NA,NA,NA,NA,NA,19.1240165188756,19.0714244697581,NA,NA,17.8221825355606
"sp|P53384|NUBP1_HUMAN",2,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,1,1,0,2,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0.309106833133965,0.474586584061592,19.8558952948541,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.7368956170324,NA,NA,NA,20.2288066902632,20.2606467613122,NA,NA,20.0245025024262,19.8698710197797,20.4892644094987,20.094685168363,NA,NA,19.847722691547,19.9230670214051,20.0264146124239,NA,20.4695249071051,19.5811435485938,NA,NA,NA,NA,NA,NA,21.1220625186451,19.4631895132066
"sp|P53396|ACLY_HUMAN",18,1,4,0,12,1,12,2,11,3,13,0,7,14,11,17,10,18,6,15,12,16,7,5,18,9,11,12,20,6,14,13,3,16,2,12,9,17,3.68719587230416e-06,0.000116556358407837,24.2738031159768,NA,22.3464605736847,20.512069673896,24.6237131305278,20.2021283344161,23.7165736978855,23.2677763222493,25.3083918695369,16.6557490465586,21.1863138060826,NA,23.6113391249241,18.9429989011057,23.5016402356224,19.8490091199505,23.481527901481,20.4268377392879,24.2064026987572,22.2859855235026,23.9265198236251,22.6261829908757,24.4960364399332,23.0738987256738,24.2800405489643,21.7544199093425,24.1716765780001,23.4819334468054,24.1900831715799,21.3224798712066,24.6557747221743,22.6109532101082,24.1302418425401,23.0613690808524,25.12003689584,21.2171235574092,24.5671000096384,23.5161341059977
"sp|P53597|SUCA_HUMAN",6,6,5,6,6,4,7,5,6,7,3,7,6,5,6,5,5,4,7,6,6,4,7,6,6,5,5,6,4,6,5,5,6,4,5,5,4,4,0.000261370619016355,0.0027726276378606,24.3331089447392,25.1641577276426,24.1932904592893,25.0804060402773,22.4478026351857,24.7627794119896,23.2787186412021,24.2818153204054,24.083871073559,24.0650277732897,23.8150016283181,24.9853122582734,24.7848810980804,24.396656934737,24.9002082791982,25.2457763287324,24.1670048968192,25.5937662489146,22.1409856648289,23.6225589507997,23.4129939650194,24.69515317006,24.5482780145611,24.8620830889612,23.2603283215693,25.0040379165743,24.3021339903402,23.9218463013401,22.8502099002013,24.6536142137167,25.0121489630762,25.2268854390268,23.9877715909745,25.1917905266366,24.2119166485337,25.1033356424295,23.1483214555524,24.7901633257907
"sp|P53602|MVD1_HUMAN",2,0,1,1,0,0,5,0,2,2,1,0,2,7,3,1,3,0,5,6,5,3,0,2,3,3,2,1,1,2,0,3,1,2,1,0,1,2,0.827805566998634,0.89310802106586,20.1591470750273,NA,NA,NA,21.0373433762361,NA,NA,20.685837154075,21.7317682541947,NA,18.8513454735833,19.6037990934712,NA,NA,22.9101328897329,NA,20.561365422947,20.8848347520577,20.2085107039002,21.0179519848212,23.6103228817694,21.0014162896949,19.9235448235361,21.8025262442807,NA,22.0383776926168,23.2127850350509,22.3483427785621,21.8568217964615,21.1182912498632,22.1137429137639,21.989927782168,20.2264639701088,19.329861646142,20.5782393192454,20.7967611056703,NA,21.8774293818703
"sp|P53618|COPB_HUMAN",11,0,6,0,10,4,7,0,11,0,10,0,8,10,5,10,6,8,6,8,6,13,8,5,9,1,7,5,9,7,12,12,5,19,4,8,6,2,0.00110547567906385,0.00798243225110826,25.0882452665351,NA,23.4943518806853,21.9527664961217,26.254193282431,21.7754662015597,23.3326930492552,22.3331037348831,19.0020241940825,NA,22.831548743024,NA,23.9474356692959,21.849829846955,23.1948578010862,NA,23.9321422004466,NA,24.7025169549124,22.8150484050767,23.8329860076099,21.2324061286306,23.9398712035195,22.3949528785073,23.2862476656648,22.5894973310703,23.911881844804,22.819572599232,24.3500863543198,21.8538531026967,24.1753484276008,18.6632510203732,23.3093347853353,21.922969235772,23.7060859710581,23.0171796492823,24.5908366729923,24.3956774760932
"sp|P53621|COPA_HUMAN",24,3,13,2,18,10,13,2,18,2,19,2,15,20,15,18,16,18,18,21,14,23,15,14,17,8,17,16,22,15,24,18,11,28,10,11,11,8,0.000183322240155299,0.00210303134371704,25.7852562256826,20.027161098011,24.4546383909045,23.7015995908462,26.4860229354935,23.6843789776032,23.7381441774588,24.1153258930603,23.0545992292909,20.190546187123,23.9870851282307,19.0021551257572,24.7203358751975,23.6808231784553,23.5418122225782,19.4336184085164,24.6271187375531,19.4603175137786,25.5822265920418,24.0861565812161,24.7318570177185,24.2551487552646,24.5402057178604,23.7617749191459,24.8189874184026,24.1511539138407,25.1459288088025,24.0000690559487,25.5790512201888,23.9923298196416,25.1460776232454,22.3706701224788,24.4237495232094,23.8942949270432,24.825403996718,24.2031954965267,25.1548298786051,24.8151305554384
"sp|P53634|CATC_HUMAN",3,1,2,2,2,1,0,3,3,0,0,1,2,0,0,0,0,2,0,1,0,0,1,0,0,0,1,0,0,0,2,0,0,3,0,1,0,1,0.644105655575091,0.763578649166986,21.7000762063188,18.2234792369695,16.796847876434,NA,20.8101501936491,NA,15.5157487716916,NA,19.4152061367829,17.8322996866661,21.2522984743573,19.6968095974553,20.6114248949691,19.4334173337663,NA,19.9417279481513,21.2838210638723,NA,NA,20.3204133580107,NA,NA,NA,NA,19.9516154426624,NA,17.5150952417321,NA,NA,NA,NA,NA,19.7286843696574,NA,NA,NA,20.7913469963258,NA
"sp|P53680|AP2S1_HUMAN",0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.552968440596774,0.692427470729675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.0717989360941,NA,19.6481797606242,NA,NA,NA,NA,NA,NA,NA,19.1989585265451,NA,NA,18.8320016701925,NA,20.8123461712531,NA,19.6021729447428,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|P53985|MOT1_HUMAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,1,2,1,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0.153851660769938,0.296952493141433,NA,NA,18.7735064334789,NA,18.0485478460832,NA,18.7058952082452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.2630421574222,19.4698739527125,NA,20.1522137008346,NA,NA,18.2945163683871,20.8452767717984,NA,NA,NA,NA,NA,NA,NA,20.3699824107378,18.9504084809878
"sp|P53990|IST1_HUMAN",2,0,2,3,2,1,2,2,0,1,2,2,1,1,0,0,1,0,0,0,2,1,1,0,1,0,1,0,0,0,1,0,0,1,1,1,0,1,0.530520853499805,0.67410979375031,19.7490813853615,20.2519921899934,16.5901569104661,NA,NA,17.9461554710037,17.2671457746643,NA,19.1206273984885,NA,24.8195343004927,25.1896778302791,20.076032253335,17.4419770861414,20.112817045684,20.8043836394193,NA,20.0279884701022,19.4177247566094,19.1909140350191,20.7566640078939,NA,NA,19.4517381328031,NA,NA,NA,20.0345231564039,18.9107772605795,NA,20.1255174150827,NA,18.2468479832396,NA,NA,NA,18.3868335422521,NA
"sp|P53992|SC24C_HUMAN",11,3,8,3,9,3,6,2,9,3,11,1,8,3,9,10,6,7,7,10,8,10,8,6,9,5,4,5,7,7,7,8,7,10,6,6,8,6,0.000550175313692802,0.00467896633303401,24.2713928783489,18.7739096319723,23.1777371375173,22.7606136352228,23.870032387108,22.6425639145216,22.228130799651,23.3241347663127,23.1613707472279,20.9276214981964,22.8228633977688,21.3390641222059,23.5773841347131,21.6025523828566,21.9213663104354,20.5541119007483,23.3558049560186,20.4338436359115,24.3563030858717,22.3929619740511,21.4811852210006,23.2011437024716,23.8001842589353,22.4610938385888,22.9687137179248,22.8049823238041,23.6005116030231,22.9432742948039,24.1780234587852,22.3474326077591,23.8547244987728,22.0402600068524,22.4754769577722,22.3540526707752,23.080829016912,22.6435409960773,23.7571167119162,23.2066163592635
"sp|P53999|TCP4_HUMAN",1,0,1,1,3,1,3,1,3,1,3,2,1,2,1,0,2,2,1,1,1,2,4,1,2,0,1,1,2,2,2,1,2,3,1,4,1,1,0.000620004442863844,0.00514260244882692,22.7027411405377,24.8908462483455,25.3652999551919,22.5382978680939,25.3985683745297,NA,24.2743296258372,21.9658544916722,23.1052590938018,NA,20.9137879512715,19.756089325976,24.3856639567802,21.7898560707319,24.1997043919386,20.0538109336711,25.2354896056985,19.4044213549391,24.0178894699457,20.5664447949066,22.7685079957927,NA,NA,24.1880854453558,20.8657754930419,20.9876679289726,NA,21.3207490527532,23.8886056474159,NA,22.923182422025,NA,21.3373444826937,19.396558093325,22.9276913643057,19.8856540532083,22.2021555705462,21.2198270167297
"sp|P54105|ICLN_HUMAN",0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0.576820996665022,0.711954765948802,NA,19.9692101113412,NA,NA,20.603475272154,NA,NA,NA,NA,NA,NA,NA,NA,19.146975823677,NA,20.1398240914524,NA,19.6069019686699,NA,20.0604456107452,21.1794637934164,NA,19.6676541214638,NA,20.8485706706315,NA,19.3849823342414,NA,18.4029775191927,NA,20.4161136141678,NA,NA,NA,NA,NA,NA,NA
"sp|P54136|SYRC_HUMAN",13,0,7,0,9,6,12,0,8,0,8,1,8,7,7,7,8,8,8,9,7,11,10,6,8,2,6,8,8,8,8,11,8,15,6,9,8,6,0.057650458693756,0.151230406245266,24.5785136768367,18.5171452072117,23.9441765665597,23.6909232429438,24.5560620820494,22.7615935539537,22.999279627363,24.1507017282727,22.4927801042865,NA,22.4271796079212,NA,23.8320150736715,24.197674749798,24.2809610683875,NA,23.0302255412964,NA,23.6942431989431,22.7348158022258,23.4130927290133,22.8570043825242,23.4250855050266,23.2433539315989,22.3896621654556,23.570606429717,24.0869982697715,23.0457549407269,24.174507202375,22.5923487079468,23.2879391304827,19.9818972633542,22.5862177924473,22.4273794033003,23.2328898458718,22.9661901225643,23.4989692525826,23.8971517652815
"sp|P54577|SYYC_HUMAN",5,1,2,2,5,1,4,1,4,1,4,2,2,3,2,3,2,2,1,2,2,6,3,1,4,1,1,1,1,1,2,2,2,2,1,0,2,0,0.000487868461656886,0.00424460481166312,21.0873405517884,20.446629482348,20.6569331376547,18.7614596720375,NA,19.9664490133065,NA,21.1215966299305,NA,19.7455849417919,20.5467536001886,19.6466230298657,22.2758381997579,19.7858608835581,21.9465996251633,19.3943204973925,21.7764784713606,19.7978464310686,21.8721583527086,19.9349694131404,20.5490871198091,20.7339050188172,22.080369296322,21.8366456225987,20.3430117302536,19.814008220593,20.5959222782496,19.7532630115126,23.2907984911863,19.5157540563711,21.8872710853378,19.3144187890466,19.2154447245432,NA,19.5390322712397,18.9383668665167,20.3465014482169,19.7871020511851
"sp|P54578|UBP14_HUMAN",6,4,4,3,6,2,6,5,4,2,3,3,6,10,5,7,4,7,3,6,5,5,5,5,7,5,7,6,3,4,6,8,4,8,3,6,3,3,4.53325132325949e-05,0.000739242416633466,23.2562227995143,21.5857006942642,22.6623974314628,22.5250592715657,24.0872290433001,22.6443879605554,23.1141945440232,22.7257400250284,21.962657285231,22.2233942948142,22.6499553297258,21.4485168721487,23.5410355670777,21.5763738456062,23.0091695309303,22.3672045149026,22.3796600647324,20.8485946758758,22.9402239894248,22.3948185540088,24.225517848553,22.51158762005,23.4649135022058,22.3937115349455,23.4052112525315,21.9859179304413,22.7489543912342,22.2608579050758,23.2005175855908,22.5434652308622,23.8812973738406,22.4998519138468,23.4864035859157,22.5363198165596,22.3552284062679,21.1067007520148,23.362156941715,23.1684136649268
"sp|P54619|AAKG1_HUMAN;sp|Q9UGJ0|AAKG2_HUMAN",2,3,1,3,1,4,1,3,3,2,0,3,3,4,2,1,5,1,4,3,4,2,3,3,4,2,0,3,2,2,1,4,4,5,3,1,3,0,0.000105094100152996,0.00139716221932371,20.1869170134266,22.0128621072061,21.2355891677018,22.5249076403668,21.8685046592498,21.5910505318537,20.1185821648595,22.0539064362207,NA,22.78237275895,18.6926717571789,21.672865932629,19.3568361180505,22.4140605293489,19.7627606059259,21.9852340009064,22.1199706313753,23.0924362199059,NA,21.2133006352185,21.5542547310724,21.8520602632051,19.6768705155466,22.60736423272,20.2845776379386,22.2711689509275,21.6951529161162,21.8159232342752,21.1095511215967,22.808015434672,22.9052482605587,22.1724188373248,NA,20.6406322229325,19.6181150491401,20.6061707748337,20.0510388041545,22.2548343789981
