"protein_group","number_of_peptides_hcc_1","number_of_peptides_control_1","number_of_peptides_hcc_1.1","number_of_peptides_control_1.1","number_of_peptides_hcc_1.2","number_of_peptides_control_1.2","number_of_peptides_hcc_1.3","number_of_peptides_control_1.3","number_of_peptides_hcc_1.4","number_of_peptides_control_1.4","number_of_peptides_hcc_1.5","number_of_peptides_control_1.5","number_of_peptides_control_1.6","number_of_peptides_hcc_1.6","number_of_peptides_control_1.7","number_of_peptides_hcc_1.7","number_of_peptides_control_1.8","number_of_peptides_hcc_1.8","number_of_peptides_control_1.9","number_of_peptides_hcc_1.9","number_of_peptides_control_1.10","number_of_peptides_hcc_1.10","number_of_peptides_hcc_1.11","number_of_peptides_control_1.11","number_of_peptides_hcc_1.12","number_of_peptides_control_1.12","number_of_peptides_hcc_1.13","number_of_peptides_control_1.13","number_of_peptides_hcc_1.14","number_of_peptides_control_1.14","number_of_peptides_hcc_1.15","number_of_peptides_control_1.15","number_of_peptides_control_1.16","number_of_peptides_hcc_1.16","number_of_peptides_control_1.17","number_of_peptides_hcc_1.17","number_of_peptides_control_1.18","number_of_peptides_hcc_1.18","differential_abundance_pvaluecontrol.hcc","differential_abundance_qvaluecontrol.hcc","abundance_hcc_1","abundance_control_1","abundance_hcc_1.1","abundance_control_1.1","abundance_hcc_1.2","abundance_control_1.2","abundance_hcc_1.3","abundance_control_1.3","abundance_hcc_1.4","abundance_control_1.4","abundance_hcc_1.5","abundance_control_1.5","abundance_hcc_1.6","abundance_control_1.6","abundance_hcc_1.7","abundance_control_1.7","abundance_hcc_1.8","abundance_control_1.8","abundance_hcc_1.9","abundance_control_1.9","abundance_hcc_1.10","abundance_control_1.10","abundance_hcc_1.11","abundance_control_1.11","abundance_hcc_1.12","abundance_control_1.12","abundance_hcc_1.13","abundance_control_1.13","abundance_hcc_1.14","abundance_control_1.14","abundance_hcc_1.15","abundance_control_1.15","abundance_hcc_1.16","abundance_control_1.16","abundance_hcc_1.17","abundance_control_1.17","abundance_hcc_1.18","abundance_control_1.18"
"sp|O60547|GMDS_HUMAN",3,1,1,0,1,0,4,1,1,0,0,0,2,1,1,2,0,3,1,1,1,4,1,0,3,2,1,1,0,1,0,1,0,1,1,0,1,0,0.00922941434774305,0.0392491536910747,21.3447897094702,NA,19.2295167210728,NA,19.4511073814348,19.611306711053,NA,20.6578503450883,NA,18.9783128299519,20.6877334091422,NA,19.4398586569797,NA,21.0587999307331,18.7103315110966,19.3868386472662,NA,NA,19.7269416693677,18.6565589360782,16.6968233790418,20.1310304257828,NA,20.7712273535037,16.8249490834037,16.837651316027,16.0413355154963,21.7406030085759,NA,21.1025956973878,19.6547899142492,20.0226562092804,17.9309820592879,NA,18.4046737928086,NA,19.4963481925568
"sp|O60568|PLOD3_HUMAN",1,0,2,0,1,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2,0,0,2,1,1,1,4,0.58159475173629,0.715983153911616,NA,NA,NA,NA,20.7850770359924,19.7838365418077,19.0069574324238,19.4643371168522,22.0575704420703,NA,21.5598162432811,NA,17.8516661612529,NA,18.3280999103288,NA,20.6157243675511,NA,19.2807648713332,NA,NA,NA,NA,NA,NA,NA,NA,19.5984645933917,19.7853099762086,NA,20.2569922723703,NA,NA,NA,NA,NA,20.8661349993056,NA
"sp|O60610|DIAP1_HUMAN",0,1,0,2,8,2,4,1,1,1,0,1,1,2,2,4,3,3,2,0,3,5,6,1,6,2,0,2,1,1,0,2,0,2,2,4,1,0,0.00208288846507462,0.0129102781767697,NA,20.3554653645285,23.2220883172412,NA,20.0412725385006,21.2772406287891,21.9047468024868,19.5240236721661,NA,NA,NA,21.0669181509814,23.4748109346763,20.401190382062,22.5613954949437,20.7418953754652,20.0678498455234,19.8372222444308,NA,NA,21.0612279871369,20.9837990172305,21.6794030515729,21.6754406212449,21.3943880662349,20.8777184106386,NA,21.4056817525329,22.3958725771349,18.8336429779778,22.4220033600463,20.2646176432147,NA,19.8708853103831,20.0298865357622,20.2128860740832,NA,18.3478880582871
"sp|O60613|SEP15_HUMAN",1,1,2,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0.33707581109064,0.503486951757463,19.5347600991791,20.4388942795449,NA,NA,NA,19.8224876159322,NA,NA,NA,18.7691950743229,20.5618036725209,19.7438559175472,NA,19.5192383283131,NA,19.7594758691271,NA,18.6244765665647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.2295138734398,NA,19.3254518919984
"sp|O60656|UD19_HUMAN;sp|Q9HAW9|UD18_HUMAN;sp|Q9HAW8|UD110_HUMAN",0,0,0,0,0,3,1,0,3,0,0,0,1,0,2,0,1,0,2,3,2,0,1,2,0,0,2,1,0,3,0,0,3,0,3,1,3,2,0.0509777399013973,0.137210662270081,NA,NA,NA,21.3468143693197,NA,20.4701208043612,NA,20.6760966667715,NA,NA,NA,NA,NA,21.4382241598846,NA,NA,20.3090051360253,NA,NA,NA,NA,19.3600546772663,NA,NA,NA,20.2986756921781,19.5451808994066,20.3298708453215,NA,20.9858881713863,NA,NA,18.8329392297276,NA,NA,21.1243684520031,NA,NA
"sp|O60664|PLIN3_HUMAN",5,3,6,6,3,3,5,3,2,5,11,7,4,4,3,0,2,3,4,6,4,8,2,2,1,4,7,3,5,2,9,7,3,7,2,7,4,1,0.186463028067819,0.338969530257473,23.3586280061523,23.3920437048523,19.9817278570476,21.9810546024962,23.1500495291461,21.5423941387456,23.4283781205497,22.8157799510373,20.5410940420666,21.6812925048069,23.2883687029845,23.3879248262235,21.7239896772871,21.2400551282386,22.5847338314255,22.7273935890545,21.1036318062352,22.3284919377232,24.8356054155807,22.2233653633242,21.384405849362,20.7614956648887,NA,20.7582277911828,22.1405477170821,22.1446700238231,23.0894068914959,22.8322143529075,23.2255986992903,21.1426381760069,20.4966508523449,22.2462302874587,23.6812169313645,21.5343274711366,22.6298039585226,21.0673536399536,24.3444859693515,22.4051647823533
"sp|O60701|UGDH_HUMAN",17,20,14,16,18,18,17,18,17,16,7,16,18,19,20,20,16,19,20,21,16,18,19,20,21,20,15,19,17,22,6,20,18,19,16,12,14,18,0.0921470136453864,0.209224464342477,25.5717646127128,26.6543914368164,26.9938421140231,27.1618585802303,26.5595663713834,26.6610062043651,25.6205142149299,26.5137152690705,26.1660173174335,27.4581999048969,25.4546044378489,26.3128528676927,27.2518462993802,27.8690520023366,26.8678148016813,27.3944304433641,26.6941034910634,26.1918720909566,24.0575957264436,27.3125795295876,26.6659394810312,27.1702263118965,27.449601654877,27.1776732517014,27.3021816867009,27.7582799267297,28.5971262336102,26.8399321187732,27.2096602475137,27.5352074047748,28.8517574480059,27.1902567597228,26.5787811927953,26.5685068884887,26.6145442488765,27.0451399962962,22.5317140807506,27.5670711647223
"sp|O60716|CTND1_HUMAN",10,1,2,4,1,4,6,2,5,4,12,3,6,7,3,4,3,2,6,7,6,10,6,2,2,0,3,5,4,1,3,9,7,9,2,10,3,4,0.167225082853547,0.313822797307613,23.0154208375852,21.224340746844,22.7239245544958,22.8014073910997,23.0073660790879,20.3207968576715,23.1111167533991,22.2273717953682,21.3308397613614,19.6739142758367,20.4976594464962,21.4779644956494,20.5193500473269,22.0725221963885,22.5212386826156,21.0303442324583,22.0667720489138,21.4934887238765,24.1536314027945,22.3228114831838,22.6574896522237,20.675324633443,21.7759459714466,21.6938503029485,18.4698357945584,22.4954327596558,22.5212536845945,22.3605350686836,23.2543231563186,20.685537025321,21.1193077251235,NA,22.0711568526786,21.1288156607713,21.8323162855005,18.449010229657,21.0584125914887,23.4297247113374
"sp|O60749|SNX2_HUMAN",8,8,4,11,8,6,7,8,3,8,5,9,7,2,5,5,5,1,7,6,6,7,3,5,4,3,4,2,1,2,9,9,8,3,4,7,5,4,0.427462994407969,0.586618091801823,22.5259125755116,22.8169118478272,20.9113060649061,22.1910592544809,20.8766608596305,22.0803083492508,22.1897914873492,21.8682473709314,21.7374769756384,22.4087985402873,20.567698869703,23.3572989283318,22.6786618890607,22.1353788915576,21.8133330942998,22.4124864598829,21.30961724,22.7278220528589,22.4417717603545,21.8850839803755,19.3004898721886,22.1042215085585,21.4762062015362,21.7951515110069,19.843049876317,22.2881938187019,21.9487483313938,21.8386194109696,21.9722152134046,21.0027068503718,22.0946413791083,21.5282080060026,21.2404652677954,19.20476032225,NA,18.7721163650577,23.2004079497706,22.5673179819043
"sp|O60762|DPM1_HUMAN",3,2,2,3,4,1,1,2,3,2,2,2,2,4,2,2,1,3,2,2,2,3,1,1,2,1,0,1,1,2,2,2,1,4,1,2,1,3,0.0193683569428604,0.0681124542675373,21.5014600141028,21.2305207691864,20.0829074304901,19.6962116582532,22.6992543328651,20.1295849929441,21.267609720992,20.0898529392127,21.7645519072675,19.9417706577199,21.056078747565,21.4912784293313,22.665235635296,19.6125772537515,19.4903360050871,21.2977443737099,22.3043036910154,21.1940848754929,20.4658050102715,21.3454793174634,22.730383481276,21.3485348825956,20.7237953710195,19.8270294532892,22.0915147508299,21.067645331762,21.5287340904411,20.8811822076147,21.2264889481218,19.639434461823,20.5479714326398,19.7721322164193,NA,20.5942992657961,19.5633926830953,20.2890852294342,20.4632366139112,20.5509821752257
